Facility_Name,CO2,Category
(Not Specified),417.6742523655914,low
1 Ave N 14 St N To Mm Drive - Grnspc_655,417.70273741935483,low
1 Ave S At Brewery Gardens,417.69225161290325,low
1 Ave S At Brewery Gardens - Grnspc_9609,417.6920541935484,low
11 Ave South Tot Lot,417.7074238709678,low
13 St N - West Buffer 2 - Grnspc_1824,417.70365048387094,low
13 St N - West Buffer 3 - Grnspc_1855,417.7038046774194,low
13 St N 44 Ave N To Pavan Park Entrance - Grnspc_628,417.7047132258065,low
15Th Street Park,418.1419277419355,low
17Th Street Park,418.13985838709675,low
18 St N Park,417.70356580645165,low
19 St Depot,417.44323032258063,low
20 Ave Greenstrip,417.7030538709677,low
20 Ave Greenstrip - Grnspc_591,417.7030458064516,low
21A St N Walkway,417.7053303225806,low
23 St N 2 Ave N To 3 Ave N Eastside Area 2 - Grnspc_520,417.70537548387097,low
23 St N 2 Ave N To 3 Ave N Westside Area 1 - Grnspc_537,417.70558612903227,low
23 St N 2 Ave N To 3 Ave N Westside Area 2 - Grnspc_1168,417.7053964516129,low
23 St N 3 Ave N To 5 Ave N Eastside - Grnspc_4331,417.7061983870968,low
26 Ave N 13 St N To 18 St N,417.70420677419355,low
26 Ave N 13 St N To 18 St N - Grnspc_1830,417.70472032258067,low
26 Ave N 13 St N To Erminedale Blvd,417.7042483870968,low
26 Ave N 18 St N To 23 St N,417.70606387096774,low
26 Ave N 18 St N To 23 St N - Grnspc_1179,417.70650532258065,low
26 Ave N 23 St N To 28 St N Southside,417.7087416129032,low
26 Ave N 23 St N To 28 St N Southside - Grnspc_1180,417.7088051612903,low
26 Ave N Erminedale Blvd To Bluefox Blvd,417.7064916129032,low
26 Ave N Erminedale Blvd To Bluefox Blvd - Grnspc_1173,417.7065279032258,low
26 Ave N Northside - Area 1,417.7090519354839,low
26 Ave N Northside - Area 1 - Grnspc_1175,417.7089929032258,low
28 St N 14 Ave N To 18 Ave N - Eastside,417.7096325806452,low
28 St N 14 Ave N To 18 Ave N - Eastside - Grnspc_800,417.70963419354837,low
28 St N 18 Ave N To 26 Ave N - Eastside,417.7101951612903,low
28 St N 18 Ave N To 26 Ave N - Eastside - Grnspc_1216,417.71019,low
28 St N 18 Ave N To 26 Ave N - Westside,417.70998806451615,low
28 St N 18 Ave N To 26 Ave N - Westside - Grnspc_427,417.71006758064516,low
28 St N 5 Ave N To 7 Ave N Eastside,417.70893677419355,low
28 St N 5 Ave N To 7 Ave N Eastside - Grnspc_526,417.7089258064516,low
28 St N 7 Ave N To 9 Ave N Eastside,417.7092141935484,low
28 St N 7 Ave N To 9 Ave N Eastside - Grnspc_518,417.7092443548387,low
28 St N And 26 Ave N - Area 1,417.7112506451613,low
28 St N And 26 Ave N - Area 1 - Grnspc_1270,417.7112558064516,low
28 St N And 26 Ave N - Area 2,417.7106651612903,low
28 St N And 26 Ave N - Area 2 - Grnspc_1268,417.710550483871,low
28 St N And 26 Ave N - Area 2 - Grnspc_1272,417.7119322580645,low
28 St N At 12 Ave N - Eastside Area 1,417.70947129032254,low
28 St N At 12 Ave N - Eastside Area 1 - Grnspc_515,417.7094535483871,low
28 St N At 18 Ave N - Southside,417.7099370967742,low
28 St N At 18 Ave N - Southside - Grnspc_512,417.70985021505373,low
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 1,417.71047032258065,low
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 1 - Grnspc_1264,417.7105062903226,low
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 2,417.7105977419355,low
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 2 - Grnspc_1258,417.71063274193546,low
28 St N Buffer Eastside At 12 Ave N,417.70955580645165,low
