Facility_Name,CO2,Category
(Not Specified),421.8386396428571,medium
1 Ave N 14 St N To Mm Drive - Grnspc_655,421.8418196428571,medium
1 Ave S At Brewery Gardens,421.84071464285717,medium
1 Ave S At Brewery Gardens - Grnspc_9609,421.84070242857143,medium
11 Ave South Tot Lot,421.84027392857143,medium
13 St N - West Buffer 2 - Grnspc_1824,421.8459030357143,medium
13 St N - West Buffer 3 - Grnspc_1855,421.8461360714286,medium
13 St N 44 Ave N To Pavan Park Entrance - Grnspc_628,421.8474717857143,medium
15Th Street Park,422.54600750000003,high
17Th Street Park,422.54565428571425,high
18 St N Park,421.84243285714285,medium
19 St Depot,422.0169707142857,high
20 Ave Greenstrip,421.83887214285716,medium
20 Ave Greenstrip - Grnspc_591,421.83886892857146,medium
21A St N Walkway,421.8426221428571,medium
23 St N 2 Ave N To 3 Ave N Eastside Area 2 - Grnspc_520,421.84248285714284,medium
23 St N 2 Ave N To 3 Ave N Westside Area 1 - Grnspc_537,421.8426017857143,medium
23 St N 2 Ave N To 3 Ave N Westside Area 2 - Grnspc_1168,421.84254607142856,medium
23 St N 3 Ave N To 5 Ave N Eastside - Grnspc_4331,421.842775,medium
26 Ave N 13 St N To 18 St N,421.8451975,medium
26 Ave N 13 St N To 18 St N - Grnspc_1830,421.8452339285714,medium
26 Ave N 13 St N To Erminedale Blvd,421.84522964285713,medium
26 Ave N 18 St N To 23 St N,421.84535142857146,medium
26 Ave N 18 St N To 23 St N - Grnspc_1179,421.8453903571429,medium
26 Ave N 23 St N To 28 St N Southside,421.8455796428571,medium
26 Ave N 23 St N To 28 St N Southside - Grnspc_1180,421.8455882142857,medium
26 Ave N Erminedale Blvd To Bluefox Blvd,421.84542999999996,medium
26 Ave N Erminedale Blvd To Bluefox Blvd - Grnspc_1173,421.84542714285715,medium
26 Ave N Northside - Area 1,421.84565642857143,medium
26 Ave N Northside - Area 1 - Grnspc_1175,421.84564928571433,medium
28 St N 14 Ave N To 18 Ave N - Eastside,421.8447275,medium
28 St N 14 Ave N To 18 Ave N - Eastside - Grnspc_800,421.8447146428571,medium
28 St N 18 Ave N To 26 Ave N - Eastside,421.8454121428571,medium
28 St N 18 Ave N To 26 Ave N - Eastside - Grnspc_1216,421.8454557142857,medium
28 St N 18 Ave N To 26 Ave N - Westside,421.84542714285715,medium
28 St N 18 Ave N To 26 Ave N - Westside - Grnspc_427,421.8455623214286,medium
28 St N 5 Ave N To 7 Ave N Eastside,421.84341178571424,medium
