Facility_Name,CO2,Category
(Not Specified),420.92770784946237,medium
1 Ave N 14 St N To Mm Drive - Grnspc_655,420.939384516129,medium
1 Ave S At Brewery Gardens,420.9351861290323,medium
1 Ave S At Brewery Gardens - Grnspc_9609,420.9351138064516,medium
11 Ave South Tot Lot,420.9401258064516,medium
13 St N - West Buffer 2 - Grnspc_1824,420.941989516129,medium
13 St N - West Buffer 3 - Grnspc_1855,420.94217612903225,medium
13 St N 44 Ave N To Pavan Park Entrance - Grnspc_628,420.9432435483871,medium
15Th Street Park,421.23542258064515,medium
17Th Street Park,421.23438741935485,medium
18 St N Park,420.94000419354836,medium
19 St Depot,420.89169,medium
20 Ave Greenstrip,420.93785096774195,medium
20 Ave Greenstrip - Grnspc_591,420.9378435483871,medium
21A St N Walkway,420.9407187096774,medium
23 St N 2 Ave N To 3 Ave N Eastside Area 2 - Grnspc_520,420.9406522580645,medium
23 St N 2 Ave N To 3 Ave N Westside Area 1 - Grnspc_537,420.94079258064517,medium
23 St N 2 Ave N To 3 Ave N Westside Area 2 - Grnspc_1168,420.94069548387097,medium
23 St N 3 Ave N To 5 Ave N Eastside - Grnspc_4331,420.94109419354834,medium
26 Ave N 13 St N To 18 St N,420.9417845161291,medium
26 Ave N 13 St N To 18 St N - Grnspc_1830,420.9419819354839,medium
26 Ave N 13 St N To Erminedale Blvd,420.9418158064516,medium
26 Ave N 18 St N To 23 St N,420.9425070967742,medium
26 Ave N 18 St N To 23 St N - Grnspc_1179,420.94267935483873,medium
26 Ave N 23 St N To 28 St N Southside,420.9435525806452,medium
26 Ave N 23 St N To 28 St N Southside - Grnspc_1180,420.94358,medium
26 Ave N Erminedale Blvd To Bluefox Blvd,420.9426964516129,medium
26 Ave N Erminedale Blvd To Bluefox Blvd - Grnspc_1173,420.9427096774194,medium
26 Ave N Northside - Area 1,420.9436996774194,medium
26 Ave N Northside - Area 1 - Grnspc_1175,420.9436777419355,medium
28 St N 14 Ave N To 18 Ave N - Eastside,420.9433787096774,medium
28 St N 14 Ave N To 18 Ave N - Eastside - Grnspc_800,420.9433706451613,medium
28 St N 18 Ave N To 26 Ave N - Eastside,420.94395483870966,medium
28 St N 18 Ave N To 26 Ave N - Eastside - Grnspc_1216,420.94398096774194,medium
28 St N 18 Ave N To 26 Ave N - Westside,420.9438941935484,medium
28 St N 18 Ave N To 26 Ave N - Westside - Grnspc_427,420.9439990322581,medium
28 St N 5 Ave N To 7 Ave N Eastside,420.9423970967742,medium
28 St N 5 Ave N To 7 Ave N Eastside - Grnspc_526,420.9423822580645,medium
28 St N 7 Ave N To 9 Ave N Eastside,420.94271741935484,medium
28 St N 7 Ave N To 9 Ave N Eastside - Grnspc_518,420.94272548387096,medium
28 St N And 26 Ave N - Area 1,420.94455870967744,medium
28 St N And 26 Ave N - Area 1 - Grnspc_1270,420.94456129032255,medium
28 St N And 26 Ave N - Area 2,420.94432870967745,medium
28 St N And 26 Ave N - Area 2 - Grnspc_1268,420.94428854838714,medium
28 St N And 26 Ave N - Area 2 - Grnspc_1272,420.944824516129,medium
28 St N At 12 Ave N - Eastside Area 1,420.9431712903226,medium
28 St N At 12 Ave N - Eastside Area 1 - Grnspc_515,420.9431596774194,medium
28 St N At 18 Ave N - Southside,420.9436512903226,medium
28 St N At 18 Ave N - Southside - Grnspc_512,420.94358591397855,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 1,420.9443006451613,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 1 - Grnspc_1264,420.9443230645161,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 2,420.94444774193545,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 2 - Grnspc_1258,420.94447693548386,medium
28 St N Buffer Eastside At 12 Ave N,420.9431677419355,medium
28 St N Eastside Between 30 Ave N & 35 Ave N - Grnspc_1320,420.9447996774194,medium
28 St N Softball Diamond,420.9423480645161,medium
28 St N Westside - Blvd 1,420.942155483871,medium
28 St N Westside - Blvd 1 - Grnspc_1125,420.9421306451613,medium
28 St N Westside - Blvd 4,420.94291967741935,medium
28 St N Westside - Blvd 4 - Grnspc_1131,420.9429167741935,medium
28 St N Westside - Blvd 6,420.9432,medium
28 St N Westside - Blvd 6 - Grnspc_1132,420.9432070967742,medium
28 St N Westside - Blvd 7,420.94346193548387,medium
28 St N Westside - Blvd 7 - Grnspc_1133,420.9435516129032,medium
28 St S Walkway North,420.93767451612905,medium
28 St S Walkway North - Grnspc_5541,420.93766274193547,medium
28 St S Walkway South,420.93759967741937,medium
30 Ave N Southside Blvd 1 - Grnspc_1111,420.9446851612903,medium
30 St N Southside - Blvd 2 - Grnspc_1117,420.9454208064516,medium
36 St N Eastside Blvd 1 - Grnspc_1107,420.946000483871,medium
40 Ave S - Blvd 1,420.9378374193548,medium
40 Ave S - Blvd 1 - Grnspc_1090,420.9378051612903,medium
43 St N And 5 Ave N Area 2 - Grnspc_410,420.94460870967737,medium
43 St N And 5 Ave N Area 5 - Grnspc_409,420.9449325806452,medium
43 St N And 6 Ave N Area 4 - Grnspc_866,420.9452722580645,medium
43 St N And 9 Ave N Area 5 - Grnspc_794,420.94549,medium
43Rd Street Tennis Court,420.9425129032258,medium
5 Ave N 23 St N To 26 St N - Northside,420.94149225806456,medium
5 Ave N 23 St N To 26 St N - Northside - Grnspc_527,420.9414790322581,medium
5 Ave N 26 St N To 28 St N,420.94190838709676,medium
5 Ave N 26 St N To 28 St N - Grnspc_1135,420.9419051612903,medium
66 St Depot,420.8801703225806,medium
A.C.R. Trail Park,421.03178677419356,medium
A.C.T. Aquatics And Recreation Centre Pool,421.2386348387097,medium
A.E. Galway Park,421.0292616129032,medium
Ab Macdonald,421.21477505376345,medium
Ab O'Leary,421.23484440860216,medium
Abbey Park,421.2527283870968,medium
Abbeydale Community Centre,420.91488838709677,medium
Abbeydale Elem,420.9148729032258,medium
Abbottsfield,421.24133212903223,medium
Abbottsfield Park,421.24128806451614,medium
Abbottsfield Recreation Centre,421.24107838709676,medium
Aberdeen Park,420.9279361290322,medium
Aca Trails,420.70237467741936,medium
Acadia Aquatic & Fitness Centre,420.8886929032258,medium
Acadia Athletic Park,420.8880735483871,medium
Acadia Community Centre,420.8879441935484,medium
