Facility_Name,CO2,Category
(Not Specified),421.9412662666666,medium
1 Ave N 14 St N To Mm Drive - Grnspc_655,421.93980880000004,medium
1 Ave S At Brewery Gardens,421.94042,medium
1 Ave S At Brewery Gardens - Grnspc_9609,421.940452,medium
11 Ave South Tot Lot,421.9357864,medium
13 St N - West Buffer 2 - Grnspc_1824,421.94710200000003,medium
13 St N - West Buffer 3 - Grnspc_1855,421.94749360000003,medium
13 St N 44 Ave N To Pavan Park Entrance - Grnspc_628,421.9497284,medium
15Th Street Park,423.20759080000005,high
17Th Street Park,423.2073708,high
18 St N Park,421.94072639999996,medium
19 St Depot,422.32591840000003,high
20 Ave Greenstrip,421.93428919999997,medium
20 Ave Greenstrip - Grnspc_591,421.93428359999996,medium
21A St N Walkway,421.940632,medium
23 St N 2 Ave N To 3 Ave N Eastside Area 2 - Grnspc_520,421.9403688,medium
23 St N 2 Ave N To 3 Ave N Westside Area 1 - Grnspc_537,421.94053119999995,medium
23 St N 2 Ave N To 3 Ave N Westside Area 2 - Grnspc_1168,421.94047079999996,medium
23 St N 3 Ave N To 5 Ave N Eastside - Grnspc_4331,421.9406956,medium
26 Ave N 13 St N To 18 St N,421.9456592,medium
26 Ave N 13 St N To 18 St N - Grnspc_1830,421.9456008,medium
26 Ave N 13 St N To Erminedale Blvd,421.9457088,medium
26 Ave N 18 St N To 23 St N,421.94548799999995,medium
26 Ave N 18 St N To 23 St N - Grnspc_1179,421.9454412,medium
26 Ave N 23 St N To 28 St N Southside,421.94523000000004,medium
26 Ave N 23 St N To 28 St N Southside - Grnspc_1180,421.9452212,medium
26 Ave N Erminedale Blvd To Bluefox Blvd,421.94551160000003,medium
26 Ave N Erminedale Blvd To Bluefox Blvd - Grnspc_1173,421.9455044,medium
26 Ave N Northside - Area 1,421.945284,medium
26 Ave N Northside - Area 1 - Grnspc_1175,421.9452936,medium
28 St N 14 Ave N To 18 Ave N - Eastside,421.94343200000003,medium
28 St N 14 Ave N To 18 Ave N - Eastside - Grnspc_800,421.943408,medium
28 St N 18 Ave N To 26 Ave N - Eastside,421.9445584,medium
28 St N 18 Ave N To 26 Ave N - Eastside - Grnspc_1216,421.94463640000004,medium
28 St N 18 Ave N To 26 Ave N - Westside,421.944636,medium
28 St N 18 Ave N To 26 Ave N - Westside - Grnspc_427,421.94486340000003,medium
28 St N 5 Ave N To 7 Ave N Eastside,421.9411832,medium
28 St N 5 Ave N To 7 Ave N Eastside - Grnspc_526,421.94115039999997,medium
28 St N 7 Ave N To 9 Ave N Eastside,421.9418588,medium
28 St N 7 Ave N To 9 Ave N Eastside - Grnspc_518,421.941833,medium
28 St N And 26 Ave N - Area 1,421.94506800000005,medium
28 St N And 26 Ave N - Area 1 - Grnspc_1270,421.94507080000005,medium
28 St N And 26 Ave N - Area 2,421.9451268,medium
28 St N And 26 Ave N - Area 2 - Grnspc_1268,421.9451436,medium
28 St N And 26 Ave N - Area 2 - Grnspc_1272,421.94500800000003,medium
28 St N At 12 Ave N - Eastside Area 1,421.94297919999997,medium
28 St N At 12 Ave N - Eastside Area 1 - Grnspc_515,421.9429672,medium
28 St N At 18 Ave N - Southside,421.9439016,medium
28 St N At 18 Ave N - Southside - Grnspc_512,421.9438121333333,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 1,421.9453012,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 1 - Grnspc_1264,421.9453198,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 2,421.94559999999996,medium
28 St N Between 26 Ave N & 30 Ave N Eastside - Blvd 2 - Grnspc_1258,421.9456534,medium
28 St N Buffer Eastside At 12 Ave N,421.9428516,medium
28 St N Eastside Between 30 Ave N & 35 Ave N - Grnspc_1320,421.9463136,medium
28 St N Softball Diamond,421.94108639999996,medium
28 St N Westside - Blvd 1,421.94096360000003,medium
28 St N Westside - Blvd 1 - Grnspc_1125,421.94092440000003,medium
28 St N Westside - Blvd 4,421.9425784,medium
28 St N Westside - Blvd 4 - Grnspc_1131,421.9426432,medium
28 St N Westside - Blvd 6,421.9431592,medium
