Facility_Name,CO2,Category
(Not Specified),415.8020466666667,low
1 Ave N 14 St N To Mm Drive - Grnspc_655,415.832245,low
1 Ave S At Brewery Gardens,415.8212125,low
1 Ave S At Brewery Gardens - Grnspc_9609,415.821036,low
11 Ave South Tot Lot,415.83299750000003,low
13 St N - West Buffer 2 - Grnspc_1824,415.8414725,low
13 St N - West Buffer 3 - Grnspc_1855,415.84209125,low
13 St N 44 Ave N To Pavan Park Entrance - Grnspc_628,415.8456175,low
15Th Street Park,416.6198925,low
17Th Street Park,416.617815,low
18 St N Park,415.8341975,low
19 St Depot,415.819715,low
20 Ave Greenstrip,415.8264525,low
20 Ave Greenstrip - Grnspc_591,415.8264275,low
21A St N Walkway,415.8360625,low
23 St N 2 Ave N To 3 Ave N Eastside Area 2 - Grnspc_520,415.83582,low
23 St N 2 Ave N To 3 Ave N Westside Area 1 - Grnspc_537,415.83624,low
23 St N 2 Ave N To 3 Ave N Westside Area 2 - Grnspc_1168,415.8359625,low
23 St N 3 Ave N To 5 Ave N Eastside - Grnspc_4331,415.8370975,low
26 Ave N 13 St N To 18 St N,415.840465,low
26 Ave N 13 St N To 18 St N - Grnspc_1830,415.8409825,low
26 Ave N 13 St N To Erminedale Blvd,415.84058,low
26 Ave N 18 St N To 23 St N,415.842365,low
26 Ave N 18 St N To 23 St N - Grnspc_1179,415.842805,low
26 Ave N 23 St N To 28 St N Southside,415.8450675,low
26 Ave N 23 St N To 28 St N Southside - Grnspc_1180,415.845135,low
26 Ave N Erminedale Blvd To Bluefox Blvd,415.8428675,low
26 Ave N Erminedale Blvd To Bluefox Blvd - Grnspc_1173,415.842895,low
26 Ave N Northside - Area 1,415.8454875,low
26 Ave N Northside - Area 1 - Grnspc_1175,415.84542999999996,low
28 St N 14 Ave N To 18 Ave N - Eastside,415.84406,low
28 St N 14 Ave N To 18 Ave N - Eastside - Grnspc_800,415.8440225,low
28 St N 18 Ave N To 26 Ave N - Eastside,415.8459525,low
28 St N 18 Ave N To 26 Ave N - Eastside - Grnspc_1216,415.8460325,low
28 St N 18 Ave N To 26 Ave N - Westside,415.84581000000003,low
28 St N 18 Ave N To 26 Ave N - Westside - Grnspc_427,415.8461575,low
28 St N 5 Ave N To 7 Ave N Eastside,415.84073,low
28 St N 5 Ave N To 7 Ave N Eastside - Grnspc_526,415.84068249999996,low
28 St N 7 Ave N To 9 Ave N Eastside,415.8417975,low
28 St N 7 Ave N To 9 Ave N Eastside - Grnspc_518,415.8418104166667,low
