Facility_Name,CO2,Category
"""House On The Hill""",413.70023935483874,low
(Crossfit Renegade) Renegade Athletics,414.33564290322585,low
"(Studio A) Bright, Large Dance Studio",414.32381612903225,low
(Studio B) Bright Dance Studio Downtown New West,414.32367741935485,low
0A - Greenbelt,414.33653129032257,low
"1 Practice Tennis Half Court & Wall #2; Clayton Park, 18513 70 Ave",414.38171548387095,low
"1 Practice Tennis Half Court & Wall #2; Fleetwood Park, 15802 80 Ave",414.3595751612903,low
"1 Practice Tennis Half Court & Wall #2; Kennedy Park, 9058 Holt Rd",414.32698741935485,low
"1 Practice Tennis Half Court & Wall #3; Fraser Heights Park, 10588 160 St",414.36736096774194,low
"1 Tennis Court; Bridgeview Park, 11475 126A St",414.3384609677419,low
"1 Tennis Court; Cloverdale Heights Park, 5880 Aberdeen St",414.3652122580645,low
"1 Tennis Court; Douglas Park, 15044 99A Ave",414.3334570967742,low
100,414.4581918064516,low
1001 Steps - Greenbelt,414.31494096774196,low
101A - Greenbelt,414.32777903225804,low
102,414.45149258064515,low
102A - Greenbelt,414.3285070967742,low
102G - Greenbelt,414.3351319354839,low
102I - Greenbelt,414.3360877419355,low
103,414.45792709677414,low
103D - Utility Row,414.3406341935484,low
103E - Greenbelt,414.33881258064514,low
103F - Greenbelt,414.3377264516129,low
103H - Greenbelt,414.34031870967743,low
103I - Greenbelt,414.3364358064516,low
104,414.4683914516129,low
104A - Greenbelt,414.34917806451614,low
104G - Greenbelt,414.34670645161293,low
104H - Walkway,414.34381903225807,low
104J - Greenbelt,414.34831258064514,low
105A - Greenbelt,414.35227806451616,low
108,414.4588450439883,low
108A - Greenbelt,414.37481967741934,low
10A - Greenbelt,414.33486000000005,low
10B - Greenbelt,414.33768709677423,low
110,414.44535580645163,low
110A - Games Court,414.31449870967737,low
110A - Games Court - Basketball Courts,414.314495483871,low
110B - Greenbelt,414.31892161290324,low
110C - Greenbelt,414.31771967741935,low
110D - Walkway,414.3154003225807,low
110E - Greenbelt,414.3142587096774,low
110H - Greenbelt,414.3170264516129,low
111A - Greenbelt,414.3216174193548,low
111B - Greenbelt,414.3220264516129,low
111C - Greenbelt,414.3239377419355,low
111D - Greenbelt,414.32577354838713,low
111E - Greenbelt,414.32326032258067,low
111F - Greenbelt,414.3213070967742,low
111G - Greenbelt,414.3207877419355,low
112,414.4627032258065,low
112A - Greenbelt,414.32920548387096,low
112E - Greenbelt,414.33357096774193,low
112F - Greenbelt,414.3342864516129,low
112G - Greenbelt,414.32792032258067,low
112H - Greenbelt,414.3302603225806,low
112I - Greenbelt,414.32865483870967,low
112J - Greenbelt,414.32920322580645,low
112K - Greenbelt,414.3347106451613,low
112L - Walkway,414.33001193548387,low
112O - Greenbelt,414.33212032258064,low
112P - Greenbelt,414.32814548387097,low
112Q - Greenbelt,414.33204677419354,low
112R - Greenbelt,414.3273151612903,low
112S - Greenbelt,414.33221225806454,low
113,414.4485687096774,low
114D - Greenbelt,414.34505129032254,low
114E - Greenbelt,414.34501548387095,low
114F - Greenbelt,414.34435806451614,low
114G - Greenbelt,414.3447896774194,low
115B - Greenbelt,414.35089322580643,low
115E - Greenbelt,414.35154322580644,low
115F - Greenbelt,414.35626838709675,low
115G - Greenbelt,414.355535483871,low
115H - Neighbourhood Park,414.35526258064516,low
115I - Neighbourhood Park,414.35562870967743,low
115K - Greenbelt,414.3544177419355,low
115L - Greenbelt,414.3536264516129,low
115M - Greenbelt,414.3538464516129,low
116,414.4660486021505,low
116A - Greenbelt,414.3635380645161,low
116B - Greenbelt,414.35969741935486,low
116E - Community Park,414.35925258064515,low
116G - Greenbelt,414.35676161290326,low
117,414.4531277419355,low
117A - Neighbourhood Park,414.3685370967742,low
118A - Greenbelt,414.3734758064516,low
118B - Greenbelt,414.3720380645161,low
118C - Neighbourhood Park,414.37026580645164,low
11A - Greenbelt,414.3431648387097,low
11C - Greenbelt,414.34338935483873,low
11D - Greenbelt,414.3431312903226,low
120A - Greenbelt,414.3163490322581,low
120F - Greenbelt,414.3153564516129,low
121C - Greenbelt,414.32102451612906,low
121D - Greenbelt,414.3198070967742,low
121E - Greenbelt,414.3185764516129,low
121F - Walkway,414.3197748387097,low
121G - Walkway,414.3197222580645,low
121H - Walkway,414.31957677419354,low
121I - Detention Pond,414.3197141935484,low
121J - Greenbelt,414.3218893548387,low
121K - Greenbelt,414.32263387096776,low
121L - Greenbelt,414.3232070967742,low
