Facility_Name,CO2,Category
"""House On The Hill""",421.56145321428573,medium
(Crossfit Renegade) Renegade Athletics,421.47850892857144,medium
"(Studio A) Bright, Large Dance Studio",421.4928489285714,medium
(Studio B) Bright Dance Studio Downtown New West,421.4929746428571,medium
0A - Greenbelt,421.49500464285717,medium
"1 Practice Tennis Half Court & Wall #2; Clayton Park, 18513 70 Ave",421.48434214285714,medium
"1 Practice Tennis Half Court & Wall #2; Fleetwood Park, 15802 80 Ave",421.4857985714286,medium
"1 Practice Tennis Half Court & Wall #2; Kennedy Park, 9058 Holt Rd",421.4866714285714,medium
"1 Practice Tennis Half Court & Wall #3; Fraser Heights Park, 10588 160 St",421.4952457142857,medium
"1 Tennis Court; Bridgeview Park, 11475 126A St",421.49576964285717,medium
"1 Tennis Court; Cloverdale Heights Park, 5880 Aberdeen St",421.47902928571426,medium
"1 Tennis Court; Douglas Park, 15044 99A Ave",421.4900946428571,medium
100,421.50074885714287,medium
1001 Steps - Greenbelt,421.4599639285714,medium
101A - Greenbelt,421.46673357142856,medium
102,421.5009941071429,medium
102A - Greenbelt,421.4671039285714,medium
102G - Greenbelt,421.46894214285714,medium
102I - Greenbelt,421.46885035714286,medium
103,421.5016928571428,medium
103D - Utility Row,421.46869642857143,medium
103E - Greenbelt,421.468455,medium
103F - Greenbelt,421.46906249999995,medium
103H - Greenbelt,421.4683282142857,medium
103I - Greenbelt,421.468725,medium
104,421.50304874999995,medium
104A - Greenbelt,421.4684989285714,medium
104G - Greenbelt,421.47056321428573,medium
104H - Walkway,421.468925,medium
104J - Greenbelt,421.4710017857143,medium
105A - Greenbelt,421.47020035714286,medium
108,421.50365805194804,medium
108A - Greenbelt,421.47177357142857,medium
10A - Greenbelt,421.49249178571426,medium
10B - Greenbelt,421.49372285714287,medium
110,421.50326410714285,medium
110A - Games Court,421.46459357142857,medium
110A - Games Court - Basketball Courts,421.46459357142857,medium
110B - Greenbelt,421.4647614285714,medium
110C - Greenbelt,421.46431,medium
110D - Walkway,421.4629932142857,medium
110E - Greenbelt,421.4629932142857,medium
110H - Greenbelt,421.4635921428571,medium
111A - Greenbelt,421.4652689285714,medium
111B - Greenbelt,421.46504892857143,medium
111C - Greenbelt,421.46461892857144,medium
111D - Greenbelt,421.46425892857144,medium
111E - Greenbelt,421.4656892857143,medium
111F - Greenbelt,421.46475571428573,medium
111G - Greenbelt,421.4649635714286,medium
112,421.50537830357143,medium
112A - Greenbelt,421.4657857142857,medium
112E - Greenbelt,421.4651728571429,medium
112F - Greenbelt,421.4666303571429,medium
112G - Greenbelt,421.4644382142857,medium
112H - Greenbelt,421.46612571428574,medium
112I - Greenbelt,421.46455214285714,medium
112J - Greenbelt,421.46432678571426,medium
112K - Greenbelt,421.46648214285716,medium
112L - Walkway,421.46444035714285,medium
112O - Greenbelt,421.4663364285714,medium
112P - Greenbelt,421.4661953571429,medium
112Q - Greenbelt,421.4665628571429,medium
112R - Greenbelt,421.4645117857143,medium
112S - Greenbelt,421.46651535714284,medium
113,421.50478785714284,medium
114D - Greenbelt,421.4678735714286,medium
114E - Greenbelt,421.4676067857143,medium
114F - Greenbelt,421.4673303571429,medium
114G - Greenbelt,421.4672782142857,medium
115B - Greenbelt,421.46796750000004,medium
115E - Greenbelt,421.4669342857143,medium
115F - Greenbelt,421.4689407142857,medium
115G - Greenbelt,421.4686807142857,medium
115H - Neighbourhood Park,421.4682075,medium
115I - Neighbourhood Park,421.4683421428571,medium
115K - Greenbelt,421.46792214285716,medium
115L - Greenbelt,421.46773214285713,medium
115M - Greenbelt,421.4687417857143,medium
116,421.5069908333333,medium
116A - Greenbelt,421.4693392857143,medium
116B - Greenbelt,421.4676871428572,medium
116E - Community Park,421.46716321428573,medium
116G - Greenbelt,421.4675539285714,medium
117,421.50645607142854,medium
117A - Neighbourhood Park,421.4681467857143,medium
118A - Greenbelt,421.47008142857146,medium
118B - Greenbelt,421.46803607142857,medium
118C - Neighbourhood Park,421.4676682142857,medium
11A - Greenbelt,421.49445357142855,medium
11C - Greenbelt,421.494705,medium
11D - Greenbelt,421.49427607142854,medium
120A - Greenbelt,421.4617767857143,medium
120F - Greenbelt,421.4600371428572,medium
121C - Greenbelt,421.4614396428571,medium
121D - Greenbelt,421.4619817857143,medium
121E - Greenbelt,421.4614335714286,medium
121F - Walkway,421.46167857142854,medium
121G - Walkway,421.4615153571429,medium
121H - Walkway,421.46135035714286,medium
121I - Detention Pond,421.4611957142857,medium
121J - Greenbelt,421.4615703571429,medium
121K - Greenbelt,421.4617682142857,medium
121L - Greenbelt,421.4613925,medium
121M - Greenbelt,421.4611925,medium
121N - Greenbelt,421.46087,medium
121O - Detention Pond,421.4604882142857,medium
121R - Greenbelt,421.4620660714286,medium
121S - Greenbelt,421.461945,medium
121T - Walkway,421.4620703571428,medium
121U - Greenbelt,421.4616175,medium
121V - Greenbelt,421.46099321428574,medium
121W - Greenbelt,421.46076535714286,medium
121X - Greenbelt,421.46280642857147,medium
121Z - Greenbelt,421.4636275,medium
122A - Greenbelt,421.4618660714286,medium
122B - Greenbelt,421.46152249999994,medium
122C - Greenbelt,421.4615889285714,medium
122D - Greenbelt,421.46117785714284,medium
122E - Detention Pond / Bell Estates Park,421.462155,medium
122G - Greenbelt,421.46240178571423,medium
122H - Greenbelt,421.46108999999996,medium
122I - Greenbelt,421.4627417857143,medium
122J - Greenbelt,421.4626235714286,medium
122K - Greenbelt,421.46334071428566,medium
122L - Greenbelt,421.4627192857143,medium
122M - Greenbelt,421.46207964285713,medium
122O - Greenbelt,421.46371392857145,medium
122R - Walkway,421.46118964285716,medium
123B - Greenbelt,421.4637532142857,medium
123C - Walkway,421.46351535714285,medium
123G - Greenbelt,421.4625807142857,medium
123H - Greenbelt,421.4626478571428,medium
124,421.50854095238094,medium
124A - Detention Pond,421.4641221428571,medium
124B - Greenbelt,421.46421000000004,medium
124C - Greenbelt,421.46471,medium
124E - Greenbelt,421.4636635714286,medium
124F - Detention Pond,421.46364607142857,medium
125,421.5094810714286,medium
125B - Greenbelt,421.46406285714284,medium
125C - Utility Row,421.46356071428573,medium
125D - Nature Preserve,421.4638982142857,medium
125E - Greenbelt,421.46502642857143,medium
125F - Greenbelt,421.46419035714285,medium
125G - Greenbelt,421.46379571428577,medium
127,421.50786754464286,medium
127A - Greenbelt,421.46538642857143,medium
128,421.5087678061224,medium
128A - Greenbelt,421.4666610714286,medium
128B - Neighbourhood Park,421.4668682142857,medium
128C - Greenbelt,421.46745392857144,medium
129A - Greenbelt,421.46792071428575,medium
129B - Greenbelt,421.4670539285714,medium
12A - Utility Row,421.49593035714287,medium
12B - Utility Row,421.4955603571429,medium
12D - Utility Row,421.49454000000003,medium
12F - Greenbelt,421.4949539285714,medium
12G - Utility Row,421.4940346428571,medium
12H - Utility Row,421.4934303571428,medium
12J - Greenbelt,421.4956767857143,medium
12K - Neighbourhood Park,421.49337535714284,medium
12L - Neighbourhood Park,421.49513535714283,medium
130,421.5110553571429,medium
130 Connector,421.5105589285714,medium
131A - Greenbelt,421.4599710714286,medium
131B - Greenbelt,421.46042714285716,medium
131C - Greenbelt,421.4595157142857,medium
131D - Greenbelt,421.45971285714285,medium
131E - Greenbelt,421.45925714285715,medium
132,421.51020685714286,medium
135A - Detention Pond,421.4620003571428,medium
135D - Detention Pond,421.4610014285714,medium
135E - Greenbelt,421.46083714285714,medium
135F - Greenbelt,421.46088000000003,medium
135G - Greenbelt,421.46056142857145,medium
135H - Greenbelt,421.4627667857143,medium
136,421.5112755952381,medium
138A - Greenbelt,421.4633825,medium
138B - Greenbelt,421.464975,medium
139A - Greenbelt,421.4628792857143,medium
13B - Greenbelt,421.49636142857145,medium
146A - Neighbourhood Park,421.45847785714284,medium
146C - Neighbourhood Park,421.4586146428572,medium
146D - Greenbelt,421.45875321428576,medium
146E - Greenbelt,421.45902785714287,medium
146F - Greenbelt,421.45822214285715,medium
146G - Greenbelt,421.4584664285714,medium
147A - Greenbelt,421.4612478571429,medium
14A - Greenbelt,421.4956507142857,medium
14B - Greenbelt,421.4958114285714,medium
14D - Greenbelt,421.4964142857143,medium
14E - Greenbelt,421.49624214285717,medium
14F - Greenbelt,421.4948010714285,medium
14G - Greenbelt,421.49528428571426,medium
14K - Greenbelt,421.4949557142857,medium
14L - Greenbelt,421.494635,medium
14N - Neighbourhood Park,421.49571285714285,medium
14O - Greenbelt,421.4951589285714,medium
14P - Greenbelt,421.49498857142856,medium
14Q - Greenbelt,421.4946192857143,medium
14R - Greenbelt,421.4967539285714,medium
15A - Greenbelt,421.49670857142854,medium
15E - Greenbelt,421.4951567857143,medium
15F - Greenbelt,421.4951185714286,medium
15G - Greenbelt,421.49509821428575,medium
15H - Greenbelt,421.49485714285714,medium
15I - Greenbelt,421.4947767857143,medium
15J - Greenbelt,421.4959060714286,medium
15J - Greenbelt / 15L - Greenbelt,421.49603071428567,medium
15L - Greenbelt,421.49612285714284,medium
15M - Greenbelt,421.49762071428574,medium
15O - Greenbelt,421.4951192857143,medium
16A - Greenbelt,421.4959185714286,medium
16B - Greenbelt / 16A - Greenbelt,421.4956514285714,medium
16C - Greenbelt,421.4959946428571,medium
16D - Greenbelt,421.4955457142857,medium
19A - Greenbelt,421.48934392857143,medium
19B - Greenbelt,421.49041535714287,medium
19E - Greenbelt,421.48973964285716,medium
19Th Hole,421.59465785714286,medium
1A - Greenbelt,421.49539357142856,medium
1St Street Trail,421.5129,medium
"2 Practice Tennis Half Courts & Wall #2; Maple Green Park, 8959 150 St",421.4937192857143,medium
"2 Practice Tennis Half Courts & Wall #3; Crescent Park School Grounds, 2440 128 St",421.4632082142857,medium
"2 Tennis Courts #1; Crescent Park School Grounds, 2440 128 St",421.4632082142857,medium
"2 Tennis Courts #1; Fleetwood Park, 15802 80 Ave",421.4857985714286,medium
"2 Tennis Courts #1; Fraser Heights Park, 10588 160 St",421.4952457142857,medium
"2 Tennis Courts #1; Maple Green Park, 8959 150 St",421.4937192857143,medium
"2 Tennis Courts #2; Crescent Park School Grounds, 2440 128 St",421.4632082142857,medium
