Facility_Name,CO2,Category
"""House On The Hill""",418.3799658064516,low
(Crossfit Renegade) Renegade Athletics,418.89452645161293,medium
"(Studio A) Bright, Large Dance Studio",418.88659161290326,medium
(Studio B) Bright Dance Studio Downtown New West,418.8864967741936,medium
0A - Greenbelt,418.8970158064516,medium
"1 Practice Tennis Half Court & Wall #2; Clayton Park, 18513 70 Ave",418.93223193548386,medium
"1 Practice Tennis Half Court & Wall #2; Fleetwood Park, 15802 80 Ave",418.91455677419356,medium
"1 Practice Tennis Half Court & Wall #2; Kennedy Park, 9058 Holt Rd",418.88842,medium
"1 Practice Tennis Half Court & Wall #3; Fraser Heights Park, 10588 160 St",418.9217958064516,medium
"1 Tennis Court; Bridgeview Park, 11475 126A St",418.8986393548387,medium
"1 Tennis Court; Cloverdale Heights Park, 5880 Aberdeen St",418.9183864516129,medium
"1 Tennis Court; Douglas Park, 15044 99A Ave",418.89401903225803,medium
100,418.9947057419355,medium
1001 Steps - Greenbelt,418.87577612903226,medium
101A - Greenbelt,418.8869641935484,medium
102,418.98945758064514,medium
102A - Greenbelt,418.8875906451613,medium
102G - Greenbelt,418.8931212903226,medium
102I - Greenbelt,418.8938803225807,medium
103,418.99459645161295,medium
103D - Utility Row,418.8975258064516,medium
103E - Greenbelt,418.8960351612903,medium
103F - Greenbelt,418.8952235483871,medium
103H - Greenbelt,418.8972258064516,medium
103I - Greenbelt,418.8941470967742,medium
104,419.00297102150535,medium
104A - Greenbelt,418.90436387096776,medium
104G - Greenbelt,418.9026070967742,medium
104H - Walkway,418.90010806451613,medium
104J - Greenbelt,418.90394806451616,medium
105A - Greenbelt,418.9070612903226,medium
108,418.9955136363637,medium
108A - Greenbelt,418.9253958064516,medium
10A - Greenbelt,418.89543709677423,medium
10B - Greenbelt,418.89782806451615,medium
110,418.98485645161287,medium
110A - Games Court,418.8760325806452,medium
110A - Games Court - Basketball Courts,418.8760325806452,medium
110B - Greenbelt,418.87960161290323,medium
110C - Greenbelt,418.8785803225806,medium
110D - Walkway,418.87654,medium
110E - Greenbelt,418.875630967742,medium
110H - Greenbelt,418.87792677419355,medium
111A - Greenbelt,418.88183129032257,medium
111B - Greenbelt,418.8821277419355,medium
111C - Greenbelt,418.8836058064516,medium
111D - Greenbelt,418.8850229032258,medium
111E - Greenbelt,418.8832,medium
111F - Greenbelt,418.8815119354839,medium
111G - Greenbelt,418.88112677419355,medium
112,418.99873995967744,medium
112A - Greenbelt,418.8879822580645,medium
112E - Greenbelt,418.8913993548387,medium
112F - Greenbelt,418.89216387096775,medium
112G - Greenbelt,418.8867670967742,medium
112H - Greenbelt,418.8888693548387,medium
112I - Greenbelt,418.8873735483871,medium
112J - Greenbelt,418.88778451612905,medium
112K - Greenbelt,418.8924887096774,medium
112L - Walkway,418.88844903225805,medium
112O - Greenbelt,418.8903890322581,medium
112P - Greenbelt,418.8871822580645,medium
112Q - Greenbelt,418.89036064516125,medium
112R - Greenbelt,418.88629419354834,medium
112S - Greenbelt,418.89048580645164,medium
113,418.987564516129,medium
114D - Greenbelt,418.90096516129034,medium
114E - Greenbelt,418.90090000000004,medium
114F - Greenbelt,418.90034225806454,medium
114G - Greenbelt,418.90068129032255,medium
