Facility_Name,CO2,Category
"""House On The Hill""",422.3045888,high
(Crossfit Renegade) Renegade Athletics,422.067494,high
"(Studio A) Bright, Large Dance Studio",422.0850892,high
(Studio B) Bright Dance Studio Downtown New West,422.08525399999996,high
0A - Greenbelt,422.085784,high
"1 Practice Tennis Half Court & Wall #2; Clayton Park, 18513 70 Ave",422.06763120000005,high
"1 Practice Tennis Half Court & Wall #2; Fleetwood Park, 15802 80 Ave",422.072316,high
"1 Practice Tennis Half Court & Wall #2; Kennedy Park, 9058 Holt Rd",422.0777676,high
"1 Practice Tennis Half Court & Wall #3; Fraser Heights Park, 10588 160 St",422.081788,high
"1 Tennis Court; Bridgeview Park, 11475 126A St",422.0863808,high
"1 Tennis Court; Cloverdale Heights Park, 5880 Aberdeen St",422.0639888,high
"1 Tennis Court; Douglas Park, 15044 99A Ave",422.0807236,high
100,422.07564152,high
1001 Steps - Greenbelt,422.0501736,high
101A - Greenbelt,422.0556452,high
102,422.07678500000003,high
102A - Greenbelt,422.0559308,high
102G - Greenbelt,422.0570196,high
102I - Greenbelt,422.05680440000003,high
103,422.07671320000003,high
103D - Utility Row,422.05603479999996,high
103E - Greenbelt,422.0560128,high
103F - Greenbelt,422.0568012,high
103H - Greenbelt,422.05568,high
103I - Greenbelt,422.0566168,high
104,422.0768504,high
104A - Greenbelt,422.05469680000004,high
104G - Greenbelt,422.0572164,high
104H - Walkway,422.0558508,high
104J - Greenbelt,422.0574752,high
105A - Greenbelt,422.0560976,high
108,422.0787670181818,high
108A - Greenbelt,422.0547732,high
10A - Greenbelt,422.08320760000004,high
10B - Greenbelt,422.084204,high
110,422.0800868,high
110A - Games Court,422.0551292,high
110A - Games Court - Basketball Courts,422.0551292,high
110B - Greenbelt,422.05472119999996,high
110C - Greenbelt,422.0544092,high
110D - Walkway,422.053318,high
110E - Greenbelt,422.05346919999994,high
110H - Greenbelt,422.0537412,high
111A - Greenbelt,422.0549012,high
111B - Greenbelt,422.0546176,high
111C - Greenbelt,422.05390520000003,high
111D - Greenbelt,422.0532796,high
111E - Greenbelt,422.05513720000005,high
111F - Greenbelt,422.05440000000004,high
111G - Greenbelt,422.05469680000004,high
112,422.08016245,high
112A - Greenbelt,422.05444839999996,high
112E - Greenbelt,422.05321519999995,high
112F - Greenbelt,422.05467400000003,high
112G - Greenbelt,422.05319080000004,high
112H - Greenbelt,422.0546728,high
112I - Greenbelt,422.053212,high
112J - Greenbelt,422.0529044,high
112K - Greenbelt,422.05445399999996,high
112L - Walkway,422.0529156,high
112O - Greenbelt,422.05464520000004,high
112P - Greenbelt,422.0550204,high
112Q - Greenbelt,422.0548992,high
112R - Greenbelt,422.05334880000004,high
112S - Greenbelt,422.05482320000004,high
113,422.081352,high
114D - Greenbelt,422.054576,high
114E - Greenbelt,422.0542956,high
114F - Greenbelt,422.05408719999997,high
114G - Greenbelt,422.0539736,high
115B - Greenbelt,422.0538916,high
115E - Greenbelt,422.0527008,high
115F - Greenbelt,422.05421479999995,high
115G - Greenbelt,422.0540304,high
115H - Neighbourhood Park,422.0535632,high
115I - Neighbourhood Park,422.0536576,high
115K - Greenbelt,422.0533732,high
115L - Greenbelt,422.05327120000004,high
115M - Greenbelt,422.054328,high
116,422.08149933333334,high
116A - Greenbelt,422.05367079999996,high
116B - Greenbelt,422.0524128,high
116E - Community Park,422.0519152,high
116G - Greenbelt,422.05266439999997,high
117,422.0826,high
117A - Neighbourhood Park,422.0517312,high
118A - Greenbelt,422.0531452,high
118B - Greenbelt,422.0511568,high
118C - Neighbourhood Park,422.0509944,high
11A - Greenbelt,422.0842584,high
11C - Greenbelt,422.08451560000003,high
11D - Greenbelt,422.084066,high
120A - Greenbelt,422.0519016,high
120F - Greenbelt,422.0501964,high
121C - Greenbelt,422.0509248,high
121D - Greenbelt,422.0516656,high
121E - Greenbelt,422.0512476,high
121F - Walkway,422.05134599999997,high
121G - Walkway,422.05118560000005,high
121H - Walkway,422.05102800000003,high
121I - Detention Pond,422.05084439999996,high
121J - Greenbelt,422.05095760000006,high
121K - Greenbelt,422.05106,high
