Facility_Name,CO2,Category
"""House On The Hill""",412.0162125,low
(Crossfit Renegade) Renegade Athletics,412.4350875,low
"(Studio A) Bright, Large Dance Studio",412.4396175,low
(Studio B) Bright Dance Studio Downtown New West,412.4396325,low
0A - Greenbelt,412.453055,low
"1 Practice Tennis Half Court & Wall #2; Clayton Park, 18513 70 Ave",412.48177,low
"1 Practice Tennis Half Court & Wall #2; Fleetwood Park, 15802 80 Ave",412.46380999999997,low
"1 Practice Tennis Half Court & Wall #2; Kennedy Park, 9058 Holt Rd",412.435995,low
"1 Practice Tennis Half Court & Wall #3; Fraser Heights Park, 10588 160 St",412.4805625,low
"1 Tennis Court; Bridgeview Park, 11475 126A St",412.45554,low
"1 Tennis Court; Cloverdale Heights Park, 5880 Aberdeen St",412.4616625,low
"1 Tennis Court; Douglas Park, 15044 99A Ave",412.44528,low
100,412.5665885,low
1001 Steps - Greenbelt,412.39727,low
101A - Greenbelt,412.4157975,low
102,412.56090125000003,low
102A - Greenbelt,412.41684,low
102G - Greenbelt,412.4245975,low
102I - Greenbelt,412.4253525,low
103,412.567335,low
103D - Utility Row,412.4291925,low
103E - Greenbelt,412.4273325,low
103F - Greenbelt,412.42699749999997,low
103H - Greenbelt,412.42852,low
103I - Greenbelt,412.425525,low
104,412.57804125,low
104A - Greenbelt,412.4364625,low
104G - Greenbelt,412.4364875,low
104H - Walkway,412.43222,low
104J - Greenbelt,412.438365,low
105A - Greenbelt,412.4410175,low
108,412.570195,low
108A - Greenbelt,412.4624625,low
10A - Greenbelt,412.4490275,low
10B - Greenbelt,412.4527875,low
110,412.55780625,low
110A - Games Court,412.4018625,low
110A - Games Court - Basketball Courts,412.4018625,low
110B - Greenbelt,412.40591,low
110C - Greenbelt,412.4043875,low
110D - Walkway,412.40092500000003,low
110E - Greenbelt,412.39993,low
110H - Greenbelt,412.403,low
111A - Greenbelt,412.4088175,low
111B - Greenbelt,412.40894,low
111C - Greenbelt,412.4101625,low
111D - Greenbelt,412.41138,low
111E - Greenbelt,412.41071750000003,low
111F - Greenbelt,412.4079975,low
111G - Greenbelt,412.40778,low
112,412.5754078125,low
112A - Greenbelt,412.416035,low
112E - Greenbelt,412.4191875,low
112F - Greenbelt,412.4213875,low
112G - Greenbelt,412.4134525,low
112H - Greenbelt,412.41733,low
112I - Greenbelt,412.414215,low
112J - Greenbelt,412.4144625,low
112K - Greenbelt,412.4215975,low
112L - Walkway,412.41528,low
112O - Greenbelt,412.41918,low
112P - Greenbelt,412.4155475,low
112Q - Greenbelt,412.4193575,low
112R - Greenbelt,412.4129875,low
112S - Greenbelt,412.4194475,low
113,412.562255,low
114D - Greenbelt,412.4321725,low
114E - Greenbelt,412.4318525,low
114F - Greenbelt,412.430975,low
114G - Greenbelt,412.4313,low
115B - Greenbelt,412.4373975,low
115E - Greenbelt,412.43683,low
115F - Greenbelt,412.4431525,low
115G - Greenbelt,412.44222,low
115H - Neighbourhood Park,412.44147,low
115I - Neighbourhood Park,412.441935,low
115K - Greenbelt,412.44042,low
115L - Greenbelt,412.43951,low
115M - Greenbelt,412.44082000000003,low
116,412.58004750000003,low
116A - Greenbelt,412.449945,low
116B - Greenbelt,412.4447875,low
116E - Community Park,412.44381999999996,low
116G - Greenbelt,412.44208000000003,low
117,412.56802,low
117A - Neighbourhood Park,412.45303,low
118A - Greenbelt,412.4594575,low
118B - Greenbelt,412.45598,low
118C - Neighbourhood Park,412.4540325,low
11A - Greenbelt,412.45837,low
11C - Greenbelt,412.45883,low
11D - Greenbelt,412.4581625,low
120A - Greenbelt,412.4004525,low
120F - Greenbelt,412.3977,low
121C - Greenbelt,412.4041925,low
121D - Greenbelt,412.4037125,low
121E - Greenbelt,412.40204,low
121F - Walkway,412.4033525,low
121G - Walkway,412.40313249999997,low
121H - Walkway,412.40282,low
121I - Detention Pond,412.402775,low
121J - Greenbelt,412.4050875,low
121K - Greenbelt,412.405945,low
121L - Greenbelt,412.4060575,low
121M - Greenbelt,412.40463,low
121N - Greenbelt,412.40377,low
121O - Detention Pond,412.4024825,low
121R - Greenbelt,412.4075125,low
121S - Greenbelt,412.4077325,low
121T - Walkway,412.40846,low
121U - Greenbelt,412.40738,low
121V - Greenbelt,412.4064475,low
121W - Greenbelt,412.40518,low
121X - Greenbelt,412.40447,low
121Z - Greenbelt,412.41083,low
122A - Greenbelt,412.40997,low
122B - Greenbelt,412.40938,low
122C - Greenbelt,412.41178249999996,low
122D - Greenbelt,412.40872,low
122E - Detention Pond / Bell Estates Park,412.41143999999997,low
122G - Greenbelt,412.40994,low
122H - Greenbelt,412.40828999999997,low
122I - Greenbelt,412.41174,low
122J - Greenbelt,412.41038249999997,low
122K - Greenbelt,412.413835,low
122L - Greenbelt,412.412405,low
122M - Greenbelt,412.40887,low
122O - Greenbelt,412.4118825,low
