Facility_Name,CO2,Category
A.R. Mcdiarmid Park,420.94109838709676,medium
Aberdeen Rc Wading Pool,421.32078419354843,medium
Adsum Park / Maples C.C,421.3205283870968,medium
Alex Bridge Park,421.3091370967742,medium
Alexandra Community Garden,420.9391793548387,medium
Amherst Park,421.31,medium
Andrews Field,420.9392606451613,medium
Archwood C.C,421.32221193548384,medium
Argyle Courts Playground,420.93750677419354,medium
Art Mcouat Memorial Park,421.3244077419355,medium
Ashley Neufeld Softball Complex,420.9407335483871,medium
Assiniboia West C.C / St. Charles Park Wading Pool,421.3002287096774,medium
Assiniboia West Rec. Assoc. - Morgan Site,421.3015861290322,medium
Assiniboine Community College Fields,420.9450529032258,medium
Berkshire Park,421.3231061290322,medium
Berkshire Park Wading Pool,421.3231012903226,medium
Bernie Wolfe Indoor Pool,421.3293606451613,medium
Bertrand Arena,421.32138677419357,medium
Beryl Watts Park / Vince Leah C.C,421.3267593548387,medium
Beryl Watts Park Wading Pool,421.3265109677419,medium
Betty Gibson School,420.9395151612903,medium
Billy Mosienko Arena,421.31704129032255,medium
Bonivital Pool,421.3222683870968,medium
Bord-Aire C.C,421.3116735483871,medium
Bourkevale C.C,421.3093912903226,medium
Bourkevale Lawn Bowling,421.3094561290323,medium
Boyd Park,421.31986451612903,medium
Boyd Park Wading Pool,421.31989000000004,medium
Braeside Park,421.32815,medium
Braeside Park Wading Pool,421.32805548387097,medium
Brandon Municipal Cemetery,420.9386477419355,medium
Brandon Recreation Centre,420.9383770967742,medium
Brandon University Healthy Living Centre,420.93839451612905,medium
Broadway Neighborhood Centre,421.3171483870968,medium
Broadway Park Wading Pool,421.31716483870963,medium
Bronx Park C.C,421.3257812903226,medium
Bronx Park C.C - Kelvin Site,421.3241961290322,medium
Bronx Park Community Centre Wading Pool,421.32587,medium
Bruce Park,421.3090977419355,medium
Bruce Park Wading Pool,421.309175483871,medium
Burton Cummings C.C,421.3175648387097,medium
Burton Cummings Community Centre Wading Pool,421.3177503225806,medium
Canada Games Sportsplex,420.9421838709677,medium
Centennial Park,421.3280764516129,medium
Centennial Park Wading Pool,421.32808967741937,medium
Central C.C / Freighthouse,421.31930709677414,medium
Central C.C / Freighthouse Spray Pad,421.3194925806452,medium
Central Community Centre,420.9415596774194,medium
Central Corydon Cc- Sir John Franklin Site,421.3113290322581,medium
Central Corydon Community Centre- Crescentwood Site Wading Pool,421.31395741935484,medium
Central Park,421.3188135483871,medium
Central Park Spray Pad,421.3188925806451,medium
Central Park Wading Pool,421.31884806451615,medium
Century Arena,421.3115122580645,medium
Chalmers C.C,421.3250129032258,medium
Champlain C.C,421.3208216129032,medium
Champlain Community Centre Wading Pool,421.3207806451613,medium
Charles A. Barbour Arena,421.3134425806452,medium
Charleswood Library,421.3010732258064,medium
Chornick Park,421.33180838709677,medium
Christian Heritage School,420.93697741935483,medium
Churchill Park,420.94237935483875,medium
Cindy Klassen Recreation Complex,421.31572419354836,medium
Cindy Klassen Recreation Complex Pool,421.31561354838715,medium
City Hall Plaza,420.93891483870965,medium
Civic Park / Valley Gardens C.C,421.32858258064516,medium
Clara Hughes Park,421.32343129032256,medium
Clara Hughes Park Wading Pool,421.3234080645161,medium
Cordova Park,421.31215322580647,medium
Cordova Park Wading Pool,421.31209225806447,medium
Cornish Library,421.3161948387097,medium
Coronation Park,420.93732903225805,medium
Coronation Park & Playground,420.9367409677419,medium
Crescentwood C.C,421.31397548387093,medium
Crocus Plains Regional Secondary School,420.942265483871,medium
Crocus Playground,420.94005741935484,medium
Dakota Park / Dakota C.C,421.31719258064516,medium
Dakota Park Wading Pool,421.31749612903224,medium
Daly House Victorian Garden,420.9386477419355,medium
De Graff Bay Park,421.3303180645161,medium
Dean Findlay Park / Windsor C.C,421.3185287096774,medium
