Facility_Name,CO2,Category
A.R. Mcdiarmid Park,422.11995214285713,high
Aberdeen Rc Wading Pool,422.1652771428571,high
Adsum Park / Maples C.C,422.1689057142857,high
Alex Bridge Park,422.1515660714286,high
Alexandra Community Garden,422.1187389285714,high
Amherst Park,422.16156357142853,high
Andrews Field,422.12055678571426,high
Archwood C.C,422.1616489285714,high
Argyle Courts Playground,422.11981535714284,high
Art Mcouat Memorial Park,422.1614907142857,high
Ashley Neufeld Softball Complex,422.12039714285714,high
Assiniboia West C.C / St. Charles Park Wading Pool,422.1611328571429,high
Assiniboia West Rec. Assoc. - Morgan Site,422.1613885714286,high
Assiniboine Community College Fields,422.12395857142855,high
Berkshire Park,422.16136714285716,high
Berkshire Park Wading Pool,422.16136714285716,high
Bernie Wolfe Indoor Pool,422.16351392857143,high
Bertrand Arena,422.16234714285713,high
Beryl Watts Park / Vince Leah C.C,422.1692692857143,high
Beryl Watts Park Wading Pool,422.169245,high
Betty Gibson School,422.11907142857143,high
Billy Mosienko Arena,422.16692,high
Bonivital Pool,422.1601239285714,high
Bord-Aire C.C,422.16224321428575,high
Bourkevale C.C,422.1606675,high
Bourkevale Lawn Bowling,422.1606796428572,high
Boyd Park,422.16664714285713,high
Boyd Park Wading Pool,422.1666264285714,high
Braeside Park,422.16541964285716,high
Braeside Park Wading Pool,422.16542607142856,high
Brandon Municipal Cemetery,422.1196696428571,high
Brandon Recreation Centre,422.1201575,high
Brandon University Healthy Living Centre,422.1198989285714,high
Broadway Neighborhood Centre,422.1621317857143,high
Broadway Park Wading Pool,422.16211678571426,high
Bronx Park C.C,422.1669135714286,high
Bronx Park C.C - Kelvin Site,422.16564928571427,high
Bronx Park Community Centre Wading Pool,422.1669021428571,high
Bruce Park,422.1607782142857,high
Bruce Park Wading Pool,422.16087071428575,high
Burton Cummings C.C,422.16436285714286,high
Burton Cummings Community Centre Wading Pool,422.1643317857143,high
Canada Games Sportsplex,422.12185,high
Centennial Park,422.16669,high
Centennial Park Wading Pool,422.1667614285715,high
Central C.C / Freighthouse,422.1643442857143,high
Central C.C / Freighthouse Spray Pad,422.16425285714286,high
Central Community Centre,422.11981428571426,high
Central Corydon Cc- Sir John Franklin Site,422.1599810714286,high
Central Corydon Community Centre- Crescentwood Site Wading Pool,422.16001785714286,high
Central Park,422.16338750000006,high
Central Park Spray Pad,422.1634942857143,high
Central Park Wading Pool,422.1635142857143,high
Century Arena,422.15662214285715,high
Chalmers C.C,422.1650757142857,high
Champlain C.C,422.16158,high
Champlain Community Centre Wading Pool,422.16152,high
Charles A. Barbour Arena,422.1590842857143,high
Charleswood Library,422.1583067857143,high
Chornick Park,422.1691517857143,high
Christian Heritage School,422.11968285714283,high
Churchill Park,422.12212464285716,high
Cindy Klassen Recreation Complex,422.1634671428571,high
Cindy Klassen Recreation Complex Pool,422.1633660714286,high
City Hall Plaza,422.11737535714286,high
Civic Park / Valley Gardens C.C,422.1662439285714,high
Clara Hughes Park,422.1672264285714,high
Clara Hughes Park Wading Pool,422.16722857142855,high
Cordova Park,422.1600592857143,high
Cordova Park Wading Pool,422.1600117857143,high
Cornish Library,422.1614989285714,high
Coronation Park,422.1194092857143,high
Coronation Park & Playground,422.11929142857144,high
Crescentwood C.C,422.15997607142856,high
Crocus Plains Regional Secondary School,422.1199510714286,high
Crocus Playground,422.1177760714286,high
Dakota Park / Dakota C.C,422.1556957142857,high
Dakota Park Wading Pool,422.1557557142857,high
Daly House Victorian Garden,422.1196696428571,high
De Graff Bay Park,422.16808785714284,high
Dean Findlay Park / Windsor C.C,422.15923535714285,high
Deer Lodge C.C,422.1613396428571,high
Deer Lodge Tennis Club,422.16148928571425,high
Dinsdale Park,422.1199510714286,high
Donwood Park,422.16844714285713,high
Ducharme Park Wading Pool,422.15939285714285,high
Ducharme Waterplay Park,422.15941250000003,high
Dufferin Park,422.1645242857143,high
Dufferin Park Wading Pool,422.1645242857143,high
Durum Drive Detention Area,422.1172685714286,high
Earl Grey C.C,422.16033857142855,high
Earl Grey Community Centre Wading Pool,422.1603921428572,high
East Elmwood C.C,422.16474535714286,high
East End Arena & Community Club,422.1643157142857,high
East End C.C,422.16427642857144,high
East End Community Centre,422.11981000000003,high
East End Cultural & Leisure Centre,422.1654732142857,high
East End Cultural & Leisure Centre Wading Pool,422.1655285714286,high
East End Paw Park,422.12037428571426,high
Eldon Ross Pool,422.16553285714286,high
Eleanor Kidd Park,422.12098928571424,high
Eleanor Kidd Park & Gardens,422.1197685714286,high
Elmwood Kildonan Pool,422.16595714285717,high
Elmwood Park,422.165945,high
Elmwood Park Wading Pool,422.1659328571428,high
Elmwood Winter Club,422.16508464285715,high
Elmwood Winter Club Wading Pool,422.165035,high
