Facility_Name,CO2,Category
A.R. Mcdiarmid Park,421.90463677419353,medium
Aberdeen Rc Wading Pool,422.01664999999997,high
Adsum Park / Maples C.C,422.01967838709675,high
Alex Bridge Park,422.0029819354839,high
Alexandra Community Garden,421.9031090322581,medium
Amherst Park,422.0113461290323,high
Andrews Field,421.90489322580646,medium
Archwood C.C,422.01407193548386,high
Argyle Courts Playground,421.90384483870963,medium
Art Mcouat Memorial Park,422.0144477419355,high
Ashley Neufeld Softball Complex,421.90500612903224,medium
Assiniboia West C.C / St. Charles Park Wading Pool,422.009125483871,high
Assiniboia West Rec. Assoc. - Morgan Site,422.00959741935486,high
Assiniboine Community College Fields,421.9092677419355,medium
Berkshire Park,422.01404935483873,high
Berkshire Park Wading Pool,422.0140487096774,high
Bernie Wolfe Indoor Pool,422.0172035483871,high
Bertrand Arena,422.0144470967742,high
Beryl Watts Park / Vince Leah C.C,422.02122612903224,high
Beryl Watts Park Wading Pool,422.02115419354834,high
Betty Gibson School,421.90349451612906,medium
Billy Mosienko Arena,422.0172925806452,high
Bonivital Pool,422.01286387096775,high
Bord-Aire C.C,422.01225354838715,high
Bourkevale C.C,422.01045999999997,high
Bourkevale Lawn Bowling,422.0104819354839,high
Boyd Park,422.01762129032255,high
Boyd Park Wading Pool,422.01760258064513,high
Braeside Park,422.01844903225805,high
Braeside Park Wading Pool,422.01843354838707,high
Brandon Municipal Cemetery,421.9039219354839,medium
Brandon Recreation Centre,421.9043406451613,medium
Brandon University Healthy Living Centre,421.9040880645161,medium
Broadway Neighborhood Centre,422.0133064516129,high
Broadway Park Wading Pool,422.0132977419355,high
Bronx Park C.C,422.0191041935484,high
Bronx Park C.C - Kelvin Site,422.01772387096776,high
Bronx Park Community Centre Wading Pool,422.0191103225807,high
Bruce Park,422.0104958064516,high
Bruce Park Wading Pool,422.01058870967745,high
Burton Cummings C.C,422.0152119354839,high
Burton Cummings Community Centre Wading Pool,422.0152235483871,high
Canada Games Sportsplex,421.90668903225804,medium
Centennial Park,422.0194487096774,high
Centennial Park Wading Pool,422.0195096774193,high
Central C.C / Freighthouse,422.0155741935484,high
Central C.C / Freighthouse Spray Pad,422.0155377419355,high
Central Community Centre,421.90460096774194,medium
Central Corydon Cc- Sir John Franklin Site,422.01027516129034,high
Central Corydon Community Centre- Crescentwood Site Wading Pool,422.0108870967742,high
Central Park,422.01469096774196,high
Central Park Spray Pad,422.01479096774193,high
Central Park Wading Pool,422.01479516129035,high
Century Arena,422.0076029032258,high
Chalmers C.C,422.01745967741937,high
Champlain C.C,422.0136961290322,high
Champlain Community Centre Wading Pool,422.01364806451613,high
Charles A. Barbour Arena,422.0100209677419,high
Charleswood Library,422.00683032258064,high
Chornick Park,422.0222741935484,high
Christian Heritage School,421.90362032258065,medium
Churchill Park,421.9069925806452,medium
Cindy Klassen Recreation Complex,422.01409193548386,high
Cindy Klassen Recreation Complex Pool,422.0139819354839,high
City Hall Plaza,421.90174677419355,medium
Civic Park / Valley Gardens C.C,422.0192029032258,high
Clara Hughes Park,422.0188164516129,high
Clara Hughes Park Wading Pool,422.018815483871,high
Cordova Park,422.01052,high
Cordova Park Wading Pool,422.0104687096774,high
Cornish Library,422.01258677419355,high
Coronation Park,421.9034164516129,medium
Coronation Park & Playground,421.90319387096775,medium
Crescentwood C.C,422.0108574193548,high
Crocus Plains Regional Secondary School,421.9048632258065,medium
Crocus Playground,421.90234161290323,medium
Dakota Park / Dakota C.C,422.0081522580645,high
Dakota Park Wading Pool,422.00826806451613,high
Daly House Victorian Garden,421.9039219354839,medium
De Graff Bay Park,422.02108032258064,high
Dean Findlay Park / Windsor C.C,422.01129645161285,high
Deer Lodge C.C,422.0110432258064,high
Deer Lodge Tennis Club,422.0110903225807,high
Dinsdale Park,421.9048632258065,medium
Donwood Park,422.0215177419355,high
Ducharme Park Wading Pool,422.01191419354836,high
Ducharme Waterplay Park,422.0119170967742,high
Dufferin Park,422.0157435483871,high
Dufferin Park Wading Pool,422.0157435483871,high
Durum Drive Detention Area,421.9007048387097,medium
Earl Grey C.C,422.01165258064515,high
Earl Grey Community Centre Wading Pool,422.01170774193554,high
East Elmwood C.C,422.0175732258065,high
East End Arena & Community Club,422.0191519354838,high
East End C.C,422.0191287096774,high
East End Community Centre,421.9048793548387,medium
East End Cultural & Leisure Centre,422.0178883870968,high
East End Cultural & Leisure Centre Wading Pool,422.0179258064516,high
East End Paw Park,421.9065512903226,medium
Eldon Ross Pool,422.0157964516129,high
Eleanor Kidd Park,421.9054341935484,medium
Eleanor Kidd Park & Gardens,421.90404677419355,medium
Elmwood Kildonan Pool,422.01891322580644,high
Elmwood Park,422.01794741935487,high
Elmwood Park Wading Pool,422.0179777419355,high
Elmwood Winter Club,422.0171729032258,high
Elmwood Winter Club Wading Pool,422.0171006451613,high
