Facility_Name,CO2,Category
A.R. Mcdiarmid Park,421.42840320000005,medium
Aberdeen Rc Wading Pool,421.2447672,medium
Adsum Park / Maples C.C,421.25409399999995,medium
Alex Bridge Park,421.22179880000004,medium
Alexandra Community Garden,421.42692320000003,medium
Amherst Park,421.2452216,medium
Andrews Field,421.4307604,medium
Archwood C.C,421.23485800000003,medium
Argyle Courts Playground,421.43017760000004,medium
Art Mcouat Memorial Park,421.23260600000003,medium
Ashley Neufeld Softball Complex,421.4295756,medium
Assiniboia West C.C / St. Charles Park Wading Pool,421.2527792,medium
Assiniboia West Rec. Assoc. - Morgan Site,421.2522096,medium
Assiniboine Community College Fields,421.4346812,medium
Berkshire Park,421.233414,medium
Berkshire Park Wading Pool,421.233414,medium
Bernie Wolfe Indoor Pool,421.23322079999997,medium
Bertrand Arena,421.2372452,medium
Beryl Watts Park / Vince Leah C.C,421.24930520000004,medium
Beryl Watts Park Wading Pool,421.249476,medium
Betty Gibson School,421.42744080000006,medium
Billy Mosienko Arena,421.2522464,medium
Bonivital Pool,421.231146,medium
Bord-Aire C.C,421.24540959999996,medium
Bourkevale C.C,421.24352039999997,medium
Bourkevale Lawn Bowling,421.2434828,medium
Boyd Park,421.249032,medium
Boyd Park Wading Pool,421.2489528,medium
Braeside Park,421.2388256,medium
Braeside Park Wading Pool,421.23892679999994,medium
Brandon Municipal Cemetery,421.4292224,medium
Brandon Recreation Centre,421.43041960000005,medium
Brandon University Healthy Living Centre,421.4298476,medium
Broadway Neighborhood Centre,421.24033239999994,medium
Broadway Park Wading Pool,421.2402824,medium
Bronx Park C.C,421.244452,medium
Bronx Park C.C - Kelvin Site,421.24276319999996,medium
Bronx Park Community Centre Wading Pool,421.2443384,medium
Bruce Park,421.2440604,medium
Bruce Park Wading Pool,421.24422,medium
Burton Cummings C.C,421.2453592,medium
Burton Cummings Community Centre Wading Pool,421.24512280000005,medium
Canada Games Sportsplex,421.43183799999997,medium
Centennial Park,421.2419308,medium
Centennial Park Wading Pool,421.2421044,medium
Central C.C / Freighthouse,421.2438048,medium
Central C.C / Freighthouse Spray Pad,421.2434168,medium
Central Community Centre,421.4278548,medium
Central Corydon Cc- Sir John Franklin Site,421.2400864,medium
Central Corydon Community Centre- Crescentwood Site Wading Pool,421.2379732,medium
Central Park,421.241928,medium
Central Park Spray Pad,421.24210639999995,medium
Central Park Wading Pool,421.2421948,medium
Century Arena,421.2319148,medium
Chalmers C.C,421.2406972,medium
Champlain C.C,421.235884,medium
Champlain Community Centre Wading Pool,421.235788,medium
Charles A. Barbour Arena,421.236178,medium
Charleswood Library,421.24505120000003,medium
Chornick Park,421.24466520000004,medium
Christian Heritage School,421.4302044,medium
Churchill Park,421.43231,medium
Cindy Klassen Recreation Complex,421.2447956,medium
Cindy Klassen Recreation Complex Pool,421.244642,medium
City Hall Plaza,421.42414879999995,medium
Civic Park / Valley Gardens C.C,421.2404332,medium
Clara Hughes Park,421.2471972,medium
Clara Hughes Park Wading Pool,421.2472264,medium
Cordova Park,421.2395736,medium
Cordova Park Wading Pool,421.2395132,medium
Cornish Library,421.23962720000003,medium
Coronation Park,421.4294192,medium
Coronation Park & Playground,421.4295068,medium
Crescentwood C.C,421.2378588,medium
Crocus Plains Regional Secondary School,421.42774,medium
Crocus Playground,421.42432560000003,medium
Dakota Park / Dakota C.C,421.22483,medium
Dakota Park Wading Pool,421.224712,medium
Daly House Victorian Garden,421.4292224,medium
De Graff Bay Park,421.2433764,medium
Dean Findlay Park / Windsor C.C,421.23220999999995,medium
Deer Lodge C.C,421.2451936,medium
Deer Lodge Tennis Club,421.2459568,medium
Dinsdale Park,421.42774,medium
Donwood Park,421.2436864,medium
Ducharme Park Wading Pool,421.23076679999997,medium
Ducharme Waterplay Park,421.2308184,medium
Dufferin Park,421.2441164,medium
Dufferin Park Wading Pool,421.2441164,medium
Durum Drive Detention Area,421.42681680000004,medium
Earl Grey C.C,421.23683559999995,medium
Earl Grey Community Centre Wading Pool,421.2369292,medium
East Elmwood C.C,421.2384384,medium
East End Arena & Community Club,421.23023520000004,medium
East End C.C,421.230112,medium
East End Community Centre,421.4269524,medium
East End Cultural & Leisure Centre,421.2412164,medium
East End Cultural & Leisure Centre Wading Pool,421.2413568,medium
East End Paw Park,421.42452640000005,medium
Eldon Ross Pool,421.2502648,medium
Eleanor Kidd Park,421.43128279999996,medium
Eleanor Kidd Park & Gardens,421.4292972,medium
Elmwood Kildonan Pool,421.23996,medium
Elmwood Park,421.24357,medium
Elmwood Park Wading Pool,421.24335959999996,medium
Elmwood Winter Club,421.2417804,medium
Elmwood Winter Club Wading Pool,421.24180959999995,medium
Empress Park & Playground,421.4282556,medium
Eric Coy Arena,421.2439916,medium
Eric Coy Rec Centre,421.2437952,medium
Errol Black Park,421.4306164,medium
Fort Garry Library,421.2320656,medium
Fort Garry Lion's Pool,421.2322208,medium
Fort Rouge Leisure Centre,421.2351476,medium
Fort Rouge Park,421.23888120000004,medium
Fort Rouge Spray Pad,421.23887199999996,medium
Fox Place Playground,421.4306164,medium
Frederick Street Playground,421.42595520000003,medium
Freight House Pool,421.243476,medium
Freight House Recreation And Leisure Centre,421.2436144,medium
Garden City C.C,421.2508468,medium
Garden City Community Centre - Indoor Soccer Complex,421.2505072,medium
Garwood Playground,421.4246536,medium
Gary Hobson Memorial Park / Fort Garry C.C,421.2322092,medium
Gateway C.C,421.2433432,medium
Gateway Community Centre - Indoor Soccer Complex,421.2434704,medium
Gateway Recreation Centre Arena,421.24337760000003,medium
Gateway Spray Pad,421.2435456,medium
George Fitton School,421.4249428,medium
Glenwood C.C,421.23359120000003,medium
Glenwood Community Centre Arena,421.23357880000003,medium
Global Market,421.4306164,medium
Golden Gate Park / Sturgeon Creek C.C,421.24667320000003,medium
Grant Park Athletic Grounds,421.236016,medium
Green Acres Community Centre,421.42616399999997,medium
Green Acres School,421.4249212,medium
Greendell C.C,421.2266164,medium
Happyland Park,421.23596319999996,medium
Happyland Pool,421.2360712,medium
Harrow Park,421.2371792,medium
Harrow Park Wading Pool,421.2371792,medium
Henderson Library,421.2453296,medium
Heritage Victoria C.C,421.25096360000003,medium
Home Playground,421.24339440000006,medium
Home Playground Wading Pool,421.24339440000006,medium
Humming Bird Community Garden,421.4258932,medium
J. R. Reid School,421.42839760000004,medium
Jacob Penner Park,421.24384200000003,medium
