Facility_Name,CO2,Category
A.R. Mcdiarmid Park,419.59711,medium
Aberdeen Rc Wading Pool,420.4327925,medium
Adsum Park / Maples C.C,420.4245325,medium
Alex Bridge Park,420.425905,medium
Alexandra Community Garden,419.59456750000004,medium
Amherst Park,420.40841,medium
Andrews Field,419.59322,medium
Archwood C.C,420.44437,medium
Argyle Courts Playground,419.5902525,medium
Art Mcouat Memorial Park,420.4511175,medium
Ashley Neufeld Softball Complex,419.5960175,medium
Assiniboia West C.C / St. Charles Park Wading Pool,420.3812,medium
Assiniboia West Rec. Assoc. - Morgan Site,420.38459,medium
Assiniboine Community College Fields,419.60281249999997,medium
Berkshire Park,420.4476175,medium
Berkshire Park Wading Pool,420.4476125,medium
Bernie Wolfe Indoor Pool,420.46117,medium
Bertrand Arena,420.440485,medium
Beryl Watts Park / Vince Leah C.C,420.442365,medium
Beryl Watts Park Wading Pool,420.441695,medium
Betty Gibson School,419.594885,medium
Billy Mosienko Arena,420.4183025,medium
Bonivital Pool,420.44765,medium
Bord-Aire C.C,420.4119825,medium
Bourkevale C.C,420.408455,medium
Bourkevale Lawn Bowling,420.40864,medium
Boyd Park,420.42717,medium
Boyd Park Wading Pool,420.4272925,medium
Braeside Park,420.4539725,medium
Braeside Park Wading Pool,420.4536825,medium
Brandon Municipal Cemetery,419.592615,medium
Brandon Recreation Centre,419.59170500000005,medium
Brandon University Healthy Living Centre,419.5919,medium
Broadway Neighborhood Centre,420.4283375,medium
Broadway Park Wading Pool,420.428425,medium
Bronx Park C.C,420.44428500000004,medium
Bronx Park C.C - Kelvin Site,420.442145,medium
Bronx Park Community Centre Wading Pool,420.4445675,medium
Bruce Park,420.407375,medium
Bruce Park Wading Pool,420.4074,medium
Burton Cummings C.C,420.4250925,medium
Burton Cummings Community Centre Wading Pool,420.4256875,medium
Canada Games Sportsplex,419.598195,medium
Centennial Park,420.4512525,medium
Centennial Park Wading Pool,420.451125,medium
Central C.C / Freighthouse,420.430275,medium
Central C.C / Freighthouse Spray Pad,420.4310175,medium
Central Community Centre,419.59814,medium
Central Corydon Cc- Sir John Franklin Site,420.4155825,medium
Central Corydon Community Centre- Crescentwood Site Wading Pool,420.4231525,medium
Central Park,420.430745,medium
Central Park Spray Pad,420.430775,medium
Central Park Wading Pool,420.430595,medium
Century Arena,420.42274,medium
Chalmers C.C,420.445745,medium
Champlain C.C,420.4403625,medium
Champlain Community Centre Wading Pool,420.440355,medium
Charles A. Barbour Arena,420.4235075,medium
Charleswood Library,420.3890175,medium
Chornick Park,420.4569425,medium
Christian Heritage School,419.58936,medium
Churchill Park,419.59847,medium
Cindy Klassen Recreation Complex,420.4214775,medium
Cindy Klassen Recreation Complex Pool,420.42134999999996,medium
City Hall Plaza,419.5954275,medium
Civic Park / Valley Gardens C.C,420.45357,medium
Clara Hughes Park,420.4366875,medium
Clara Hughes Park Wading Pool,420.4366075,medium
Cordova Park,420.4178375,medium
Cordova Park Wading Pool,420.41776500000003,medium
Cornish Library,420.4267975,medium
Coronation Park,419.59029999999996,medium
Coronation Park & Playground,419.589265,medium
Crescentwood C.C,420.4233075,medium
Crocus Plains Regional Secondary School,419.59937,medium
Crocus Playground,419.59726,medium
Dakota Park / Dakota C.C,420.4415225,medium
Dakota Park Wading Pool,420.4423275,medium
Daly House Victorian Garden,419.592615,medium
De Graff Bay Park,420.45484,medium
Dean Findlay Park / Windsor C.C,420.4382875,medium
Deer Lodge C.C,420.4071375,medium
Deer Lodge Tennis Club,420.4055875,medium
Dinsdale Park,419.59937,medium
Donwood Park,420.45596,medium
Ducharme Park Wading Pool,420.4443275,medium
Ducharme Waterplay Park,420.44424749999996,medium
Dufferin Park,420.4303025,medium
Dufferin Park Wading Pool,420.4303025,medium
Durum Drive Detention Area,419.585785,medium
Earl Grey C.C,420.42916,medium
Earl Grey Community Centre Wading Pool,420.4291925,medium
East Elmwood C.C,420.4512125,medium
East End Arena & Community Club,420.4758475,medium
East End C.C,420.47601000000003,medium
East End Community Centre,419.60112499999997,medium
East End Cultural & Leisure Centre,420.4463825,medium
East End Cultural & Leisure Centre Wading Pool,420.4462275,medium
East End Paw Park,419.612415,medium
Eldon Ross Pool,420.41631,medium
Eleanor Kidd Park,419.59432749999996,medium
Eleanor Kidd Park & Gardens,419.5929575,medium
Elmwood Kildonan Pool,420.4534,medium
Elmwood Park,420.441255,medium
Elmwood Park Wading Pool,420.4418625,medium
Elmwood Winter Club,420.441995,medium
Elmwood Winter Club Wading Pool,420.441595,medium
Empress Park & Playground,419.59949,medium
Eric Coy Arena,420.39342750000003,medium
Eric Coy Rec Centre,420.393535,medium
Errol Black Park,419.587735,medium
Fort Garry Library,420.4282,medium
Fort Garry Lion's Pool,420.4284675,medium
Fort Rouge Leisure Centre,420.43379000000004,medium
Fort Rouge Park,420.432505,medium
Fort Rouge Spray Pad,420.432505,medium
Fox Place Playground,419.587735,medium
Frederick Street Playground,419.60015999999996,medium
Freight House Pool,420.4309775,medium
Freight House Recreation And Leisure Centre,420.4305675,medium
Garden City C.C,420.434925,medium
Garden City Community Centre - Indoor Soccer Complex,420.43521499999997,medium
Garwood Playground,419.6020675,medium
