Facility_Name,CO2,Category
18Th Hole,420.0988848387097,medium
9Th Hole,420.098765483871,medium
A'Tugwet,420.02704387096776,medium
Access,420.03176947096773,medium
Adney Street Park,420.1276161290322,medium
Alexander,420.0305980645161,medium
Alexander Gibson Memorial School,420.12356548387095,medium
Alexander Splash Pad,420.03073193548386,medium
Allison Grounds,420.09829241935483,medium
Allison Grounds Playground,420.0982951612903,medium
Allison Heights,420.0347374193548,medium
Allison Heights Pathway,420.03474408602153,medium
Angelview Park,420.1286680645161,medium
Anglin Drive Playground,420.09921322580647,medium
Anguille,420.0287938709678,medium
Aquatic And Sports Centre,420.02549580645166,medium
Ascot Drive Park,420.1259377419355,medium
Atugwet,420.02704290322583,medium
Auburn Circle,420.02920516129035,medium
Barbara Court,420.1253796774194,medium
Barbara To Kimble Neighbourhood Connector,420.12543290322577,medium
Barker Street,420.1248719354839,medium
Barker's Point Gym,420.12476387096774,medium
Barker's Point School,420.1247738709678,medium
Barker's Point Tennis Courts,420.1247703225806,medium
Barkers Point Cenotaph Area,420.1250312903226,medium
Barkers Point School,420.1247714516129,medium
Barkers Point School Sportsfield,420.1247461290323,medium
Barkers Street Sports Field,420.12486129032254,medium
Barnhill Memorial School,420.1011741935484,medium
Barrack Green Armouries,420.0983982258064,medium
Barton Crescent Park,420.12717290322576,medium
Bayou,420.0325564516129,medium
Bayside Middle School,420.0976493548387,medium
Bayview Elementary School,420.09729854838713,medium
Bayview Elementary School Playground,420.09729741935485,medium
Beaconsfield Park,420.0999112903226,medium
Beaconsfield School,420.09987161290326,medium
Beaconsfield To Bristol Neighbourhood Connector,420.1258593548387,medium
Beechwood Crescent Park,420.12727548387096,medium
Bessborough,420.03072129032256,medium
Birchmount,420.03218096774197,medium
Bishop Drive,420.12840774193546,medium
Bliss Carmen Middle School,420.12547193548386,medium
Blueberry Hill,420.09833435483876,medium
Bonaccord,420.02981967741937,medium
Bond,420.03251322580644,medium
Bore,420.0290270967742,medium
Bore Park Pathway,420.02902774193547,medium
Boss Gibson Monument Area,420.1234919354839,medium
Bouctouche Line,420.02893919354835,medium
Boyaner Crescent Playground,420.09508548387095,medium
Boyne Court Pathway,420.12544580645164,medium
Boys & Girls Club,420.0984035483871,medium
Boys And Girls Club Playground,420.09839258064517,medium
Braemar,420.02957483870966,medium
Brentwood,420.03112548387094,medium
Bridgedale Community Centre,420.02765258064517,medium
Brigadier General Lockyer,420.03118956989243,medium
Budd,420.02878258064516,medium
Bunny Hop,420.02947548387095,medium
Burpee Street Park,420.1273477419355,medium
Bypass,420.0983549032258,medium
Caledonia,420.02844967741936,medium
Cambridge Crescent Park,420.1258016129032,medium
Cambridge To Manchester Neighbourhood Connector,420.1258251612903,medium
Camelot Estates,420.0268625806452,medium
Campbell Creek Open Space - Mill Pond,420.12267258064514,medium
Canada Games Aquatic Centre,420.099024516129,medium
Canada Games Stadium,420.1001029032258,medium
Canadian Heights,420.0327622580645,medium
Candlewood,420.03255,medium
Canoe,420.0284574193549,medium
Canterbury Drive Park,420.12595129032263,medium
Canterbury To Birmingham Neighbourhood Connector,420.12564838709676,medium
Carcajou,420.0319582258065,medium
Carleton,420.0995716129032,medium
Carleton Curling Club,420.0995183870968,medium
Carleton Park,420.12519225806454,medium
Carnage,420.09801387096775,medium
Carriage Road,420.0982372258065,medium
Carrington To Lexington Neighbourhood Connector,420.12610451612903,medium
Case Street Park,420.1236416129032,medium
Casino New Brunswick,420.03499161290324,medium
Castleton To Southhall Neighbourhood Connector,420.1277787096774,medium
Cattail,420.0332580645161,medium
Cedar Groves,420.0928729032258,medium
Celebration Street Playground,420.09866774193546,medium
Centennial,420.0317470967742,medium
Centennial Park Beach,420.0313106451613,medium
Centennial Park Dog Park,420.0304622580645,medium
Centennial Park Splash Pad,420.0313106451613,medium
Centennial School,420.1000048387097,medium
Centennial School Community Playground,420.1000380645161,medium
Champlain Heights School,420.0956874193549,medium
Champlain Heights School Playground,420.0956874193548,medium
Charles Avenue Park,420.12470096774194,medium
Charles Gorman Arena,420.1004570967742,medium
Cherry / Douglas Trail,420.1265964516129,medium
Cherry Avenue Park,420.1266983870968,medium
Cherry Brook Zoo,420.0989335483871,medium
Chickadee Trail,420.1029633333333,medium
Chown Field,420.09843141238014,medium
Chown Field Bark Park,420.09838548387097,medium
City Avenue Open Space,420.12668451612905,medium
Clark Street Rifle Range,420.1242435483871,medium
Clayton Street Park,420.12327903225804,medium
Clean Air,420.0982566935484,medium
Cliff Trail,420.09846107526886,medium
Cn Sportplexe (Baseball Fields),420.03155258064515,medium
Cn Sportplexe (Soccer Fields),420.03155258064515,medium
Coburn Court Park,420.128755483871,medium
Coburn Drive Park,420.1290416129032,medium
Codiac Heights,420.0328229032258,medium
Colonial Heights Park,420.1278622580645,medium
Colonial Inn,420.0986587096774,medium
Colvert,420.0313387096774,medium
Congressional,420.03030161290326,medium
Courduroy,420.0982343548387,medium
Courtenay Avenue / East Saint John Diamond,420.0976496774194,medium
Courtney Avenue Park Playground,420.09768,medium
Coventry To Canterbury Neighbourhood Connector,420.1259141935484,medium
Coverdale Centre,420.02842000000004,medium
Cowperthwaite Park,420.12344806451614,medium
Crandall University (Baseball Field),420.0340741935484,medium
Crandall University (Soccer Field),420.0340741935484,medium
Creek Village,420.0289867741936,medium
Creek Village Splash Pad,420.0284570967742,medium
Crocket Street Park A,420.1240067741935,medium
Crocket Street Park B,420.1238583870968,medium
Crossman Community Centre - Kay Arena,420.0282267741935,medium
Crosstown / Urbain,420.1263355645161,medium
Crystal Lake,420.0986953548387,medium
Dalila Court Playground,420.10134967741936,medium
Deer Trax,420.09822827956987,medium
Delta Brunswick Hotel,420.0988990322581,medium
Denis Morris,420.1013848387097,medium
Dennis Morris Field,420.10136516129035,medium
Derby Neighbourhood Connector,420.12565903225806,medium
Derby To London Neighbourhood Connector,420.1256748387097,medium
Devon Avenue Green Space,420.1250351612903,medium
Devon Gym,420.1251587096774,medium
Devon Middle School,420.12519709677423,medium
Devon Middle School Sports Field,420.1251587096774,medium
Dewitt Acres Park,420.1235651612903,medium
Diamond To Mcgregor Neighbourhood Connector,420.1301312903226,medium
Dominion Park Courts,420.10219451612903,medium
Dominion Park Playground,420.10211064516125,medium
Donnie's Detour,420.0987052688172,medium
Dora Drive Trail,420.12342645161294,medium
Dover Crescent Park,420.1261619354839,medium
Downing Street Park,420.1231818548387,medium
Downing To Elliott Connector,420.1231074193548,medium
Dragonfly,420.0295377419355,medium
Dresden Avenue Playground,420.09621483870967,medium
Dunham,420.12702838709674,medium
Dunham Field,420.12702838709674,medium
Dykeman Street Park,420.12692612903226,medium
Eagle / Birdie Park,420.1279816129032,medium
East,420.02652677419354,medium
East End,420.02920193548385,medium
Eastmount Playground,420.09710483870964,medium
Ecole,420.0273206451613,medium
Ecole St. Anne Sports Field,420.12658612903226,medium
Ecureuil,420.0314703225807,medium
Edward To Adams Neighbour Connector,420.1233348387097,medium
Ellerdale Street Park Playground,420.0972129032258,medium
Elliott Street Park,420.1229122580645,medium
Emera New Brunswick Field At Shamrock Park,420.1000325806452,medium
Enthusiasts' Path,420.09777129032256,medium
Evans Street Park,420.1259912903226,medium
Evergreeen Baseball Field,420.0339122580645,medium
Exhibition Park Raceway,420.09662032258063,medium
Fairview Knoll,420.02967838709674,medium
Fairview Knoll Pathway,420.02967724014337,medium
Fhs Auxilary Gyms,420.1270770967742,medium
Fhs Main Gym,420.12709322580645,medium
Fhs Side Gym 3,420.1270629032258,medium
Fhs Tennis Courts,420.12709451612903,medium
Fieldhouse Gym 1,420.12619516129035,medium
Firebreak Road,420.03161322580644,medium
Fisher Avenue,420.12473967741937,medium
Fisher Field,420.1247341935484,medium
Fisher Lakes Dr,420.0984052605459,medium
Flemming Court Splash Pad,420.0995129032258,medium
Floodplain,420.0330127880184,medium
Folkstone To Rochester Neighbourhood Connector,420.1260438709677,medium
Forbes Street Open Space,420.12518516129035,medium
Forest Glen,420.0958093548387,medium
Forest Hill,420.12549258064513,medium
Forest Hill Field,420.12549258064513,medium
Forest Hill Road School - Foster Field,420.1254922580645,medium
Forest Hills Park,420.09570754838705,medium
Forest Hills School,420.0957869354839,medium
Forest Hills School Playground,420.0957941935484,medium
Foret Acadienne,420.02869387096774,medium
Fort Howe Hotel,420.0994758064516,medium
Fox Creek Golf Course,420.02506258064517,medium
Fredericton Dog Park,420.12635161290325,medium
Fredericton High School,420.12708419354834,medium
"Fredericton High School (Fields,Tennis,Basketball)",420.12721161290324,medium
Fredericton High School (Lower),420.1271729032258,medium
Fredericton High School (Mini),420.1272758064516,medium
Fredericton High School (Practice),420.1272203225806,medium
Fredericton High School (Upper),420.12723,medium
Fredericton Indoor Pool,420.12618741935484,medium
Fredericton Raceway Fields,420.12690451612906,medium
Fredericton Yacht Club,420.125004516129,medium
Freeman,420.03316516129036,medium
Fryingpan Lake,420.0983748387097,medium
G. Forbes Elliot Athletics Centre (Unbsj),420.09994870967745,medium
Gagnon,420.02705612903225,medium
Gagnon Park Pathway,420.02705322580647,medium
Garden Creek Gym,420.1292587096774,medium
"Garden Creek School (Sports Field,Rink,Tennis)",420.12925354838706,medium
Garden Hill,420.0301074193548,medium
Gerhardt,420.02971967741934,medium
Gibson,420.1236693548387,medium
Gibson Trail,420.1248093548387,medium
Ginger,420.0985043010753,medium
Gitpo,420.0293906451613,medium
Glen Falls Elementary School Playground,420.09678225806454,medium
Glen Falls School,420.09674451612904,medium
Gloucester Crescent Park,420.126084516129,medium
Gloucester \ Bliss Carman Neighbourhood Connector,420.12601354838705,medium
Golf Club Road Land,420.12888612903225,medium
Golf Trek,420.0988484946236,medium
Gourley Park,420.12618774193544,medium
Grant Harvey Centre,420.12597967741937,medium
Gregg Court Park,420.1264006451613,medium
Grocer Lane,420.09850032258066,medium
Grocer Lane (0.5Km),420.09838677419356,medium
Grove Hamlet,420.0272241935484,medium
Grove Hamlet Splash Pad,420.0275325806452,medium
Gurney,420.0291551612903,medium
Haines Crescent Park,420.1276383870968,medium
Halls Creek,420.02967548387096,medium
Hamilton Heights,420.03373258064516,medium
Hanwell Road Open Space,420.12926,medium
Harbour Passage,420.09950150921657,medium
Harbour Station,420.09901,medium
Harbour View High School,420.10012548387095,medium
Harland Court Wetland,420.1239022580645,medium
Harrigan Lake,420.09902274193547,medium
Harrison Court Park,420.12362838709674,medium
