Facility_Name,CO2,Category
18Th Hole,419.78459857142855,medium
9Th Hole,419.7849110714286,medium
A'Tugwet,419.8436689285714,medium
Access,419.8447081142857,medium
Adney Street Park,419.9380692857143,medium
Alexander,419.84452607142856,medium
Alexander Gibson Memorial School,419.93284714285716,medium
Alexander Splash Pad,419.84497678571427,medium
Allison Grounds,419.78056571428573,medium
Allison Grounds Playground,419.78042964285714,medium
Allison Heights,419.8421935714286,medium
Allison Heights Pathway,419.8421805952381,medium
Angelview Park,419.93699178571427,medium
Anglin Drive Playground,419.7816910714286,medium
Anguille,419.8499253571428,medium
Aquatic And Sports Centre,419.8375282142857,medium
Ascot Drive Park,419.9288717857143,medium
Atugwet,419.8436742857143,medium
Auburn Circle,419.8465417857143,medium
Barbara Court,419.92674714285715,medium
Barbara To Kimble Neighbourhood Connector,419.92686392857144,medium
Barker Street,419.9311257142857,medium
Barker's Point Gym,419.9300625,medium
Barker's Point School,419.9299146428571,medium
Barker's Point Tennis Courts,419.9298867857143,medium
Barkers Point Cenotaph Area,419.93060535714284,medium
Barkers Point School,419.92990321428573,medium
Barkers Point School Sportsfield,419.9298767857143,medium
Barkers Street Sports Field,419.9311075,medium
Barnhill Memorial School,419.77775392857137,medium
Barrack Green Armouries,419.7764605357143,medium
Barton Crescent Park,419.9395242857143,medium
Bayou,419.85050035714283,medium
Bayside Middle School,419.7790467857143,medium
Bayview Elementary School,419.7791873214286,medium
Bayview Elementary School Playground,419.7792935714286,medium
Beaconsfield Park,419.7757964285714,medium
Beaconsfield School,419.7754871428571,medium
Beaconsfield To Bristol Neighbourhood Connector,419.92712750000004,medium
Beechwood Crescent Park,419.9321835714286,medium
Bessborough,419.84132285714287,medium
Birchmount,419.84696285714284,medium
Bishop Drive,419.9326403571428,medium
Bliss Carmen Middle School,419.9270264285714,medium
Blueberry Hill,419.7832589285714,medium
Bonaccord,419.8424810714286,medium
Bond,419.8399989285714,medium
Bore,419.8407842857143,medium
Bore Park Pathway,419.84078,medium
Boss Gibson Monument Area,419.93377428571426,medium
Bouctouche Line,419.8492678571429,medium
Boyaner Crescent Playground,419.7776410714286,medium
Boyne Court Pathway,419.92801285714285,medium
Boys & Girls Club,419.77883357142855,medium
Boys And Girls Club Playground,419.77875785714286,medium
Braemar,419.8435871428572,medium
Brentwood,419.84128749999996,medium
Bridgedale Community Centre,419.8352725,medium
Brigadier General Lockyer,419.84206898809526,medium
Budd,419.8434632142857,medium
Bunny Hop,419.8500517857143,medium
Burpee Street Park,419.9371282142857,medium
Bypass,419.78247328571433,medium
Caledonia,419.84918392857145,medium
Cambridge Crescent Park,419.92815964285717,medium
Cambridge To Manchester Neighbourhood Connector,419.92798607142856,medium
Camelot Estates,419.841715,medium
Campbell Creek Open Space - Mill Pond,419.9330942857143,medium
Canada Games Aquatic Centre,419.7786457142857,medium
Canada Games Stadium,419.7854692857143,medium
Canadian Heights,419.84973285714284,medium
Candlewood,419.85206642857145,medium
Canoe,419.8496875,medium
Canterbury Drive Park,419.9277117857143,medium
Canterbury To Birmingham Neighbourhood Connector,419.9270142857143,medium
Carcajou,419.84448000000003,medium
Carleton,419.7769657142857,medium
Carleton Curling Club,419.77659750000004,medium
Carleton Park,419.9319391071429,medium
Carnage,419.7844845408163,medium
Carriage Road,419.7829354285714,medium
Carrington To Lexington Neighbourhood Connector,419.93762321428574,medium
Case Street Park,419.9228,medium
Casino New Brunswick,419.85405499999996,medium
Castleton To Southhall Neighbourhood Connector,419.9344557142857,medium
Cattail,419.8517203571428,medium
Cedar Groves,419.7864689285714,medium
Celebration Street Playground,419.7798321428572,medium
Centennial,419.84377,medium
Centennial Park Beach,419.8430914285714,medium
Centennial Park Dog Park,419.84206964285715,medium
