Facility_Name,CO2,Category
18Th Hole,420.2532325806452,medium
9Th Hole,420.2535087903226,medium
A'Tugwet,420.3159719354839,medium
Access,420.31661797419355,medium
Adney Street Park,420.40838483870965,medium
Alexander,420.3165419354839,medium
Alexander Gibson Memorial School,420.4031296774194,medium
Alexander Splash Pad,420.3170222580645,medium
Allison Grounds,420.2495508064516,medium
Allison Grounds Playground,420.2494306451613,medium
Allison Heights,420.3135529032258,medium
Allison Heights Pathway,420.3135449462365,medium
Angelview Park,420.4070793548387,medium
Anglin Drive Playground,420.2506548387097,medium
Anguille,420.32263677419354,medium
Aquatic And Sports Centre,420.30941548387096,medium
Ascot Drive Park,420.39851612903226,medium
Atugwet,420.3159783870968,medium
Auburn Circle,420.318885483871,medium
Barbara Court,420.3962506451613,medium
Barbara To Kimble Neighbourhood Connector,420.39637419354835,medium
Barker Street,420.40110451612907,medium
Barker's Point Gym,420.39995032258065,medium
Barker's Point School,420.3997935483871,medium
Barker's Point Tennis Courts,420.39976580645157,medium
Barkers Point Cenotaph Area,420.4005109677419,medium
Barkers Point School,420.39978096774195,medium
Barkers Point School Sportsfield,420.39974774193547,medium
Barkers Street Sports Field,420.40108387096774,medium
Barnhill Memorial School,420.24732870967745,medium
Barrack Green Armouries,420.2458738709678,medium
Barton Crescent Park,420.41002967741935,medium
Bayou,420.32286161290324,medium
Bayside Middle School,420.2481196774193,medium
Bayview Elementary School,420.2482043548387,medium
Bayview Elementary School Playground,420.2482993548387,medium
Beaconsfield Park,420.24543387096776,medium
Beaconsfield School,420.2451574193548,medium
Beaconsfield To Bristol Neighbourhood Connector,420.39661451612903,medium
Beechwood Crescent Park,420.4019867741935,medium
Bessborough,420.31302741935485,medium
Birchmount,420.3190419354838,medium
Bishop Drive,420.40235129032254,medium
Bliss Carmen Middle School,420.3965487096774,medium
Blueberry Hill,420.2519755645161,medium
Bonaccord,420.3143851612903,medium
Bond,420.31138967741936,medium
Bore,420.31261451612903,medium
Bore Park Pathway,420.3126122580645,medium
Boss Gibson Monument Area,420.4041561290323,medium
Bouctouche Line,420.32189629032257,medium
Boyaner Crescent Playground,420.24658032258066,medium
Boyne Court Pathway,420.3976361290322,medium
Boys & Girls Club,420.24800612903226,medium
Boys And Girls Club Playground,420.24793516129034,medium
Braemar,420.31561741935485,medium
Brentwood,420.3129441935484,medium
Bridgedale Community Centre,420.3067325806452,medium
Brigadier General Lockyer,420.31379376344086,medium
Budd,420.31556903225805,medium
Bunny Hop,420.3226990322581,medium
Burpee Street Park,420.40738419354835,medium
Bypass,420.25127077419353,medium
Caledonia,420.32185516129033,medium
Cambridge Crescent Park,420.3977483870968,medium
Cambridge To Manchester Neighbourhood Connector,420.3975548387097,medium
Camelot Estates,420.3138574193548,medium
Campbell Creek Open Space - Mill Pond,420.4035070967742,medium
Canada Games Aquatic Centre,420.2479051612903,medium
Canada Games Stadium,420.25414919354836,medium
Canadian Heights,420.3220022580645,medium
Candlewood,420.3245816129033,medium
Canoe,420.3224074193548,medium
Canterbury Drive Park,420.39724645161294,medium
Canterbury To Birmingham Neighbourhood Connector,420.39651612903225,medium
Carcajou,420.31635225806457,medium
Carleton,420.24645129032257,medium
Carleton Curling Club,420.2461164516129,medium
Carleton Park,420.40195338709674,medium
Carnage,420.2530441474654,medium
Carriage Road,420.25167206451613,medium
Carrington To Lexington Neighbourhood Connector,420.40806838709676,medium
Case Street Park,420.3921370967742,medium
Casino New Brunswick,420.3265016129032,medium
Castleton To Southhall Neighbourhood Connector,420.40441161290323,medium
Cattail,420.32413225806454,medium
Cedar Groves,420.2543529032258,medium
Celebration Street Playground,420.2489377419355,medium
Centennial,420.3155970967742,medium
Centennial Park Beach,420.31489999999997,medium
Centennial Park Dog Park,420.31386709677423,medium
Centennial Park Splash Pad,420.31489999999997,medium
Centennial School,420.2503412903226,medium
Centennial School Community Playground,420.2502545161291,medium
Champlain Heights School,420.2468641935484,medium
Champlain Heights School Playground,420.24687290322584,medium
Charles Avenue Park,420.400345483871,medium
Charles Gorman Arena,420.2529277419355,medium
Cherry / Douglas Trail,420.4085719354839,medium
Cherry Avenue Park,420.4076580645161,medium
Cherry Brook Zoo,420.25559419354835,medium
Chickadee Trail,420.2428872043011,medium
Chown Field,420.2478616129032,medium
Chown Field Bark Park,420.24785612903224,medium
City Avenue Open Space,420.4063180645161,medium
Clark Street Rifle Range,420.4069525806451,medium
Clayton Street Park,420.4055329032258,medium
Clean Air,420.25095669354835,medium
Cliff Trail,420.25020408602154,medium
Cn Sportplexe (Baseball Fields),420.3167961290323,medium
Cn Sportplexe (Soccer Fields),420.3167961290323,medium
Coburn Court Park,420.4066780645161,medium
Coburn Drive Park,420.4068338709677,medium
Codiac Heights,420.3115383870968,medium
