Facility_Name,CO2,Category
18Th Hole,418.4267704,low
9Th Hole,418.4270372,low
A'Tugwet,418.4696404,low
Access,418.471234352,medium
Adney Street Park,418.5674252,medium
Alexander,418.4709056,medium
Alexander Gibson Memorial School,418.56222759999997,medium
Alexander Splash Pad,418.4713228,medium
Allison Grounds,418.4231082,low
Allison Grounds Playground,418.4229884,low
Allison Heights,418.4694384,low
Allison Heights Pathway,418.46942973333336,low
Angelview Park,418.56661,medium
Anglin Drive Playground,418.4242368,low
Anguille,418.4754208,medium
Aquatic And Sports Centre,418.46399640000004,low
Ascot Drive Park,418.55902000000003,medium
Atugwet,418.4696492,low
Auburn Circle,418.47248440000004,medium
Barbara Court,418.55705520000004,medium
Barbara To Kimble Neighbourhood Connector,418.55716800000005,medium
Barker Street,418.560874,medium
Barker's Point Gym,418.5599168,medium
Barker's Point School,418.5597924,medium
Barker's Point Tennis Courts,418.559764,medium
Barkers Point Cenotaph Area,418.5604356,medium
Barkers Point School,418.5597788,medium
Barkers Point School Sportsfield,418.5597492,medium
Barkers Street Sports Field,418.56086000000005,medium
Barnhill Memorial School,418.4210144,low
Barrack Green Armouries,418.4194712,low
Barton Crescent Park,418.5686496,medium
Bayou,418.47646399999996,medium
Bayside Middle School,418.4216676,low
Bayview Elementary School,418.4217396,low
Bayview Elementary School Playground,418.4218364,low
Beaconsfield Park,418.41909400000003,low
Beaconsfield School,418.41881200000006,low
Beaconsfield To Bristol Neighbourhood Connector,418.55746,medium
Beechwood Crescent Park,418.5621532,medium
Bessborough,418.4680968,low
Birchmount,418.4732864,medium
Bishop Drive,418.56271760000004,medium
Bliss Carmen Middle School,418.557316,medium
Blueberry Hill,418.42550900000003,low
Bonaccord,418.46898760000005,low
Bond,418.46717600000005,low
Bore,418.467376,low
Bore Park Pathway,418.46737240000004,low
Boss Gibson Monument Area,418.563044,medium
Bouctouche Line,418.47485639999996,medium
Boyaner Crescent Playground,418.420058,low
Boyne Court Pathway,418.5581912,medium
Boys & Girls Club,418.42158240000003,low
Boys And Girls Club Playground,418.421514,low
Braemar,418.4699292,low
Brentwood,418.4681172,low
Bridgedale Community Centre,418.4623104,low
Brigadier General Lockyer,418.4688228,low
Budd,418.46969920000004,low
Bunny Hop,418.4756224,medium
Burpee Street Park,418.56654679999997,medium
Bypass,418.42481144000004,low
Caledonia,418.4747112,medium
Cambridge Crescent Park,418.5583724,medium
Cambridge To Manchester Neighbourhood Connector,418.5582164,medium
Camelot Estates,418.4678868,low
Campbell Creek Open Space - Mill Pond,418.56232559999995,medium
Canada Games Aquatic Centre,418.4215036,low
Canada Games Stadium,418.42772319999995,low
Canadian Heights,418.47580800000003,medium
Candlewood,418.4778428,medium
Canoe,418.47515599999997,medium
Canterbury Drive Park,418.5579952,medium
Canterbury To Birmingham Neighbourhood Connector,418.5573308,medium
Carcajou,418.47105819999996,medium
Carleton,418.4200876,low
Carleton Curling Club,418.419752,low
Carleton Park,418.5616446,medium
Carnage,418.4265536,low
Carriage Road,418.42520448,low
Carrington To Lexington Neighbourhood Connector,418.56681640000005,medium
Case Street Park,418.5533016,medium
Casino New Brunswick,418.4799488,medium
Castleton To Southhall Neighbourhood Connector,418.5642372,medium
Cattail,418.4776452,medium
Cedar Groves,418.4276332,low
Celebration Street Playground,418.4225108,low
Centennial,418.47040719999995,medium
Centennial Park Beach,418.4697392,low
Centennial Park Dog Park,418.4687144,low
Centennial Park Splash Pad,418.4697392,low
Centennial School,418.4239432,low
Centennial School Community Playground,418.4238672,low
Champlain Heights School,418.42036146666663,low
Champlain Heights School Playground,418.42036959999996,low
Charles Avenue Park,418.5602224,medium
Charles Gorman Arena,418.4265216,low
Cherry / Douglas Trail,418.5673352,medium
Cherry Avenue Park,418.5666152,medium
Cherry Brook Zoo,418.4291128,low
Chickadee Trail,418.41655599999996,low
Chown Field,418.4214411027027,low
Chown Field Bark Park,418.42143400000003,low
City Avenue Open Space,418.56553,medium
Clark Street Rifle Range,418.5654848,medium
Clayton Street Park,418.5641096,medium
Clean Air,418.42449480000005,low
Cliff Trail,418.4237604,low
Cn Sportplexe (Baseball Fields),418.47132799999997,medium
Cn Sportplexe (Soccer Fields),418.47132799999997,medium
Coburn Court Park,418.56630440000004,medium
Coburn Drive Park,418.5664964,medium
Codiac Heights,418.46736680000004,low
Colonial Heights Park,418.5644068,medium
Colonial Inn,418.42231760000004,low
Colvert,418.4695436,low
Congressional,418.47898000000004,medium
Courduroy,418.4259612,low
Courtenay Avenue / East Saint John Diamond,418.42142399999994,low
Courtney Avenue Park Playground,418.4215508,low
Coventry To Canterbury Neighbourhood Connector,418.55839999999995,medium
Coverdale Centre,418.4640788,low
Cowperthwaite Park,418.5637876,medium
Crandall University (Baseball Field),418.47985760000006,medium
Crandall University (Soccer Field),418.47985760000006,medium
Creek Village,418.4693584,low
Creek Village Splash Pad,418.4691156,low
Crocket Street Park A,418.5632572,medium
Crocket Street Park B,418.56293400000004,medium
Crossman Community Centre - Kay Arena,418.46856440000005,low
Crosstown / Urbain,418.5621073,medium
Crystal Lake,418.42542984,low
Dalila Court Playground,418.4226784,low
Deer Trax,418.4271837333333,low
Delta Brunswick Hotel,418.4212752,low
Denis Morris,418.422716,low
Dennis Morris Field,418.42281280000003,low
Derby Neighbourhood Connector,418.55707240000004,medium
Derby To London Neighbourhood Connector,418.557188,medium
Devon Avenue Green Space,418.56173920000003,medium
Devon Gym,418.562704,medium
Devon Middle School,418.5626496,medium
Devon Middle School Sports Field,418.562704,medium
Dewitt Acres Park,418.5582484,medium
Diamond To Mcgregor Neighbourhood Connector,418.5705644,medium
Dominion Park Courts,418.42445399999997,low
Dominion Park Playground,418.42447160000006,low
Donnie's Detour,418.4274392,low
Dora Drive Trail,418.5509796,medium
Dover Crescent Park,418.558384,medium
Downing Street Park,418.5624121,medium
Downing To Elliott Connector,418.56208760000004,medium
Dragonfly,418.4762652,medium
Dresden Avenue Playground,418.42484279999996,low
Dunham,418.5662012,medium
Dunham Field,418.5662016,medium
Dykeman Street Park,418.5676736,medium
Eagle / Birdie Park,418.5648244,medium
East,418.46879,low
East End,418.468506,low
Eastmount Playground,418.4244016,low
Ecole,418.4698202,low
Ecole St. Anne Sports Field,418.5606192,medium
Ecureuil,418.4700462,medium
Edward To Adams Neighbour Connector,418.55142,medium
Ellerdale Street Park Playground,418.4223508,low
Elliott Street Park,418.5619124,medium
Emera New Brunswick Field At Shamrock Park,418.4235052,low
Enthusiasts' Path,418.4253736,low
