Facility_Name,CO2,Category
18Th Hole,419.7365325,medium
9Th Hole,419.73637375,medium
A'Tugwet,419.653805,medium
Access,419.65910329999997,medium
Adney Street Park,419.7537175,medium
Alexander,419.6577675,medium
Alexander Gibson Memorial School,419.74987,medium
Alexander Splash Pad,419.657865,medium
Allison Grounds,419.73623625,medium
Allison Grounds Playground,419.73626,medium
Allison Heights,419.662935,medium
Allison Heights Pathway,419.66294,medium
Angelview Park,419.7550025,medium
Anglin Drive Playground,419.737115,medium
Anguille,419.6547725,medium
Aquatic And Sports Centre,419.6530675,medium
Ascot Drive Park,419.753015,medium
Atugwet,419.6538,medium
Auburn Circle,419.655825,medium
Barbara Court,419.75264749999997,medium
Barbara To Kimble Neighbourhood Connector,419.7527025,medium
Barker Street,419.7515475,medium
Barker's Point Gym,419.7515475,medium
Barker's Point School,419.751575,medium
Barker's Point Tennis Courts,419.751575,medium
Barkers Point Cenotaph Area,419.751785,medium
Barkers Point School,419.751575,medium
Barkers Point School Sportsfield,419.751555,medium
Barkers Street Sports Field,419.75154,medium
Barnhill Memorial School,419.7395175,medium
Barrack Green Armouries,419.73668250000003,medium
Barton Crescent Park,419.753035,medium
Bayou,419.659035,medium
Bayside Middle School,419.735675,medium
Bayview Elementary School,419.7352975,medium
Bayview Elementary School Playground,419.73528,medium
Beaconsfield Park,419.738335,medium
Beaconsfield School,419.7383075,medium
Beaconsfield To Bristol Neighbourhood Connector,419.75314000000003,medium
Beechwood Crescent Park,419.75408,medium
Bessborough,419.6584625,medium
Birchmount,419.6592025,medium
Bishop Drive,419.75527,medium
Bliss Carmen Middle School,419.75271499999997,medium
Blueberry Hill,419.736056875,medium
Bonaccord,419.65722,medium
Bond,419.66076,medium
Bore,419.65660249999996,medium
Bore Park Pathway,419.65660249999996,medium
Boss Gibson Monument Area,419.7496875,medium
Bouctouche Line,419.65505625000003,medium
Boyaner Crescent Playground,419.7330875,medium
Boyne Court Pathway,419.7525675,medium
Boys & Girls Club,419.73650250000003,medium
Boys And Girls Club Playground,419.736485,medium
Braemar,419.656765,medium
Brentwood,419.658925,medium
Bridgedale Community Centre,419.65594,medium
Brigadier General Lockyer,419.6588795833333,medium
Budd,419.6558475,medium
Bunny Hop,419.65554000000003,medium
Burpee Street Park,419.7535325,medium
Bypass,419.7361485,medium
Caledonia,419.65450250000004,medium
Cambridge Crescent Park,419.7529525,medium
Cambridge To Manchester Neighbourhood Connector,419.75298,medium
Camelot Estates,419.6539225,medium
Campbell Creek Open Space - Mill Pond,419.748865,medium
Canada Games Aquatic Centre,419.73717,medium
Canada Games Stadium,419.7377575,medium
Canadian Heights,419.6593875,medium
Candlewood,419.6587525,medium
Canoe,419.6544275,medium
Canterbury Drive Park,419.7531675,medium
Canterbury To Birmingham Neighbourhood Connector,419.7529225,medium
Carcajou,419.6593525,medium
Carleton,419.7378725,medium
Carleton Curling Club,419.7378475,medium
Carleton Park,419.7517925,medium
Carnage,419.7356192857143,medium
Carriage Road,419.7359865,medium
Carrington To Lexington Neighbourhood Connector,419.7520975,medium
Case Street Park,419.7511525,medium
Casino New Brunswick,419.6612475,medium
Castleton To Southhall Neighbourhood Connector,419.75435500000003,medium
Cattail,419.65963,medium
Cedar Groves,419.7300225,medium
Celebration Street Playground,419.7366875,medium
Centennial,419.65923250000003,medium
Centennial Park Beach,419.65884,medium
Centennial Park Dog Park,419.6580425,medium
Centennial Park Splash Pad,419.65884,medium
Centennial School,419.738,medium
Centennial School Community Playground,419.73803,medium
Champlain Heights School,419.73369916666667,medium
Champlain Heights School Playground,419.7336975,medium
Charles Avenue Park,419.751435,medium
Charles Gorman Arena,419.7382425,medium
Cherry / Douglas Trail,419.7525675,medium
Cherry Avenue Park,419.7527925,medium
Cherry Brook Zoo,419.736365,medium
Chickadee Trail,419.7418391666667,medium
Chown Field,419.73653432432434,medium
Chown Field Bark Park,419.736495,medium
City Avenue Open Space,419.7529225,medium
Clark Street Rifle Range,419.7501725,medium
Clayton Street Park,419.74929000000003,medium
Clean Air,419.736073125,medium
Cliff Trail,419.73634999999996,medium
Cn Sportplexe (Baseball Fields),419.65882999999997,medium
Cn Sportplexe (Soccer Fields),419.65882999999997,medium
Coburn Court Park,419.7551475,medium
Coburn Drive Park,419.7554575,medium
Codiac Heights,419.6610725,medium
Colonial Heights Park,419.7544175,medium
Colonial Inn,419.736695,medium
Colvert,419.65891750000003,medium
Congressional,419.6558725,medium
Courduroy,419.73591375,medium
Courtenay Avenue / East Saint John Diamond,419.7357125,medium
Courtney Avenue Park Playground,419.7357125,medium
Coventry To Canterbury Neighbourhood Connector,419.75307,medium
Coverdale Centre,419.65651,medium
Cowperthwaite Park,419.74953500000004,medium
Crandall University (Baseball Field),419.660175,medium
Crandall University (Soccer Field),419.660175,medium
Creek Village,419.656155,medium
Creek Village Splash Pad,419.6555775,medium
Crocket Street Park A,419.75024,medium
Crocket Street Park B,419.7501175,medium
Crossman Community Centre - Kay Arena,419.6554175,medium
Crosstown / Urbain,419.75301625,medium
Crystal Lake,419.7364485,medium
Dalila Court Playground,419.739555,medium
Deer Trax,419.7357833333333,medium
Delta Brunswick Hotel,419.7370525,medium
Denis Morris,419.73958749999997,medium
Dennis Morris Field,419.73956,medium
Derby Neighbourhood Connector,419.7529525,medium
Derby To London Neighbourhood Connector,419.7529525,medium
Devon Avenue Green Space,419.7516125,medium
Devon Gym,419.7516125,medium
Devon Middle School,419.751655,medium
Devon Middle School Sports Field,419.7516125,medium
Dewitt Acres Park,419.7504475,medium
Diamond To Mcgregor Neighbourhood Connector,419.7560975,medium
Dominion Park Courts,419.7402875,medium
Dominion Park Playground,419.7401975,medium
Donnie's Detour,419.73627749999997,medium
Dora Drive Trail,419.75113,medium
Dover Crescent Park,419.7533475,medium
Downing Street Park,419.74942375,medium
Downing To Elliott Connector,419.74938000000003,medium
Dragonfly,419.655495,medium
Dresden Avenue Playground,419.7338475,medium
Dunham,419.753225,medium
Dunham Field,419.753225,medium
Dykeman Street Park,419.75289250000003,medium
Eagle / Birdie Park,419.7544825,medium
East,419.65337,medium
East End,419.6565725,medium
Eastmount Playground,419.734855,medium
Ecole,419.65410625,medium
Ecole St. Anne Sports Field,419.7535025,medium
Ecureuil,419.65897875,medium
Edward To Adams Neighbour Connector,419.75100000000003,medium
Ellerdale Street Park Playground,419.73516,medium
Elliott Street Park,419.74919,medium
Emera New Brunswick Field At Shamrock Park,419.738065,medium
Enthusiasts' Path,419.7354675,medium
Evans Street Park,419.7520675,medium
Evergreeen Baseball Field,419.66064,medium
Exhibition Park Raceway,419.734265,medium
Fairview Knoll,419.656395,medium
Fairview Knoll Pathway,419.65638888888884,medium
Fhs Auxilary Gyms,419.75399749999997,medium
Fhs Main Gym,419.75402,medium
Fhs Side Gym 3,419.75399,medium
Fhs Tennis Courts,419.7540125,medium
Fieldhouse Gym 1,419.7522275,medium
Firebreak Road,419.6591125,medium
Fisher Avenue,419.751215,medium
Fisher Field,419.751215,medium
Fisher Lakes Dr,419.73626874999997,medium
Flemming Court Splash Pad,419.7373875,medium
Floodplain,419.6594358928572,medium
Folkstone To Rochester Neighbourhood Connector,419.7531975,medium
Forbes Street Open Space,419.751575,medium
Forest Glen,419.73347,medium
Forest Hill,419.75259500000004,medium
Forest Hill Field,419.75259500000004,medium
Forest Hill Road School - Foster Field,419.75261,medium
Forest Hills Park,419.7333495,medium
Forest Hills School,419.73346125,medium
Forest Hills School Playground,419.7334525,medium
Foret Acadienne,419.65481,medium
Fort Howe Hotel,419.73757,medium
Fox Creek Golf Course,419.6529475,medium
Fredericton Dog Park,419.75264749999997,medium
Fredericton High School,419.75399,medium
"Fredericton High School (Fields,Tennis,Basketball)",419.754115,medium
Fredericton High School (Lower),419.75408,medium
Fredericton High School (Mini),419.75417749999997,medium
Fredericton High School (Practice),419.7541425,medium
Fredericton High School (Upper),419.75412,medium
Fredericton Indoor Pool,419.75222,medium
Fredericton Raceway Fields,419.75344,medium
Fredericton Yacht Club,419.75224249999997,medium
Freeman,419.660185,medium
Fryingpan Lake,419.7360725,medium
G. Forbes Elliot Athletics Centre (Unbsj),419.73756249999997,medium
Gagnon,419.65386,medium
Gagnon Park Pathway,419.6538425,medium
Garden Creek Gym,419.75561,medium
"Garden Creek School (Sports Field,Rink,Tennis)",419.75561500000003,medium
Garden Hill,419.6574025,medium
Gerhardt,419.6556325,medium
Gibson,419.7503025,medium
Gibson Trail,419.7515475,medium
Ginger,419.73615083333334,medium
Gitpo,419.657195,medium
Glen Falls Elementary School Playground,419.734375,medium
Glen Falls School,419.73434000000003,medium
Gloucester Crescent Park,419.7531825,medium
Gloucester \ Bliss Carman Neighbourhood Connector,419.7531025,medium
Golf Club Road Land,419.7553075,medium
Golf Trek,419.73638916666664,medium
Gourley Park,419.7524025,medium
Grant Harvey Centre,419.7532875,medium
Gregg Court Park,419.7532875,medium
Grocer Lane,419.7364425,medium
Grocer Lane (0.5Km),419.73631,medium
Grove Hamlet,419.65416749999997,medium
Grove Hamlet Splash Pad,419.654415,medium
Gurney,419.6561475,medium
Haines Crescent Park,419.753565,medium
Halls Creek,419.65701,medium
Hamilton Heights,419.6602775,medium
Hanwell Road Open Space,419.7562175,medium
Harbour Passage,419.737693125,medium
Harbour Station,419.737115,medium
Harbour View High School,419.738335,medium
Harland Court Wetland,419.7516175,medium
Harrigan Lake,419.7365175,medium
Harrison Court Park,419.7499325,medium
Havelock Elementary School,419.7385175,medium
Havelock Elementary School Playground,419.7385175,medium
Hawk,419.65533125,medium
Hawkins Street Park,419.75311,medium
Hazen White / St. Francis School Playground,419.737255,medium
Hazen-White / St. Francis School,419.73724,medium
Heartrate Hill,419.736265,medium
Hemlock To Mcadam Neighbourhood Connector,419.7538675,medium
Henry Park,419.7515070833333,medium
Henry Park (Baseball),419.7515475,medium
Henry Park A,419.75151,medium
Henry Park B,419.7515475,medium
Henry Park B (Lit),419.7515475,medium
Henry Park Skateboard Park,419.75151,medium
Henry Park T-Ball,419.75145499999996,medium
Henry Park Tennis Courts,419.751555,medium
Henry Street Park,419.75151,medium
Heritage Center,419.74974,medium
Heron Trail,419.7421475,medium
Hibou,419.65977,medium
Highfield,419.65734000000003,medium
Hildegard,419.6596,medium
Hillcrest Drive Park,419.75164,medium
Hilton Belyea Arena,419.73787875,medium
Hilton Belyea Arena Playground,419.7378725,medium
Hilton Saint John,419.7372975,medium
Holland,419.66053,medium
Honeysuckle Drive Playground,419.73956,medium
Hope Center Playground,419.727015,medium
Horse,419.7360175,medium
Hotel Courtenay Bay,419.73643500000003,medium
Hummingbird St. Courts,419.75872749999996,medium
Hummingbird Street Park,419.75872,medium
Humphrey's Brook Access,419.655665,medium
Humphreys Brook,419.65520375,medium
Hyla Park,419.751215,medium
Irishtown Nature,419.6549,medium
Irvine Street Park,419.7506925,medium
Island View School,419.74113875,medium
Island View School Playground,419.74117,medium
Islandview Park,419.758815,medium
Israelii,419.6567,medium
Its Gotta Go,419.7364783333333,medium
John Howard,419.6548925,medium
John Mccrae,419.66043874999997,medium
Johnston,419.7531975,medium
Johnston Avenue,419.7531975,medium
Johnston Field,419.7531975,medium
Jones Lake,419.65802142857143,medium
Jubilee,419.6563025,medium
Karen Street Playground,419.73071,medium
Kbm,419.74182,medium
Kent St.,419.754395,medium
Kent Street Park,419.754395,medium
Ketepec Belmont Morna Community Center Playground,419.741815,medium
Ketepec Belmont Morna Community Centre,419.7418425,medium
Killarney Lake Beach,419.750855,medium
Killarney Lake Park,419.75042,medium
Kimble Drive,419.7527925,medium
Kimble Drive Park,419.75279125,medium
Kimble Field,419.7526825,medium
Kimble Field (Lit),419.7526825,medium
Kimble Street,419.7526825,medium
Kimble Tennis Courts,419.75271499999997,medium
King Edward School,419.736595,medium
Kitchen To Regent Neighbourhood Connector,419.75311,medium
Knox,419.65978,medium
Lady Beaverbrook Arena,419.752655,medium
Lady Beaverbrook Rink,419.752655,medium
Lagune,419.659730625,medium
Lakewood Heights School,419.73213250000003,medium
Lakewood Heights School Playground,419.73217,medium
Lapin,419.6594475,medium
Lapointe Street Park,419.749965,medium
Latimore Lake,419.730075,medium
Latimore Lake Community Center Playground,419.73067000000003,medium
Latimore Lake Outdoor Zone,419.72949,medium
Law Society Land,419.7547475,medium
Lawson Court Park,419.75106,medium
Leeds Drive Park,419.7532025,medium
Leicester To Chelsea Neighbourhood Connector,419.75286,medium
Leo Hayes Main Gym,419.75125,medium
Leo Hayes Side Gym,419.7512425,medium
Lewis,419.65673,medium
Lewisville,419.6556725,medium
Lewisville Y Splash Pad,419.655665,medium
Lily Lake,419.7363708333333,medium
Limerick / Flemming Park,419.7526175,medium
Limerick / Southwood Park,419.752495,medium
Limerick Park,419.75256,medium
Limerick Road Park,419.752495,medium
Limerick Road School Land,419.75256,medium
Limerick/Southwood Parktennis Courts,419.75256,medium
Lincoln,419.75096916666666,medium
Lincoln Heights,419.75122,medium
Lincoln Heights Park,419.751221875,medium
Lincoln Park,419.750595,medium
Lincoln Road Green At Yacth Club,419.7523575,medium
Lincoln Trail,419.75186046875,medium
Linden Court,419.752315,medium
Little River Reservoir Bark Park,419.73196,medium
Little River Reservoir Playground,419.73186499999997,medium
Liverpool Street Gym,419.75316250000003,medium
Loch Lomond School,419.72784375,medium
Lollypop,419.73681,medium
London Court Park,419.75313,medium
Long Lake,419.73615249999995,medium
Lookout,419.7363425,medium
Lord Beaverbrook Rink,419.7376725,medium
Lorenz' Leap,419.73650625,medium
Lorne Middle School,419.738,medium
Lorneville,419.74343,medium
Lorneville Community Center Playground,419.7434,medium
Lou Murphy / Milford Park,419.73903,medium
Lou Murphy Park Playground,419.7390625,medium
Loyalist Cemetary,419.752465,medium
Lynx,419.6595675,medium
M. Gerald Teed Memorial School,419.7386475,medium
M. Gerald Teed School,419.738655,medium
M. Gerald Teed School Playground,419.7386325,medium
M.G. Teed Memorial School,419.7386775,medium
Macadam Avenue,419.75399,medium
Macaleese Meadows,419.6558825,medium
Mackay Skyway,419.73587375,medium
Macloon Field,419.7521175,medium
Macpherson Street Park,419.7505425,medium
Magnetic Hill Estates,419.6614,medium
Magnetic Hill Zoo,419.66158,medium
Malcolm's Way,419.65557,medium
Malloy,419.75117,medium
Malloy Field,419.75116,medium
Malloy Park,419.75113,medium
Mama I'M Coming Home,419.7367475,medium
Mannington Lane Park,419.75204,medium
Manresa Drive Open Space,419.7535925,medium
Maple To Linden Neighbourhood Connector,419.75237,medium
Maplehurst,419.660725,medium
Maplehurst Splash Pad,419.66048,medium
Mapleton,419.659465,medium
Marguerite Maillet,419.661095,medium
Market Place West,419.7376925,medium
Market Place West Playground,419.73785499999997,medium
Market Place West Skatepark,419.7378475,medium
Market Square Courts,419.73721,medium
Marsh Boardwalk,419.7415025,medium
Martinon,419.743125,medium
Martinon Community Center Playground,419.7431175,medium
Martinon Community Centre,419.74316,medium
Martre,419.6591175,medium
Maryanne,419.7361475,medium
Marysville,419.7499325,medium
Marysville (Back),419.74947000000003,medium
Marysville (Front),419.7494425,medium
Marysville Cenotaph,419.7498025,medium
Marysville Gym,419.74987,medium
Marysville School,419.7499325,medium
Masqwi,419.658925,medium
