Facility_Name,CO2,Category
A. J. Smeltzer Junior High School Park,419.97751387096775,medium
Aarons Way Park,419.9728474193548,medium
Abandoned Cn Railway Line,419.95529774193545,medium
Abbey Road Park,419.9856703225807,medium
Abbington Avenue Community Park,419.97947,medium
Aberdeen Court Park,419.97077,medium
Acorn Road Park,419.9750364516129,medium
Acres Road Park,419.97755838709674,medium
Admiral Cove Park,419.97682354838713,medium
Admiral Harry Dewolf Park,419.9777848387097,medium
Admiral Lake Loop,419.95010995967743,medium
Admiral Westphal Elementary School Park,419.9714148387097,medium
Africville,419.9752596774194,medium
Africville Lookoff Park,419.97524838709677,medium
Africville Park,419.97527050691247,medium
Ahmadi Crescent Park,419.97892838709674,medium
Alabaster Way Community Park,419.9748651612903,medium
Albany Terrace Park,419.9685887096774,medium
Albro Lake Park,419.97320645161295,medium
Alder Crescent Park,419.9782490322581,medium
Alder Piper Park,419.96995129032257,medium
Alderney Elementary School Park,419.9715474193548,medium
Allen Heights Park,419.99001548387093,medium
Alpine Drive Park,419.9696748387097,medium
Amesbury Gate Community Park,419.97945903225803,medium
Amin Street Park,419.9782667741935,medium
Andrew Cobb Park,419.97696,medium
Angus L. Macdonald Bridge,419.97356967741933,medium
Ardmore Park,419.9748238709677,medium
Armcrest Park,419.97824387096773,medium
Armstrong Court Park,419.978054516129,medium
Arnold Whitworth Park,419.9717732258065,medium
Arnold Whitworth Park Walkway,419.97177717741937,medium
Ash Lee Jefferson Elementary School Park,419.97439741935483,medium
Ashburn Park,419.9759451612903,medium
Astral Drive Elementary & Junior High School Park,419.96813709677417,medium
Astral Drive Neighbourhood Park,419.96727516129033,medium
Atholea Drive Park,419.96783,medium
Atlantic Memorial Elementary School Park,419.9844225806452,medium
Atlantic View At Greenway,419.9603535483871,medium
Atlantic View Elementary School Park,419.96276870967745,medium
Atlantic View Regional Trail Park,419.96032838709675,medium
Attenborough Ct To Mainland Linear Trail,419.97803612903226,medium
Auburn Drive High School Park,419.9681464516129,medium
Auburn John Stewart Park,419.96829709677417,medium
Audrey's Park,419.9882370967742,medium
Autumn Drive Park,419.9664041935484,medium
Avenue Du Portage Park,419.9705283870968,medium
Azure Court Park,419.9815032258065,medium
Baker Drive Community Park,419.97072,medium
Balcom Park,419.9738932258064,medium
Bareng Court Park,419.971335483871,medium
Barrett Lake Park,419.9778980645161,medium
Barrington Street At Greenway,419.9736435483871,medium
Basinview Drive Community School Park,419.97813806451614,medium
Basinview Drive Park,419.9783612903226,medium
Bass Court Park,419.96778903225805,medium
Basswood Run Park,419.9703329032258,medium
