Facility_Name,CO2,Category
A. J. Smeltzer Junior High School Park,419.5436135714286,medium
Aarons Way Park,419.50724464285713,medium
Abandoned Cn Railway Line,419.51197678571424,medium
Abbey Road Park,419.53926678571435,medium
Abbington Avenue Community Park,419.53540321428574,medium
Aberdeen Court Park,419.52237678571424,medium
Acorn Road Park,419.5141089285714,medium
Acres Road Park,419.49629571428574,medium
Admiral Cove Park,419.53448535714284,medium
Admiral Harry Dewolf Park,419.5352932142857,medium
Admiral Lake Loop,419.5190472767857,medium
Admiral Westphal Elementary School Park,419.5220917857143,medium
Africville,419.5247010714285,medium
Africville Lookoff Park,419.5243185714286,medium
Africville Park,419.5247183163265,medium
Ahmadi Crescent Park,419.535505,medium
Alabaster Way Community Park,419.5120317857143,medium
Albany Terrace Park,419.51755428571425,medium
Albro Lake Park,419.5249560714286,medium
Alder Crescent Park,419.54693428571426,medium
Alder Piper Park,419.5190985714286,medium
Alderney Elementary School Park,419.5210628571429,medium
Allen Heights Park,419.54388071428576,medium
Alpine Drive Park,419.5169117857143,medium
Amesbury Gate Community Park,419.5350132142857,medium
Amin Street Park,419.53484357142855,medium
Andrew Cobb Park,419.5356814285714,medium
Angus L. Macdonald Bridge,419.52078785714286,medium
Ardmore Park,419.51983964285716,medium
Armcrest Park,419.5493907142857,medium
Armstrong Court Park,419.52993678571426,medium
Arnold Whitworth Park,419.51756785714286,medium
Arnold Whitworth Park Walkway,419.51758348214287,medium
Ash Lee Jefferson Elementary School Park,419.5497167857143,medium
Ashburn Park,419.5214953571429,medium
Astral Drive Elementary & Junior High School Park,419.5126328571429,medium
Astral Drive Neighbourhood Park,419.510135,medium
Atholea Drive Park,419.50990964285717,medium
Atlantic Memorial Elementary School Park,419.50795,medium
Atlantic View At Greenway,419.5025710714286,medium
Atlantic View Elementary School Park,419.50899714285714,medium
Atlantic View Regional Trail Park,419.5025710714286,medium
Attenborough Ct To Mainland Linear Trail,419.5276717857143,medium
Auburn Drive High School Park,419.5187425,medium
Auburn John Stewart Park,419.5184553571429,medium
Audrey's Park,419.5424660714286,medium
Autumn Drive Park,419.50466928571433,medium
Avenue Du Portage Park,419.5246225,medium
Azure Court Park,419.5529725,medium
Baker Drive Community Park,419.51627607142854,medium
Balcom Park,419.51673928571427,medium
Bareng Court Park,419.5215942857143,medium
Barrett Lake Park,419.55383785714287,medium
Barrington Street At Greenway,419.51944321428573,medium
Basinview Drive Community School Park,419.53701964285716,medium
Basinview Drive Park,419.5372532142857,medium
Bass Court Park,419.51509,medium
Basswood Run Park,419.5156628571429,medium
Bastian Point Road Park,419.505915,medium
Bay Look Off Park,419.54167035714283,medium
Bayers Lake Trail,419.5220853571428,medium
Bayers Road Windsor Street Park,419.52085214285717,medium
Bearpaw Drive Park,419.5548425,medium
Beaufort Drive Park,419.5164153571428,medium
Beaver Bank - Kinsac Community Centre,419.55935142857146,medium
Beaver Bank Kinsac Elementary School Park,419.5592146428571,medium
Beaver Bank Kinsac Park,419.5599189285714,medium
Beaver Bank Monarch Elementary School Park,419.5525007142857,medium
Beaver Lake Park,419.54850357142857,medium
Beaverbrook Park,419.5663775,medium
Beazley Park,419.5216178571428,medium
Bedford Barrens,419.537615,medium
Bedford Hammonds Plains Community Centre,419.5375725,medium
Bedford Junior High School Park,419.5378953571429,medium
Bedford Lions Park,419.53641250000004,medium
Bedford Sackville Connector At Greenway,419.53817586134454,medium
Bedford South School Park,419.534225,medium
Bedford Village Park,419.53659392857145,medium
Beech Hill Road Park,419.49855142857143,medium
Beechcrest Drive Park,419.5400210714286,medium
Beechville Estates Park,419.5214335714286,medium
Beechville Lakeside Timberlea Recreation Park,419.5230310714286,medium
Beechville Lakeside Timberlea School Park,419.5292857142857,medium
Beechville Lakeside Timberlea Trail Greenway,419.53186077639754,medium
Beechville Lakeside Timberlea Trail Park,419.531365,medium
Bel Ayr Elementary School Park,419.51804035714287,medium
Belcher's Marsh Park Trail,419.5272742857143,medium
Belchers Marsh Park,419.52700142857145,medium
Bell Brook Park,419.51561964285713,medium
Bell Lake Park,419.5180796428572,medium
Bell Park Academic Centre Park,419.5218521428572,medium
Belmont Avenue Park,419.5123275,medium
Belvedere Park,419.52574749999997,medium
Bennett Park,419.51703464285714,medium
Bi-Hi Park,419.5214282142857,medium
Big Hubley Lake Road Park,419.5350232142857,medium
Big Latter Pond Park,419.502615,medium
Bilby Street Park,419.5206689285714,medium
Bill Dompierre Memorial Park,419.5382242857143,medium
Billy Bollong Memorial Park,419.49105107142856,medium
Bingham Drive Park,419.5405517857143,medium
Birch Bear Run Park,419.5377482142857,medium
Birch Cove Park,419.5221110714286,medium
Birch Hill Lake Park,419.5371403571429,medium
Birchwood Park,419.5189764285714,medium
Bissett Lake Greenway,419.5144569230769,medium
Bissett Lake Park,419.5142917857143,medium
Bloomfield Centre,419.52041357142855,medium
Bloomfield Centre Park,419.52040750000003,medium
Blue Forest Lane Park,419.5397042857143,medium
Blue Mountain Drive Park,419.5383682142857,medium
Bluerock Road Park,419.52111857142853,medium
Bluff Trail Park,419.53195964285715,medium
Bonsai Drive Community Park,419.54722142857145,medium
Bosun Run Park,419.532065,medium
Bradford Place Park,419.53421285714285,medium
Braemar Drive Park,419.5225192857143,medium
Breakers District Park,419.4962835714286,medium
Breakers District Park Trail,419.49629749999997,medium
Brennans Road Park,419.50565464285717,medium
Bridgeview Drive Park,419.515315,medium
Bristol Avenue Park,419.5438817857143,medium
Broad Street Park,419.5362635714286,medium
Brompton Road Park,419.5150171428572,medium
Brookdale Crescent Park,419.52229821428574,medium
Brookhill Drive Park 1,419.55954214285714,medium
Brookhill Drive Park 2,419.5591114285714,medium
Brookhill Drive Park 3,419.55798678571426,medium
Brookside Junior High School Park,419.51193964285716,medium
Brookview Drive Park,419.51448714285715,medium
Brownlow Park,419.5196171428571,medium
Bruce Drive Park,419.5454789285714,medium
Brule Street Park,419.52406285714284,medium
Bryanston Road Park,419.54614785714284,medium
Buckingham Common Park,419.54242000000005,medium
Buckingham Drive Park,419.54372964285716,medium
Bunchberry Lane Park,419.53141714285715,medium
Burnside At Greenway,419.5258547619047,medium
Burton Ettinger School Park,419.52186571428575,medium
