Facility_Name,CO2,Category
A. J. Smeltzer Junior High School Park,420.032494516129,medium
Aarons Way Park,420.00562096774195,medium
Abandoned Cn Railway Line,420.00279419354837,medium
Abbey Road Park,420.03195419354836,medium
Abbington Avenue Community Park,420.0272493548387,medium
Aberdeen Court Park,420.0151770967742,medium
Acorn Road Park,420.0110738709678,medium
Acres Road Park,420.00028225806454,medium
Admiral Cove Park,420.02575225806453,medium
Admiral Harry Dewolf Park,420.0266358064516,medium
Admiral Lake Loop,420.0061835887097,medium
Admiral Westphal Elementary School Park,420.01520870967744,medium
Africville,420.01836806451615,medium
Africville Lookoff Park,420.0180951612903,medium
Africville Park,420.0183762672811,medium
Ahmadi Crescent Park,420.0271522580645,medium
Alabaster Way Community Park,420.0095912903226,medium
Albany Terrace Park,420.0111122580645,medium
Albro Lake Park,420.0178006451613,medium
Alder Crescent Park,420.0351012903226,medium
Alder Piper Park,420.0126532258065,medium
Alderney Elementary School Park,420.0145551612903,medium
Allen Heights Park,420.0366322580645,medium
Alpine Drive Park,420.0110670967742,medium
Amesbury Gate Community Park,420.0269664516129,medium
Amin Street Park,420.0264741935484,medium
Andrew Cobb Park,420.0266525806452,medium
Angus L. Macdonald Bridge,420.01510193548387,medium
Ardmore Park,420.0149006451613,medium
Armcrest Park,420.03685451612904,medium
Armstrong Court Park,420.0229112903226,medium
Arnold Whitworth Park,420.01227322580644,medium
Arnold Whitworth Park Walkway,420.0122829032258,medium
Ash Lee Jefferson Elementary School Park,420.03593096774193,medium
Ashburn Park,420.01641645161294,medium
Astral Drive Elementary & Junior High School Park,420.0076164516129,medium
Astral Drive Neighbourhood Park,420.00560451612904,medium
Atholea Drive Park,420.00565419354837,medium
Atlantic Memorial Elementary School Park,420.0105077419355,medium
Atlantic View At Greenway,419.99797645161294,medium
Atlantic View Elementary School Park,420.0032109677419,medium
Atlantic View Regional Trail Park,419.9979725806451,medium
Attenborough Ct To Mainland Linear Trail,420.02136451612904,medium
Auburn Drive High School Park,420.0117570967742,medium
Auburn John Stewart Park,420.0116164516129,medium
Audrey's Park,420.0350548387097,medium
Autumn Drive Park,420.0015841935484,medium
Avenue Du Portage Park,420.016695483871,medium
Azure Court Park,420.0404519354839,medium
Baker Drive Community Park,420.01101161290325,medium
Balcom Park,420.0124596774193,medium
Bareng Court Park,420.01484354838715,medium
Barrett Lake Park,420.0399932258064,medium
Barrington Street At Greenway,420.0142096774194,medium
Basinview Drive Community School Park,420.02798193548387,medium
Basinview Drive Park,420.0282235483871,medium
Bass Court Park,420.00915483870966,medium
Basswood Run Park,420.0104590322581,medium
Bastian Point Road Park,420.0005912903226,medium
Bay Look Off Park,420.0360022580645,medium
Bayers Lake Trail,420.017615483871,medium
Bayers Road Windsor Street Park,420.01559741935483,medium
Bearpaw Drive Park,420.0403661290323,medium
Beaufort Drive Park,420.01034483870967,medium
Beaver Bank - Kinsac Community Centre,420.04408032258067,medium
Beaver Bank Kinsac Elementary School Park,420.0439587096774,medium
Beaver Bank Kinsac Park,420.04446806451614,medium
Beaver Bank Monarch Elementary School Park,420.0389458064516,medium
Beaver Lake Park,420.03788387096773,medium
Beaverbrook Park,420.0467164516129,medium
Beazley Park,420.0146512903226,medium
Bedford Barrens,420.02820967741934,medium
Bedford Hammonds Plains Community Centre,420.02873,medium
Bedford Junior High School Park,420.02801999999997,medium
Bedford Lions Park,420.0273667741935,medium
Bedford Sackville Connector At Greenway,420.028455085389,medium
Bedford South School Park,420.02602258064513,medium
Bedford Village Park,420.02779096774196,medium
Beech Hill Road Park,419.98788193548387,medium
Beechcrest Drive Park,420.0283506451613,medium
Beechville Estates Park,420.0173893548387,medium
Beechville Lakeside Timberlea Recreation Park,420.01880645161293,medium
Beechville Lakeside Timberlea School Park,420.02380000000005,medium
Beechville Lakeside Timberlea Trail Greenway,420.02597133239834,medium
Beechville Lakeside Timberlea Trail Park,420.025565483871,medium
Bel Ayr Elementary School Park,420.01176580645165,medium
Belcher's Marsh Park Trail,420.0211577777778,medium
Belchers Marsh Park,420.02097258064515,medium
Bell Brook Park,420.01008677419355,medium
Bell Lake Park,420.0118577419355,medium
Bell Park Academic Centre Park,420.01255677419357,medium
Belmont Avenue Park,420.00834838709676,medium
Belvedere Park,420.0177851612903,medium
Bennett Park,420.0089638709677,medium
Bi-Hi Park,420.01634645161295,medium
Big Hubley Lake Road Park,420.0292393548387,medium
Big Latter Pond Park,420.0027325806452,medium
Bilby Street Park,420.0152864516129,medium
Bill Dompierre Memorial Park,420.0285132258065,medium
Billy Bollong Memorial Park,419.97746548387096,medium
Bingham Drive Park,420.03297741935484,medium
Birch Bear Run Park,420.03113096774194,medium
Birch Cove Park,420.01556,medium
Birch Hill Lake Park,420.03075451612904,medium
Birchwood Park,420.0147109677419,medium
Bissett Lake Greenway,420.00880488833747,medium
Bissett Lake Park,420.0087183870968,medium
Bloomfield Centre,420.01511,medium
Bloomfield Centre Park,420.0151070967742,medium
Blue Forest Lane Park,420.03083387096774,medium
Blue Mountain Drive Park,420.0298029032258,medium
Bluerock Road Park,420.0116306451613,medium
Bluff Trail Park,420.025980967742,medium
Bonsai Drive Community Park,420.03734580645164,medium
Bosun Run Park,420.02443258064517,medium
Bradford Place Park,420.02634870967745,medium
Braemar Drive Park,420.0155480645161,medium
Breakers District Park,419.99819967741934,medium
Breakers District Park Trail,419.9982196774194,medium
Brennans Road Park,420.0093525806452,medium
Bridgeview Drive Park,420.0119883870968,medium
Bristol Avenue Park,420.0355558064516,medium
Broad Street Park,420.02782709677416,medium
Brompton Road Park,420.01026709677416,medium
Brookdale Crescent Park,420.0155480645161,medium
Brookhill Drive Park 1,420.0428206451613,medium
Brookhill Drive Park 2,420.0424177419355,medium
Brookhill Drive Park 3,420.04148096774196,medium
Brookside Junior High School Park,420.0120974193548,medium
Brookview Drive Park,420.0088016129032,medium
Brownlow Park,420.01353548387095,medium
Bruce Drive Park,420.03414354838714,medium
Brule Street Park,420.0173558064516,medium
Bryanston Road Park,420.0351403225807,medium
Buckingham Common Park,420.0345722580645,medium
Buckingham Drive Park,420.0355441935484,medium
Bunchberry Lane Park,420.02156709677416,medium
Burnside At Greenway,420.01844784946235,medium
Burton Ettinger School Park,420.0168480645162,medium
C. A. Beckett Park,420.01484870967744,medium
Cabin Lake Trail,420.02390114143924,medium
Cabot Place Park,420.0165622580645,medium
Caldwell Road Elementary School Park,420.0091480645162,medium
Caledonia Road Park,420.01540419354836,medium
Cameron Park,420.04179548387094,medium
Camp Hill Cemetery,420.0127283870968,medium
Campbell Point Park,420.01102612903225,medium
Cannon Terrace Park,420.01700387096776,medium
Cannon Terrace Park Walkway,420.0169877419355,medium
Canterbury Lane Park,420.03237451612904,medium
Capilano Common Park,420.03537548387095,medium
Captain William Spry Centre,420.01053838709674,medium
Captain William Spry Community Centre,420.010724516129,medium
Carl Morash Memorial Park,420.01142967741936,medium
Carl Morash Memorial Park Walkway,420.01154516129037,medium
Carmel Crescent Park,420.0378603225806,medium
Carolyns Way Park,420.01017677419355,medium
Carrolls Corner Community Centre,420.04821548387093,medium
Carrolls Corner Community Centre Park,420.04830096774197,medium
Carrolls Corner To Meaghers Grant,420.0344029032258,medium
Castle Hill Park,420.0225874193548,medium
Catherine Furness Park,420.01490096774194,medium
Catherine Maclean Sullivan Park,420.01341806451615,medium
Caudle Park Elementary School Park,420.0320712903226,medium
Cavalier Drive Elementary School Park,420.0337551612903,medium
Cedar Crescent Park,420.0080551612903,medium
Centennial Park,420.02008161290325,medium
Central Spryfield Elementary School Park,420.01093258064515,medium
Chain Lake Park,420.01513774193546,medium
Chain Of Lakes Greenway,420.0165589314516,medium
Chain Of Lakes Trail Park,420.0168309677419,medium
Chalamont Drive Park,420.0366003225807,medium
Chamberlain Drive Park,420.01344193548385,medium
Chani Drive Park,420.04060161290323,medium
Chapais Drive Park,420.0321535483871,medium
Charles Lake Trail,420.02502483870967,medium
Charles P. Allen High School Park,420.0287880645161,medium
Chaswood Drive Park,420.0103603225806,medium
Chebucto Connaught Parkette,420.01450290322583,medium
Chebucto Heights Elementary School Park,420.01329967741935,medium
Chebucto Landing,420.0126151612903,medium
Chebucto Road Park,420.01434096774193,medium
Chelton Woods Park,420.0208274193549,medium
Cherry Brook Community Centre,420.0145229032258,medium
Cherry Brook Lake Loon Park,420.0146035483871,medium
Cheviot Hills Park,420.006895483871,medium
Chisholm Avenue Park,420.01662870967743,medium
