Facility_Name,CO2,Category
A. J. Smeltzer Junior High School Park,418.1955036,low
Aarons Way Park,418.16246959999995,low
Abandoned Cn Railway Line,418.1642744,low
Abbey Road Park,418.19276160000004,low
Abbington Avenue Community Park,418.18846080000003,low
Aberdeen Court Park,418.17565799999994,low
Acorn Road Park,418.16888919999997,low
Acres Road Park,418.1533868,low
Admiral Cove Park,418.187278,low
Admiral Harry Dewolf Park,418.18813040000003,low
Admiral Lake Loop,418.1698668,low
Admiral Westphal Elementary School Park,418.1754936,low
Africville,418.1783476,low
Africville Lookoff Park,418.17800600000004,low
Africville Park,418.17836542857145,low
Ahmadi Crescent Park,418.1884792,low
Alabaster Way Community Park,418.167008,low
Albany Terrace Park,418.17105840000005,low
Albro Lake Park,418.17829120000005,low
Alder Crescent Park,418.1985616,low
Alder Piper Park,418.17262439999996,low
Alderney Elementary School Park,418.1745936,low
Allen Heights Park,418.1974744,low
Alpine Drive Park,418.1706368,low
Amesbury Gate Community Park,418.188114,low
Amin Street Park,418.1877996,low
Andrew Cobb Park,418.1883636,low
Angus L. Macdonald Bridge,418.1746312,low
Ardmore Park,418.173968,low
Armcrest Park,418.2007516,low
Armstrong Court Park,418.183396,low
Arnold Whitworth Park,418.1715112,low
Arnold Whitworth Park Walkway,418.1715293,low
Ash Lee Jefferson Elementary School Park,418.2005084,low
Ashburn Park,418.1755912,low
Astral Drive Elementary & Junior High School Park,418.16661200000004,low
Astral Drive Neighbourhood Park,418.16427000000004,low
Atholea Drive Park,418.1641468,low
Atlantic Memorial Elementary School Park,418.164712,low
Atlantic View At Greenway,418.1565752,low
Atlantic View Elementary School Park,418.1626328,low
Atlantic View Regional Trail Park,418.1565744,low
Attenborough Ct To Mainland Linear Trail,418.1813752,low
Auburn Drive High School Park,418.172056,low
Auburn John Stewart Park,418.17182160000004,low
Audrey's Park,418.19596559999997,low
Autumn Drive Park,418.15928119999995,low
Avenue Du Portage Park,418.1776236,low
Azure Court Park,418.20439639999995,low
Baker Drive Community Park,418.1702196,low
Balcom Park,418.17106959999995,low
Bareng Court Park,418.1750372,low
Barrett Lake Park,418.2046572,low
Barrington Street At Greenway,418.1734444,low
Basinview Drive Community School Park,418.1897204,low
Basinview Drive Park,418.1899572,low
Bass Court Park,418.168758,low
