Facility_Name,CO2,Category
A. J. Smeltzer Junior High School Park,419.62756,medium
Aarons Way Park,419.62539,medium
Abandoned Cn Railway Line,419.60659,medium
Abbey Road Park,419.63644750000003,medium
Abbington Avenue Community Park,419.6302175,medium
Aberdeen Court Park,419.622065,medium
Acorn Road Park,419.62716750000004,medium
Acres Road Park,419.63116,medium
Admiral Cove Park,419.6275175,medium
Admiral Harry Dewolf Park,419.62847,medium
Admiral Lake Loop,419.60060500000003,medium
Admiral Westphal Elementary School Park,419.622765,medium
Africville,419.6266125,medium
Africville Lookoff Park,419.6266325,medium
Africville Park,419.6266171428571,medium
Ahmadi Crescent Park,419.62966,medium
Alabaster Way Community Park,419.62716,medium
Albany Terrace Park,419.62014,medium
Albro Lake Park,419.6244425,medium
Alder Crescent Park,419.62807,medium
Alder Piper Park,419.62145250000003,medium
Alderney Elementary School Park,419.6229725,medium
Allen Heights Park,419.6406725,medium
Alpine Drive Park,419.62133,medium
Amesbury Gate Community Park,419.6302425,medium
Amin Street Park,419.62899749999997,medium
Andrew Cobb Park,419.62756,medium
Angus L. Macdonald Bridge,419.6251225,medium
Ardmore Park,419.6265175,medium
Armcrest Park,419.627885,medium
Armstrong Court Park,419.62915,medium
Arnold Whitworth Park,419.62349,medium
Arnold Whitworth Park Walkway,419.623488125,medium
Ash Lee Jefferson Elementary School Park,419.6238075,medium
Ashburn Park,419.6275725,medium
Astral Drive Elementary & Junior High School Park,419.62004,medium
Astral Drive Neighbourhood Park,419.61931749999997,medium
Atholea Drive Park,419.6199175,medium
Atlantic Memorial Elementary School Park,419.637505,medium
Atlantic View At Greenway,419.6126025,medium
Atlantic View Elementary School Park,419.614665,medium
Atlantic View Regional Trail Park,419.6125775,medium
Attenborough Ct To Mainland Linear Trail,419.6292975,medium
Auburn Drive High School Park,419.61959,medium
Auburn John Stewart Park,419.61977,medium
Audrey's Park,419.63891,medium
Autumn Drive Park,419.6188175,medium
Avenue Du Portage Park,419.62163499999997,medium
Azure Court Park,419.631035,medium
Baker Drive Community Park,419.6224725,medium
Balcom Park,419.6257775,medium
Bareng Court Park,419.62271499999997,medium
Barrett Lake Park,419.62719,medium
Barrington Street At Greenway,419.6253025,medium
Basinview Drive Community School Park,419.62871,medium
Basinview Drive Park,419.62892999999997,medium
Bass Court Park,419.61947499999997,medium
Basswood Run Park,419.6221225,medium
Bastian Point Road Park,419.61336,medium
Bay Look Off Park,419.64346,medium
Bayers Lake Trail,419.62991,medium
Bayers Road Windsor Street Park,419.6264875,medium
Bearpaw Drive Park,419.625665,medium
Beaufort Drive Park,419.620205,medium
Beaver Bank - Kinsac Community Centre,419.6265475,medium
Beaver Bank Kinsac Elementary School Park,419.62651,medium
Beaver Bank Kinsac Park,419.6263675,medium
Beaver Bank Monarch Elementary School Park,419.6270975,medium
Beaver Lake Park,419.6334175,medium
Beaverbrook Park,419.615175,medium
Beazley Park,419.6221225,medium
Bedford Barrens,419.628015,medium
Bedford Hammonds Plains Community Centre,419.629815,medium
Bedford Junior High School Park,419.626695,medium
Bedford Lions Park,419.62814000000003,medium
Bedford Sackville Connector At Greenway,419.6274425,medium
Bedford South School Park,419.62902,medium
Bedford Village Park,419.62908,medium
Beech Hill Road Park,419.5901125,medium
Beechcrest Drive Park,419.622635,medium
Beechville Estates Park,419.6305725,medium
Beechville Lakeside Timberlea Recreation Park,419.63146,medium
Beechville Lakeside Timberlea School Park,419.63317,medium
Beechville Lakeside Timberlea Trail Greenway,419.63421358695655,medium
Beechville Lakeside Timberlea Trail Park,419.63406,medium
Bel Ayr Elementary School Park,419.621055,medium
Belcher's Marsh Park Trail,419.6295215277778,medium
Belchers Marsh Park,419.62954,medium
Bell Brook Park,419.62111749999997,medium
Bell Lake Park,419.62122999999997,medium
Bell Park Academic Centre Park,419.61477,medium
Belmont Avenue Park,419.622825,medium
Belvedere Park,419.62249,medium
Bennett Park,419.61458749999997,medium
Bi-Hi Park,419.627495,medium
Big Hubley Lake Road Park,419.63729,medium
Big Latter Pond Park,419.6263625,medium
Bilby Street Park,419.62594,medium
Bill Dompierre Memorial Park,419.6275175,medium
Billy Bollong Memorial Park,419.57378,medium
Bingham Drive Park,419.63667499999997,medium
Birch Bear Run Park,419.6372,medium
Birch Cove Park,419.62374,medium
Birch Hill Lake Park,419.6373525,medium
Birchwood Park,419.6277775,medium
Bissett Lake Greenway,419.61977365384615,medium
Bissett Lake Park,419.6198675,medium
Bloomfield Centre,419.6259625,medium
Bloomfield Centre Park,419.6259625,medium
Blue Forest Lane Park,419.63158,medium
Blue Mountain Drive Park,419.63143249999996,medium
Bluerock Road Park,419.6134675,medium
Bluff Trail Park,419.63406,medium
Bonsai Drive Community Park,419.6347775,medium
Bosun Run Park,419.6290275,medium
Bradford Place Park,419.630155,medium
Braemar Drive Park,419.62286,medium
Breakers District Park,419.6256325,medium
Breakers District Park Trail,419.62566000000004,medium
Brennans Road Park,419.6385425,medium
Bridgeview Drive Park,419.62737,medium
Bristol Avenue Park,419.6370725,medium
Broad Street Park,419.630025,medium
Brompton Road Park,419.6228875,medium
Brookdale Crescent Park,419.623315,medium
Brookhill Drive Park 1,419.62127,medium
Brookhill Drive Park 2,419.6209875,medium
Brookhill Drive Park 3,419.6207275,medium
Brookside Junior High School Park,419.6345825,medium
Brookview Drive Park,419.61968,medium
Brownlow Park,419.6229475,medium
Bruce Drive Park,419.62844,medium
Brule Street Park,419.6249725,medium
Bryanston Road Park,419.6300875,medium
Buckingham Common Park,419.63739,medium
Buckingham Drive Park,419.63741500000003,medium
Bunchberry Lane Park,419.6212025,medium
Burnside At Greenway,419.62442166666665,medium
Burton Ettinger School Park,419.6280425,medium
C. A. Beckett Park,419.62807,medium
Cabin Lake Trail,419.62900326923074,medium
Cabot Place Park,419.626165,medium
Caldwell Road Elementary School Park,419.6205825,medium
Caledonia Road Park,419.62203250000005,medium
Cameron Park,419.62286,medium
Camp Hill Cemetery,419.625665,medium
Campbell Point Park,419.63410999999996,medium
Cannon Terrace Park,419.62383250000005,medium
Cannon Terrace Park Walkway,419.6238025,medium
Canterbury Lane Park,419.624415,medium
Capilano Common Park,419.6266125,medium
Captain William Spry Centre,419.6279,medium
Captain William Spry Community Centre,419.6279225,medium
Carl Morash Memorial Park,419.6234675,medium
Carl Morash Memorial Park Walkway,419.6234975,medium
Carmel Crescent Park,419.636865,medium
Carolyns Way Park,419.6190425,medium
Carrolls Corner Community Centre,419.60829,medium
Carrolls Corner Community Centre Park,419.608365,medium
Carrolls Corner To Meaghers Grant,419.6063725,medium
Castle Hill Park,419.6290525,medium
Catherine Furness Park,419.6247175,medium
Catherine Maclean Sullivan Park,419.626495,medium
Caudle Park Elementary School Park,419.627075,medium
Cavalier Drive Elementary School Park,419.62688,medium
Cedar Crescent Park,419.62035249999997,medium
Centennial Park,419.62807,medium
Central Spryfield Elementary School Park,419.6278,medium
Chain Lake Park,419.62827749999997,medium
Chain Of Lakes Greenway,419.62836703125,medium
Chain Of Lakes Trail Park,419.6276175,medium
Chalamont Drive Park,419.6359725,medium
Chamberlain Drive Park,419.618645,medium
Chani Drive Park,419.62852250000003,medium
Chapais Drive Park,419.627285,medium
Charles Lake Trail,419.63034416666665,medium
Charles P. Allen High School Park,419.629815,medium
Chaswood Drive Park,419.6209325,medium
Chebucto Connaught Parkette,419.62664,medium
Chebucto Heights Elementary School Park,419.62777,medium
Chebucto Landing,419.6248325,medium
Chebucto Road Park,419.6261475,medium
Chelton Woods Park,419.629115,medium
Cherry Brook Community Centre,419.61953,medium
Cherry Brook Lake Loon Park,419.6194625,medium
Cheviot Hills Park,419.6102525,medium
Chisholm Avenue Park,419.6270975,medium
Chocolate Lake Community Centre Park,419.62737,medium
Chocolate Lake Park,419.6275175,medium
Christopher Lane Park,419.609825,medium
Church Street Park,419.622795,medium
Citadel Community Centre,419.6255125,medium
Clam Harbour Road Park,419.5913,medium
Clarence Court Park,419.62314000000003,medium
Clayton Park Junior High School Park,419.628155,medium
Clement Street Park,419.6231925,medium
Cleveland Beach Provincial Park Trail,419.64602,medium
Cleveland Brewer Park,419.62797,medium
Cogswell Park,419.6258725,medium
Colby Village Elementary School Park,419.620055,medium
Colby Village Elementary School Park Walkway,419.6201125,medium
Colby Village Recreation Centre Park,419.62041750000003,medium
Cole Harbour Common,419.6198975,medium
Cole Harbour Community Centre,419.6198025,medium
Cole Harbour District High School Park,419.62007500000004,medium
Cole Harbour Heritage Park Trails,419.6189187068965,medium
Cole Harbour Place,419.6200475,medium
Cole Harbour Salt Marsh Trail,419.61596,medium
Collins Grove Park,419.62157,medium
Collins Road Park,419.63064,medium
Colonel John Stuart Elementary School Park,419.61968,medium
Columbus Place Park,419.6260975,medium
Commodore Park,419.62221750000003,medium
Community Recreation Centre,419.62625,medium
Confederation Avenue Park,419.6246875,medium
Conifer Court Park,419.633665,medium
Connaught Battery Park,419.62521,medium
Connrose Park,419.6264875,medium
Conrod Beach Road Park,419.60586,medium
Cooks Brook Park,419.60387000000003,medium
Cornwallis Park,419.6249,medium
Coronation Avenue Park,419.6278,medium
Correctional Centre Park,419.6270975,medium
Country Lake Drive Park,419.6139725,medium
Cove Road Park,419.6390925,medium
Cow Bay Lake Park,419.6184725,medium
Cow Bay Road Park,419.617485,medium
Coyote Park,419.63403500000004,medium
Craigburn Drive Park,419.6219325,medium
Cranberry Lake Park,419.6202925,medium
Crathorne Park,419.6251175,medium
Crichton Centre,419.62404749999996,medium
Crichton Park Elementary School Park,419.6238025,medium
Crichton Park Elementary School Park Walkway,419.6238840625,medium
Crichton Park School Walkways,419.62384875,medium
Crowbar Lake Hiking Trail,419.6133213636364,medium
Crowell Road Park,419.611595,medium
Cunard Junior High School Park,419.6269175,medium
Cutler Avenue Park,419.622795,medium
Cutter Drive Park,419.6289725,medium
Cyril Smith Park,419.6240725,medium
D. J. Butler Park,419.6286225,medium
Dale Bennett Memorial Park,419.60101,medium
Danny Drive Park,419.62686,medium
Darjeeling Drive Park,419.6278,medium
Darlington Drive Park,419.6294175,medium
Dartmouth Common,419.62447000000003,medium
Dartmouth Common Cemetery,419.62432,medium
Dartmouth Harbour East Recreation Campus,419.62414,medium
Dartmouth High School Park,419.62453500000004,medium
Dartmouth North Community Centre,419.6249925,medium
Dartmouth Road Park,419.62719,medium
Dartmouth South Academy Park,419.623315,medium
