Facility_Name,CO2,Category
Borealis Park,421.2773670967742,medium
City Hall Park,421.29048,medium
Demelt Park,421.2756012903226,medium
Doornbros Park,421.29315322580646,medium
Forrest Drive Park,421.2862225806452,medium
Fritz Theil Park,421.29681064516126,medium
Grace Lake Park,421.2673641935484,medium
Hank Koenen Park,421.3004477419355,medium
Horton Cresent Park,421.2760051612903,medium
Josephine Walcer Park,421.29738387096774,medium
Lamoureux Park,421.27445516129035,medium
Latham Island Park,421.30298967741936,medium
Magrum Park,421.28265516129034,medium
Mitchell Drive Park,421.30272516129037,medium
Moyle Park,421.2963209677419,medium
Olexin Park,421.2894980645161,medium
Orser Park,421.3020393548387,medium
Otto Drive Park,421.3045,medium
Parker Recreation Field,421.2763258064516,medium
Pilots Monument Park,421.3007722580645,medium
Raccine Park,421.300774516129,medium
Rotary Centennial Park,421.2955780645162,medium
School Draw Park,421.29303161290323,medium
Somba K'E Family Park,421.28919548387097,medium
Stirling Park,421.2972893548387,medium
Tommy Forrest Ball Park,421.28558483870967,medium
Watt Drive Park,421.3028248387097,medium
