Facility_Name,CO2,Category
Borealis Park,426.3795289285714,high
City Hall Park,426.38599821428573,high
Demelt Park,426.3783092857143,high
Doornbros Park,426.3869342857143,high
Forrest Drive Park,426.3816235714286,high
Fritz Theil Park,426.3886739285714,high
Grace Lake Park,426.3718967857143,high
Hank Koenen Park,426.3907442857143,high
Horton Cresent Park,426.37896714285716,high
Josephine Walcer Park,426.38923785714286,high
Lamoureux Park,426.37833928571433,high
Latham Island Park,426.39219071428573,high
Magrum Park,426.3863042857143,high
Mitchell Drive Park,426.39142035714286,high
Moyle Park,426.39066357142855,high
Olexin Park,426.38304,high
Orser Park,426.3915482142857,high
Otto Drive Park,426.39287,high
Parker Recreation Field,426.38215214285714,high
Pilots Monument Park,426.39052964285713,high
Raccine Park,426.39068499999996,high
Rotary Centennial Park,426.38692821428566,high
School Draw Park,426.3848717857143,high
Somba K'E Family Park,426.38541035714286,high
Stirling Park,426.3908057142857,high
Tommy Forrest Ball Park,426.3826525,high
Watt Drive Park,426.39246142857144,high
