Facility_Name,CO2,Category
Borealis Park,424.5841506451613,high
City Hall Park,424.59427774193546,high
Demelt Park,424.58271354838706,high
Doornbros Park,424.5962570967742,high
Forrest Drive Park,424.5905222580645,high
Fritz Theil Park,424.5990612903226,high
Grace Lake Park,424.57586935483874,high
Hank Koenen Park,424.60192193548386,high
Horton Cresent Park,424.5831170967742,high
Josephine Walcer Park,424.5995574193548,high
Lamoureux Park,424.58194580645164,high
Latham Island Park,424.6039203225806,high
Magrum Park,424.589070967742,high
Mitchell Drive Park,424.60358258064514,high
Moyle Park,424.59914967741935,high
Olexin Park,424.59300096774194,high
Orser Park,424.6031577419355,high
Otto Drive Park,424.6050712903226,high
Parker Recreation Field,424.5839706451613,high
Pilots Monument Park,424.60209612903225,high
Raccine Park,424.6021309677419,high
Rotary Centennial Park,424.5978758064516,high
School Draw Park,424.59574709677423,high
Somba K'E Family Park,424.5932990322581,high
Stirling Park,424.5998277419355,high
Tommy Forrest Ball Park,424.5903148387097,high
Watt Drive Park,424.6038719354839,high
