Facility_Name,CO2,Category
Borealis Park,427.30563,high
City Hall Park,427.3107952,high
Demelt Park,427.3045084,high
Doornbros Park,427.31138599999997,high
Forrest Drive Park,427.30638,high
Fritz Theil Park,427.3127496,high
Grace Lake Park,427.29844479999997,high
Hank Koenen Park,427.31451480000004,high
Horton Cresent Park,427.3052212,high
Josephine Walcer Park,427.3133156,high
Lamoureux Park,427.3047776,high
Latham Island Park,427.31575039999996,high
Magrum Park,427.3127072,high
Mitchell Drive Park,427.3148768,high
Moyle Park,427.3152352,high
Olexin Park,427.3074332,high
Orser Park,427.315164,high
Otto Drive Park,427.3162592,high
Parker Recreation Field,427.3089844,high
Pilots Monument Park,427.31419759999994,high
Raccine Park,427.31438280000003,high
Rotary Centennial Park,427.31089679999997,high
School Draw Park,427.3089376,high
Somba K'E Family Park,427.3103484,high
Stirling Park,427.3152168,high
Tommy Forrest Ball Park,427.3077476,high
Watt Drive Park,427.3161104,high
