Facility_Name,CO2,Category
Borealis Park,419.879225,medium
City Hall Park,419.892675,medium
Demelt Park,419.8773875,medium
Doornbros Park,419.8953925,medium
Forrest Drive Park,419.8881325,medium
Fritz Theil Park,419.89914500000003,medium
Grace Lake Park,419.8687625,medium
Hank Koenen Park,419.902895,medium
Horton Cresent Park,419.877845,medium
Josephine Walcer Park,419.89975,medium
Lamoureux Park,419.8762575,medium
Latham Island Park,419.9055075,medium
Magrum Park,419.884955,medium
Mitchell Drive Park,419.9051925,medium
Moyle Park,419.898805,medium
Olexin Park,419.891485,medium
Orser Park,419.9045175,medium
Otto Drive Park,419.907055,medium
Parker Recreation Field,419.8783925,medium
Pilots Monument Park,419.9031975,medium
Raccine Park,419.903205,medium
Rotary Centennial Park,419.897785,medium
School Draw Park,419.895125,medium
Somba K'E Family Park,419.8913575,medium
Stirling Park,419.8997725,medium
Tommy Forrest Ball Park,419.8875825,medium
Watt Drive Park,419.90537,medium
