Facility_Name,CO2,Category
(Hemming Park) Open Space,420.8337716129032,medium
0,420.84759677419356,medium
10-Cainsville Trail,420.8445527956989,medium
100 Foot Park,420.64423774193546,medium
11142 Mccowan Rd,420.7934038709678,medium
11Bhe,420.84667806451614,medium
11C-Edmonson To Dunsdon,420.846762983871,medium
11D-Dunsdon To Powerline,420.8468177419355,medium
11V11 - Field 1 - West Churchill Meadows Community Common,420.8185703225807,medium
11V11 - Field 2 - West Central Churchill Meadows Community Common,420.81852838709676,medium
11V11 - Field 3 - East Churchill Meadows Community Common,420.8184509677419,medium
11V11 - Field 4 - South Churchill Meadows Community Common,420.8184712903226,medium
11V11 - South East Aquinas Park,420.81718161290325,medium
11V11 - South West Aquinas Park,420.81722967741933,medium
11V11 2 E Erin Mills Athletic Fields,420.81575580645165,medium
11V11 Allison's Park,420.8115148387097,medium
11V11 Anaka Park,420.81273161290324,medium
11V11 Bell Harbour Park,420.8175835483871,medium
11V11 Burnhamdale Park,420.8098880645161,medium
11V11 Cawthra Park,420.8093312903226,medium
11V11 Clover Meadows,420.81452548387097,medium
11V11 E Sandford Farm,420.8142693548387,medium
11V11 Eden Woods,420.81936193548387,medium
11V11 Fallingbrook Community Park,420.8148532258064,medium
11V11 Garnetwood Park,420.80984,medium
11V11 Hawkins Glen,420.8104251612903,medium
11V11 Heritage Hills Park,420.8136264516129,medium
11V11 Horseshoe Park,420.81647741935484,medium
11V11 Jim Murray Community Park,420.8174706451613,medium
11V11 John C. Pallett Park,420.8166922580645,medium
11V11 Kingsbridge Common,420.81333387096777,medium
11V11 Kogaydiwin Park,420.8137735483871,medium
11V11 Madill Common,420.8138580645161,medium
11V11 Major Trelawny Woods,420.8195503225806,medium
11V11 Major Unlit E Derry Side Green,420.81384225806454,medium
11V11 Major Unlit N Lisgar Fields,420.8198283870968,medium
11V11 Major Unlit S Lisgar Fields,420.81978580645165,medium
11V11 Major Unlit W Derry Side Green,420.81388258064516,medium
11V11 Manor Hill,420.81650096774194,medium
11V11 Marvin Heights,420.81256129032255,medium
11V11 Meadow Park,420.8133696774193,medium
11V11 Mississauga - Meadowvale Rotary Park,420.817877311828,medium
11V11 N (Half Of A Multi Use Cricket) Petro Canada Park,420.8123887096774,medium
11V11 Ne Northwood Park,420.8118532258065,medium
11V11 Neebin Park,420.8167570967742,medium
11V11 North Marco Muzzo Senior Memorial Woods & Park,420.81762129032256,medium
11V11 Quenippenon Meadows,420.81688451612905,medium
11V11 Rathwood District Park,420.8112129032258,medium
11V11 Sandalwood Park,420.8132467741936,medium
11V11 South Marco Muzzo Senior Memorial Woods & Park,420.8176429032258,medium
11V11 Staghorn Woods,420.81460064516125,medium
11V11 Stonewood Park,420.8204383870968,medium
11V11 Sw Northwood Park,420.81187774193546,medium
11V11 Swinbourne Meadows,420.81604354838714,medium
11V11 Tom Chater Memorial Park,420.8162080645161,medium
11V11 W Erin Mills Athletic Fields,420.8157987096774,medium
11V11 W Sandford Farm,420.8143058064516,medium
11V11 Willowvale Fields,420.81515903225807,medium
11V11 Woodhurst Heights,420.81576096774194,medium
11V11 Woodland Park,420.8140503225806,medium
12-Powerline To Brantwood Park,420.84668161290324,medium
1297667 Ontario Ltd O/A Marquis Gardens Banquet And Convention Centre,420.8259922580645,medium
13A-Shallow Creek Trail,420.8476180645161,medium
13B-Canal Trail,420.8472549462366,medium
14Th Ave Trail,420.79034806451614,medium
15Ada,420.8490806451613,medium
15Bda,420.84950387096774,medium
15Cda,420.84934129032257,medium
16A-Cn Trail Junction,420.8496964516129,medium
16B-Cn Trail,420.8508458064516,medium
16C-Th&B Rail Trail,420.85061483870965,medium
16Dca,420.8493467741936,medium
17-Shellard Lane Trail,420.85006645161286,medium
18-Veterans Memorial Parkway Trail,420.849027016129,medium
1856920 Ontrio Inc O/A Ace Entertainent,420.82651129032257,medium
19-Le&N Rail Trail,420.8492960215054,medium
1A-Northwest Trail,420.8519511005693,medium
1B-Perched Fen Trail,420.85195903225804,medium
1St Concession Trail,420.8646587096774,medium
2-Blue Circle Trail,420.85089559139783,medium
20 Chimenti Crt,420.7949964516129,medium
20-Gilkison Trails,420.8482036129032,medium
21-Oakhill Trail,420.85034567741934,medium
22-Powerline Rd Nissan To Rosedale,420.8483319354839,medium
221 Queen,420.85770677419356,medium
23-Royal Oak Park Trail,420.8480701612903,medium
24-Forestwood Park Trail,420.84729161290323,medium
25-Florence To Buchanan Park,420.84654387096776,medium
26-Deer Park Trail,420.8488314516129,medium
2687394 Ontario Inc O/A Galileo's Garden,420.82182290322584,medium
27-Edith Monture Forest Trail,420.84967741935486,medium
28-Franklin Grobb Memorial Forest Trail,420.8492466129032,medium
29-D'Aubigny Creek Wetlands Trails,420.85000161290327,medium
3-Glenhyrst Trail,420.84970344086025,medium
30-Hickory Park Trail,420.8494932258065,medium
300 Grange Subdivision Park,420.8432083870968,medium
31-Powell Forest Trail,420.84990322580643,medium
33Gra,420.8448997419355,medium
34Bel,420.84832677419354,medium
35Gvt,420.8516319892473,medium
37316,420.8128020430108,medium
3Glen,420.8503296774194,medium
4 Seasons Country Club,420.78349096774195,medium
4408 16Th Ave,420.79429290322577,medium
4560 Eglinton Ave W Park,420.8071567741936,medium
4Awat,420.84969806451613,medium
4B-Waterworks Forest Trail,420.8498264516129,medium
4C-Waterworks Canal Trail,420.84961774193545,medium
4D-Waterworks River Trail,420.84973096774195,medium
5-Holmdale Dike Trail,420.848656359447,medium
6418 Major Mackenzie Dr - Pitter-Cooney House,420.7908848387097,medium
6A-Brants Trail,420.84815365591396,medium
6B-Earl Haig Trail,420.84807263440865,medium
6C-Fordview Trail,420.84831661290326,medium
75 Clegg Rd,420.79561677419355,medium
7V7 - East Castlegreen Meadows,420.81784548387094,medium
7V7 - North Aquinas Park,420.81723,medium
7V7 1 E Century City,420.8146909677419,medium
7V7 1 W Greenfield Park,420.81166806451614,medium
7V7 2 E Greenfield Park,420.81165612903226,medium
7V7 2 W Century City,420.81472677419356,medium
7V7 Applewood Heights,420.8101932258065,medium
7V7 Barondale Green,420.8137306451613,medium
7V7 Brookmede Park,420.81483580645164,medium
7V7 Brown's Heights,420.81587322580646,medium
7V7 Bruce Reynolds Park,420.8132677419355,medium
7V7 Buttonbush Park,420.82062548387097,medium
7V7 Castlebridge Common,420.8174848387097,medium
7V7 City View Park,420.8130261290322,medium
7V7 Clover Meadows,420.81458096774196,medium
7V7 Deer Wood Park,420.81419741935485,medium
7V7 Duncairn Downs,420.8173329032258,medium
7V7 East Courtneypark Athletic Fields,420.81597161290324,medium
7V7 F.B. Mcfarren Memorial Park,420.8168870967742,medium
7V7 Fairview Park,420.81226741935484,medium
7V7 Forest Hill Park,420.81610903225805,medium
7V7 Four Winds Hollow,420.81490709677416,medium
7V7 Golder Community Park,420.81718548387096,medium
7V7 Gordon Lummiss Park,420.81160612903227,medium
7V7 Hawthorne Valley,420.813925483871,medium
7V7 Heritage Hills Park,420.81359258064515,medium
7V7 Huron Park,420.8125980645161,medium
7V7 Iroquois Flats,420.8120490322581,medium
7V7 John Cleary Park,420.813005483871,medium
7V7 King's Masting Park,420.81546967741934,medium
7V7 Meadow Glen,420.81193580645163,medium
7V7 N Paul Coffey Park,420.8113961290323,medium
7V7 North West (Field 1) Garcia Park,420.8161435483871,medium
7V7 Nw Huron Heights,420.81276483870965,medium
7V7 Pheasant Run,420.81604774193545,medium
7V7 Rayfield Park,420.8119825806451,medium
7V7 Red Brush Park,420.81274096774195,medium
7V7 Ridgewood Park,420.8120338709677,medium
7V7 Rosebush Common,420.8150829032258,medium
7V7 S Paul Coffey Park,420.81138,medium
7V7 Samuelson Park,420.81814879032254,medium
7V7 Se (Part Of A Multi Use Cricket) Petro Canada Park,420.8123564516129,medium
7V7 Se Huron Heights,420.81273258064516,medium
7V7 Sonoma Park,420.81516387096775,medium
7V7 South East (Field 2) Garcia Park,420.81617,medium
7V7 Streetsville Memorial Park,420.8162716129032,medium
7V7 Sw (Part Of A Multi Use Cricket) Petro Canada Park,420.81233935483874,medium
7V7 Thornlodge Park,420.8147012903226,medium
7V7 Trafalgar Common,420.8182116129032,medium
7V7 W Middlebury Green,420.8173087096774,medium
7V7 West Courtneypark Athletic Fields,420.8159319354839,medium
7V7 Westwood Park,420.81128806451613,medium
"7V7 Whiteoaks (K-5, Fi) (Ps)",420.81269451612906,medium
7V7 Willowvale Fields,420.81510709677417,medium
7V7 Woodhurst Heights,420.81573451612906,medium
7V7 Woodington Green,420.8123422580645,medium
7V7 Woodland Chase,420.8160151612903,medium
7V7 Zonta Meadows,420.81336,medium
8-East Of Erie Dike Trail,420.8472829032258,medium
8100 Warden Ave,420.7953970967742,medium
8290 Warden Ave,420.7952812903226,medium
87 Acres Park,420.81646677419354,medium
9413 Mccowan Rd,420.7927229032258,medium
9A-Mohawk To Locks Trail,420.84631838709674,medium
9B-Forest Rd Trail,420.8462810322581,medium
9V9 1 S Crawford Green,420.816474516129,medium
9V9 1 W Bruce Reynolds Park,420.81323516129027,medium
9V9 2 E Bruce Reynolds Park,420.813204516129,medium
9V9 2 N Crawford Green,420.81652354838707,medium
9V9 Albert Mcbride Park,420.81158612903226,medium
9V9 Arbour Green,420.8158148387097,medium
9V9 Aspen Ridge,420.8201019354839,medium
9V9 Bancroft Park,420.81610064516127,medium
9V9 E Middlebury Green,420.8172677419355,medium
9V9 East Tobias Mason Park,420.82032032258064,medium
9V9 Forest Park,420.81984645161293,medium
9V9 Hunter's Green,420.81917032258065,medium
9V9 John C. Pallett Park,420.81663580645164,medium
9V9 Kennedy Park,420.8104870967742,medium
9V9 Knotty Pine Park,420.81719064516125,medium
9V9 Mckenzie Park,420.8113209677419,medium
9V9 N Garthwood Park,420.81593387096774,medium
9V9 Novo Star Park,420.8164464516129,medium
9V9 Old Ridge Park,420.8171151612903,medium
9V9 Rockwood Glen,420.81069612903224,medium
9V9 S Garthwood Park,420.8158848387097,medium
9V9 Samuel Common,420.8161625806452,medium
9V9 Scott's Brae,420.8164377419355,medium
9V9 Settler's Green,420.818530967742,medium
9V9 Sw Northwood Park,420.8118441935484,medium
9V9 Tobias Mason Park,420.820374516129,medium
9V9 Totoredaca Park,420.81935112903227,medium
9V9 Unlit Gooderham Park,420.8168558064516,medium
9V9 Woodland Chase,420.8159874193548,medium
<B>Name: </B><Br><B>Trail_Id: </B>143<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Unpaved,420.7967170967742,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>112<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7969883870968,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>113<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7969587096774,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>114<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79690258064517,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>115<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7966477419355,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>116<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79666,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>117<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79663516129034,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>118<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7966148387097,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>119<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79705677419355,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>132<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7965029032258,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>138<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7955661290323,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>142<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7969070967742,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>144<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7968596774193,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>145<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79685419354837,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>146<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79689903225807,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>147<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7968325806452,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>148<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7968383870968,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>149<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7968632258065,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>150<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7969038709677,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>151<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Branch Trail<Br><B>Surface: </B>Paved,420.79686903225803,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>152<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7967783870968,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>153<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7966648387097,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>154<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Unpaved,420.7968170967742,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>79<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7965461290322,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>80<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7969190322581,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>81<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7968290322581,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>82<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79668580645165,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>83<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7967551612903,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>84<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79657935483874,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>85<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79656032258066,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>86<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7965461290322,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>87<Br><B>Enviro: </B>On-Road/Sidewalk<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7965896774193,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>88<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79657741935483,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>89<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Branch Trail<Br><B>Surface: </B>Paved,420.7966238709677,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>90<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Branch Trail<Br><B>Surface: </B>Paved,420.7965987096774,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>91<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Branch Trail<Br><B>Surface: </B>Paved,420.79658064516127,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>92<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Branch Trail<Br><B>Surface: </B>Paved,420.79651419354843,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>93<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7965490322581,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>94<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79651193548386,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>95<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Branch Trail<Br><B>Surface: </B>Un-Paved,420.7959477419355,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>96<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.79617838709675,medium
<B>Name: </B>Canal Parkway Trail<Br><B>Trail_Id: </B>97<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Main Trail<Br><B>Surface: </B>Paved,420.7959270967742,medium
<B>Name: </B>Merritt Island Trail<Br><B>Trail_Id: </B>100<Br><B>Enviro: </B>Off-Road<Br><B>Trail_Class: </B>Branch Trail<Br><B>Surface: </B>Un-Paved,420.79579548387096,medium
