Facility_Name,CO2,Category
(Hemming Park) Open Space,420.2699078571428,medium
0,420.26503178571426,medium
10-Cainsville Trail,420.26880095238096,medium
100 Foot Park,420.2361717857143,medium
11142 Mccowan Rd,420.3529892857143,medium
11Bhe,420.2751239285714,medium
11C-Edmonson To Dunsdon,420.2762278571428,medium
11D-Dunsdon To Powerline,420.27887321428574,medium
11V11 - Field 1 - West Churchill Meadows Community Common,420.31441785714287,medium
11V11 - Field 2 - West Central Churchill Meadows Community Common,420.31426571428574,medium
11V11 - Field 3 - East Churchill Meadows Community Common,420.314395,medium
11V11 - Field 4 - South Churchill Meadows Community Common,420.31411214285714,medium
11V11 - South East Aquinas Park,420.3098171428572,medium
11V11 - South West Aquinas Park,420.3097325,medium
11V11 2 E Erin Mills Athletic Fields,420.3110285714286,medium
11V11 Allison's Park,420.3162221428571,medium
11V11 Anaka Park,420.33785750000004,medium
11V11 Bell Harbour Park,420.3160925,medium
11V11 Burnhamdale Park,420.3155835714286,medium
11V11 Cawthra Park,420.307265,medium
11V11 Clover Meadows,420.31383642857145,medium
11V11 E Sandford Farm,420.31483392857143,medium
11V11 Eden Woods,420.3191307142857,medium
11V11 Fallingbrook Community Park,420.31536714285716,medium
11V11 Garnetwood Park,420.31877392857143,medium
11V11 Hawkins Glen,420.31266678571427,medium
11V11 Heritage Hills Park,420.31600392857143,medium
11V11 Horseshoe Park,420.32739214285715,medium
11V11 Jim Murray Community Park,420.3115367857143,medium
11V11 John C. Pallett Park,420.31105607142854,medium
11V11 Kingsbridge Common,420.31649749999997,medium
11V11 Kogaydiwin Park,420.3010992857143,medium
11V11 Madill Common,420.3153796428572,medium
11V11 Major Trelawny Woods,420.31832214285714,medium
11V11 Major Unlit E Derry Side Green,420.3311775,medium
11V11 Major Unlit N Lisgar Fields,420.31838571428574,medium
11V11 Major Unlit S Lisgar Fields,420.3181996428571,medium
11V11 Major Unlit W Derry Side Green,420.33110535714286,medium
11V11 Manor Hill,420.31463821428576,medium
11V11 Marvin Heights,420.3365153571429,medium
11V11 Meadow Park,420.3007492857143,medium
11V11 Mississauga - Meadowvale Rotary Park,420.31192345238094,medium
11V11 N (Half Of A Multi Use Cricket) Petro Canada Park,420.2970778571429,medium
11V11 Ne Northwood Park,420.3388557142857,medium
11V11 Neebin Park,420.3272332142857,medium
11V11 North Marco Muzzo Senior Memorial Woods & Park,420.31082678571426,medium
11V11 Quenippenon Meadows,420.3132689285714,medium
11V11 Rathwood District Park,420.31732071428576,medium
11V11 Sandalwood Park,420.31861535714285,medium
11V11 South Marco Muzzo Senior Memorial Woods & Park,420.31057392857144,medium
11V11 Staghorn Woods,420.3180385714286,medium
11V11 Stonewood Park,420.3213214285714,medium
11V11 Sw Northwood Park,420.3385214285714,medium
11V11 Swinbourne Meadows,420.3207939285714,medium
11V11 Tom Chater Memorial Park,420.3063264285714,medium
11V11 W Erin Mills Athletic Fields,420.31097642857145,medium
11V11 W Sandford Farm,420.31478535714285,medium
11V11 Willowvale Fields,420.3154753571429,medium
11V11 Woodhurst Heights,420.30709964285717,medium
11V11 Woodland Park,420.3104335714285,medium
12-Powerline To Brantwood Park,420.2795835714286,medium
1297667 Ontario Ltd O/A Marquis Gardens Banquet And Convention Centre,420.25494035714286,medium
13A-Shallow Creek Trail,420.27034071428574,medium
