Facility_Name,CO2,Category
(Hemming Park) Open Space,420.8424506451613,medium
0,420.8504648387097,medium
10-Cainsville Trail,420.84959236559143,medium
100 Foot Park,420.7272612903226,medium
11142 Mccowan Rd,420.85728161290325,medium
11Bhe,420.8531635483871,medium
11C-Edmonson To Dunsdon,420.8535887096774,medium
11D-Dunsdon To Powerline,420.85450322580647,medium
11V11 - Field 1 - West Churchill Meadows Community Common,420.8507687096774,medium
11V11 - Field 2 - West Central Churchill Meadows Community Common,420.85067903225803,medium
11V11 - Field 3 - East Churchill Meadows Community Common,420.8506893548387,medium
11V11 - Field 4 - South Churchill Meadows Community Common,420.85058032258064,medium
11V11 - South East Aquinas Park,420.8479638709677,medium
11V11 - South West Aquinas Park,420.84795612903224,medium
11V11 2 E Erin Mills Athletic Fields,420.84766677419356,medium
11V11 Allison's Park,420.847664516129,medium
11V11 Anaka Park,420.85866806451617,medium
11V11 Bell Harbour Park,420.8509232258064,medium
11V11 Burnhamdale Park,420.8464761290323,medium
11V11 Cawthra Park,420.84227741935484,medium
11V11 Clover Meadows,420.84819000000005,medium
11V11 E Sandford Farm,420.84851483870966,medium
11V11 Eden Woods,420.85330000000005,medium
11V11 Fallingbrook Community Park,420.84908322580645,medium
11V11 Garnetwood Park,420.84794741935485,medium
11V11 Hawkins Glen,420.84540516129033,medium
11V11 Heritage Hills Park,420.8487148387097,medium
11V11 Horseshoe Park,420.8556009677419,medium
11V11 Jim Murray Community Park,420.84888032258067,medium
11V11 John C. Pallett Park,420.8482222580645,medium
11V11 Kingsbridge Common,420.84878322580647,medium
11V11 Kogaydiwin Park,420.84220516129034,medium
11V11 Madill Common,420.8485438709678,medium
11V11 Major Trelawny Woods,420.8530393548387,medium
11V11 Major Unlit E Derry Side Green,420.85594612903225,medium
11V11 Major Unlit N Lisgar Fields,420.85322580645163,medium
11V11 Major Unlit S Lisgar Fields,420.85311870967746,medium
11V11 Major Unlit W Derry Side Green,420.85593548387095,medium
11V11 Manor Hill,420.8496619354839,medium
11V11 Marvin Heights,420.8579061290323,medium
11V11 Meadow Park,420.84182354838714,medium
11V11 Mississauga - Meadowvale Rotary Park,420.8492861290323,medium
11V11 N (Half Of A Multi Use Cricket) Petro Canada Park,420.8396561290323,medium
11V11 Ne Northwood Park,420.85872806451613,medium
11V11 Neebin Park,420.8556835483871,medium
11V11 North Marco Muzzo Senior Memorial Woods & Park,420.84865612903224,medium
11V11 Quenippenon Meadows,420.84928903225807,medium
11V11 Rathwood District Park,420.84801612903226,medium
11V11 Sandalwood Park,420.8497303225807,medium
11V11 South Marco Muzzo Senior Memorial Woods & Park,420.848555483871,medium
11V11 Staghorn Woods,420.85019516129034,medium
11V11 Stonewood Park,420.8549125806452,medium
11V11 Sw Northwood Park,420.85857516129033,medium
11V11 Swinbourne Meadows,420.8522693548387,medium
11V11 Tom Chater Memorial Park,420.8458838709678,medium
11V11 W Erin Mills Athletic Fields,420.8476677419355,medium
11V11 W Sandford Farm,420.84850645161293,medium
11V11 Willowvale Fields,420.84929999999997,medium
11V11 Woodhurst Heights,420.8459609677419,medium
11V11 Woodland Park,420.8464077419355,medium
12-Powerline To Brantwood Park,420.8546464516129,medium
1297667 Ontario Ltd O/A Marquis Gardens Banquet And Convention Centre,420.8320687096774,medium
13A-Shallow Creek Trail,420.8522377419355,medium
13B-Canal Trail,420.8516293548387,medium
14Th Ave Trail,420.8470138709677,medium
15Ada,420.85385306451616,medium
15Bda,420.85407064516124,medium
15Cda,420.85381193548386,medium
16A-Cn Trail Junction,420.8540887096774,medium
16B-Cn Trail,420.8547993548387,medium
16C-Th&B Rail Trail,420.8544722580645,medium
16Dca,420.8537016129032,medium
17-Shellard Lane Trail,420.85387935483874,medium
18-Veterans Memorial Parkway Trail,420.85316306451614,medium
1856920 Ontrio Inc O/A Ace Entertainent,420.8368029032258,medium
19-Le&N Rail Trail,420.8527714516129,medium
1A-Northwest Trail,420.85859531309296,medium
1B-Perched Fen Trail,420.85828629032255,medium
1St Concession Trail,420.84609387096776,medium
2-Blue Circle Trail,420.8569176344086,medium
20 Chimenti Crt,420.85233516129034,medium
20-Gilkison Trails,420.85222090322577,medium
21-Oakhill Trail,420.8557098064516,medium
22-Powerline Rd Nissan To Rosedale,420.85614354838714,medium
221 Queen,420.8846335483871,medium
23-Royal Oak Park Trail,420.8557479032258,medium
24-Forestwood Park Trail,420.8551425806452,medium
25-Florence To Buchanan Park,420.8538577419355,medium
26-Deer Park Trail,420.85608185483875,medium
2687394 Ontario Inc O/A Galileo's Garden,420.8299348387097,medium
27-Edith Monture Forest Trail,420.853575,medium
28-Franklin Grobb Memorial Forest Trail,420.8529548387097,medium
29-D'Aubigny Creek Wetlands Trails,420.854214516129,medium
3-Glenhyrst Trail,420.85587225806455,medium
30-Hickory Park Trail,420.8529098387097,medium
300 Grange Subdivision Park,420.878035483871,medium
31-Powell Forest Trail,420.8534793548387,medium
33Gra,420.85013077419353,medium
34Bel,420.85120467741933,medium
35Gvt,420.85791709677426,medium
37316,420.9244692473118,medium
3Glen,420.8568003225806,medium
4 Seasons Country Club,420.8494548387097,medium
4408 16Th Ave,420.8533922580645,medium
4560 Eglinton Ave W Park,420.8486577419355,medium
4Awat,420.8547632258065,medium
4B-Waterworks Forest Trail,420.8548403225807,medium
4C-Waterworks Canal Trail,420.8550419354838,medium
4D-Waterworks River Trail,420.8547941935484,medium
5-Holmdale Dike Trail,420.8535877419355,medium
6418 Major Mackenzie Dr - Pitter-Cooney House,420.85319967741935,medium
6A-Brants Trail,420.85283610215055,medium
6B-Earl Haig Trail,420.852544139785,medium
6C-Fordview Trail,420.8529927419355,medium
75 Clegg Rd,420.85205612903223,medium
7V7 - East Castlegreen Meadows,420.8507716129032,medium
7V7 - North Aquinas Park,420.84806838709676,medium
7V7 1 E Century City,420.8493635483871,medium
7V7 1 W Greenfield Park,420.8468090322581,medium
7V7 2 E Greenfield Park,420.8468164516129,medium
7V7 2 W Century City,420.84935548387097,medium
7V7 Applewood Heights,420.84569032258065,medium
