Facility_Name,CO2,Category
(Hemming Park) Open Space,418.9696548,medium
0,418.9678104,medium
10-Cainsville Trail,418.97055919999997,medium
100 Foot Park,418.9082552,medium
11142 Mccowan Rd,419.0354568,medium
11Bhe,418.97645239999997,medium
11C-Edmonson To Dunsdon,418.9774299,medium
11D-Dunsdon To Powerline,418.9797552,medium
11V11 - Field 1 - West Churchill Meadows Community Common,419.0059696,medium
11V11 - Field 2 - West Central Churchill Meadows Community Common,419.0058288,medium
11V11 - Field 3 - East Churchill Meadows Community Common,419.0059304,medium
11V11 - Field 4 - South Churchill Meadows Community Common,419.00568760000004,medium
11V11 - South East Aquinas Park,419.001716,medium
11V11 - South West Aquinas Park,419.0016508,medium
11V11 2 E Erin Mills Athletic Fields,419.0025204,medium
11V11 Allison's Park,419.00631200000004,medium
11V11 Anaka Park,419.0254632,medium
11V11 Bell Harbour Park,419.0072572,medium
11V11 Burnhamdale Park,419.0054744,medium
11V11 Cawthra Park,418.9981112,medium
11V11 Clover Meadows,419.0047516,medium
11V11 E Sandford Farm,419.00557999999995,medium
11V11 Eden Woods,419.010218,medium
11V11 Fallingbrook Community Park,419.0061416,medium
11V11 Garnetwood Park,419.0082524,medium
11V11 Hawkins Glen,419.0030176,medium
11V11 Heritage Hills Park,419.0064916,medium
11V11 Horseshoe Park,419.0169344,medium
11V11 Jim Murray Community Park,419.0032672,medium
11V11 John C. Pallett Park,419.00270839999996,medium
11V11 Kingsbridge Common,419.00687519999997,medium
11V11 Kogaydiwin Park,418.99352039999997,medium
11V11 Madill Common,419.0059764,medium
11V11 Major Trelawny Woods,419.009544,medium
11V11 Major Unlit E Derry Side Green,419.0197976,medium
11V11 Major Unlit N Lisgar Fields,419.0096496,medium
11V11 Major Unlit S Lisgar Fields,419.00947840000003,medium
11V11 Major Unlit W Derry Side Green,419.0197492,medium
11V11 Manor Hill,419.00580199999996,medium
11V11 Marvin Heights,419.02425839999995,medium
11V11 Meadow Park,418.99314680000003,medium
11V11 Mississauga - Meadowvale Rotary Park,419.003676,medium
11V11 N (Half Of A Multi Use Cricket) Petro Canada Park,418.98977160000004,medium
11V11 Ne Northwood Park,419.0261912,medium
11V11 Neebin Park,419.0168528,medium
11V11 North Marco Muzzo Senior Memorial Woods & Park,419.0026764,medium
11V11 Quenippenon Meadows,419.0046752,medium
11V11 Rathwood District Park,419.0072212,medium
11V11 Sandalwood Park,419.0087092,medium
11V11 South Marco Muzzo Senior Memorial Woods & Park,419.00245759999996,medium
11V11 Staghorn Woods,419.0084336,medium
11V11 Stonewood Park,419.01231400000006,medium
11V11 Sw Northwood Park,419.0259056,medium
