Facility_Name,CO2,Category
(Hemming Park) Open Space,420.4736875,medium
0,420.4885175,medium
10-Cainsville Trail,420.48507,medium
100 Foot Park,420.2767875,medium
11142 Mccowan Rd,420.425185,medium
11Bhe,420.48687,medium
11C-Edmonson To Dunsdon,420.486876875,medium
11D-Dunsdon To Powerline,420.4867475,medium
11V11 - Field 1 - West Churchill Meadows Community Common,420.4545475,medium
11V11 - Field 2 - West Central Churchill Meadows Community Common,420.4544975,medium
11V11 - Field 3 - East Churchill Meadows Community Common,420.45442,medium
11V11 - Field 4 - South Churchill Meadows Community Common,420.454465,medium
11V11 - South East Aquinas Park,420.4534225,medium
11V11 - South West Aquinas Park,420.45347,medium
11V11 2 E Erin Mills Athletic Fields,420.45184,medium
11V11 Allison's Park,420.44698,medium
11V11 Anaka Park,420.446655,medium
11V11 Bell Harbour Park,420.453385,medium
11V11 Burnhamdale Park,420.44531,medium
11V11 Cawthra Park,420.445335,medium
11V11 Clover Meadows,420.4503325,medium
11V11 E Sandford Farm,420.44997,medium
11V11 Eden Woods,420.4550175,medium
11V11 Fallingbrook Community Park,420.4505525,medium
11V11 Garnetwood Park,420.44503,medium
11V11 Hawkins Glen,420.4460975,medium
11V11 Heritage Hills Park,420.4492125,medium
11V11 Horseshoe Park,420.4513725,medium
11V11 Jim Murray Community Park,420.4536025,medium
11V11 John C. Pallett Park,420.452815,medium
11V11 Kingsbridge Common,420.4488725,medium
11V11 Kogaydiwin Park,420.450465,medium
11V11 Madill Common,420.4495175,medium
11V11 Major Trelawny Woods,420.45528,medium
11V11 Major Unlit E Derry Side Green,420.448325,medium
11V11 Major Unlit N Lisgar Fields,420.45556750000003,medium
11V11 Major Unlit S Lisgar Fields,420.455525,medium
11V11 Major Unlit W Derry Side Green,420.4483675,medium
11V11 Manor Hill,420.4523575,medium
11V11 Marvin Heights,420.44658749999996,medium
11V11 Meadow Park,420.4500675,medium
11V11 Mississauga - Meadowvale Rotary Park,420.45399249999997,medium
11V11 N (Half Of A Multi Use Cricket) Petro Canada Park,420.4493025,medium
11V11 Ne Northwood Park,420.4456625,medium
11V11 Neebin Park,420.45168,medium
11V11 North Marco Muzzo Senior Memorial Woods & Park,420.453795,medium
11V11 Quenippenon Meadows,420.4528425,medium
11V11 Rathwood District Park,420.44658749999996,medium
11V11 Sandalwood Park,420.44863,medium
11V11 South Marco Muzzo Senior Memorial Woods & Park,420.4538475,medium
11V11 Staghorn Woods,420.45009749999997,medium
11V11 Stonewood Park,420.4559875,medium
11V11 Sw Northwood Park,420.4457025,medium
11V11 Swinbourne Meadows,420.45141,medium
11V11 Tom Chater Memorial Park,420.452665,medium
11V11 W Erin Mills Athletic Fields,420.4518675,medium
11V11 W Sandford Farm,420.450025,medium
11V11 Willowvale Fields,420.45086000000003,medium
11V11 Woodhurst Heights,420.4521175,medium
11V11 Woodland Park,420.45007499999997,medium
12-Powerline To Brantwood Park,420.48656,medium
1297667 Ontario Ltd O/A Marquis Gardens Banquet And Convention Centre,420.4665725,medium
13A-Shallow Creek Trail,420.48818,medium
13B-Canal Trail,420.48787583333336,medium
14Th Ave Trail,420.423185,medium
15Ada,420.48958625,medium
15Bda,420.4900425,medium
15Cda,420.4898975,medium
16A-Cn Trail Junction,420.4902775,medium
16B-Cn Trail,420.4914825,medium
16C-Th&B Rail Trail,420.491295,medium
16Dca,420.4899375,medium
17-Shellard Lane Trail,420.49075500000004,medium
18-Veterans Memorial Parkway Trail,420.489665625,medium
1856920 Ontrio Inc O/A Ace Entertainent,420.46624,medium
19-Le&N Rail Trail,420.4900733333333,medium
1A-Northwest Trail,420.49202117647064,medium
1B-Perched Fen Trail,420.49209874999997,medium
1St Concession Trail,420.51133749999997,medium
2-Blue Circle Trail,420.4911104166667,medium
