Facility_Name,CO2,Category
3 Bondaries Trails,420.32100129032256,medium
"Abénaquis, Parc Des",420.48129741935486,medium
"Adoncour, Parc",420.48322225806453,medium
"Adrien-Gamache, Parc",420.48250645161295,medium
"Alain-Forget, Parc",420.480104516129,medium
"Alakazou, Parc",420.4812638709678,medium
"Albert-Beausoleil, Parc",420.47910903225807,medium
Altitude Gym,420.6007658064516,medium
"Amandiers, Parc Des",420.48020354838707,medium
Ambroise-Filion,420.49942838709677,medium
Amédée-Meunier,420.4819470967742,medium
"Anastase-Forget, Parc",420.4829567741935,medium
André-Joly,420.4998493548387,medium
Anima Lumina - Illuminated Night Walk At The Zoo Sauvage St-Felicien,420.6814780645161,medium
"Arcand, Jardin",420.48107999999996,medium
"Arcand, Parc",420.4812216129032,medium
"Armand-Bruno, Parc",420.4821809677419,medium
"Armand-Racicot, Parc",420.4841893548387,medium
Artisans,420.4814545161291,medium
Aréna 2 Glaces Val-Bélair,420.4028548387097,medium
Aréna Bardy,420.3916687096774,medium
Aréna Baribeau,420.59586096774194,medium
Aréna Beaudry,420.6015616129032,medium
Aréna Camillien-Houde,420.4873435483871,medium
Aréna Campeau,420.5930429032258,medium
Aréna Cholette,420.6015180645161,medium
Aréna Collège Bishop,420.3987116129032,medium
Aréna De Grand-Mère,420.4570829032258,medium
Aréna Duberger,420.39387290322577,medium
Aréna Eugène-Lalonde,420.40067419354835,medium
Aréna Frank-Robinson,420.6064961290323,medium
Aréna Gaétan-Duchesne,420.3951512903226,medium
Aréna Gilles-Bourassa,420.45659758064517,medium
Aréna Ivan-Dugré,420.4020383870968,medium
Aréna Jane Et Eric Molson De L'Université Bishop'S,420.39880967741937,medium
Aréna Jean-Paul-Sabourin,420.60097903225807,medium
Aréna Michel-Labadie,420.39754161290324,medium
Aréna Mont-Sainte-Anne,420.40348290322584,medium
Aréna Patrick-Poulin,420.391825483871,medium
Aréna Paul-Et-Isabelle-Duchesnay,420.606509516129,medium
Aréna Philippe-Bergeron,420.40399451612905,medium
Aréna Réjean-Lemelin,420.39651258064515,medium
Aréna Stade-Pierre-Lafontaine,420.5986685483871,medium
Aréna Émile-Bédard,420.4558546774193,medium
"Asselin, Parc",420.4812487096774,medium
Avenue Du Capitaine-Veilleux,420.4569738709677,medium
Aylmer Marina,420.6071745161291,medium
Badminton Castonguay,420.48023451612903,medium
Bain Lévesque,420.4882638709677,medium
Bain Morgan,420.4860948387097,medium
Bain Quintal,420.48675,medium
Bain Schubert,420.4883516129032,medium
Bain St-Denis,420.48997354838707,medium
Bain Émard,420.489144516129,medium
Balle-Molle Greenfield Park Ladies Softball League,420.48329548387096,medium
"Bariteau, Parc",420.4840490322581,medium
"Baronnie, Parc De La",420.4845864516129,medium
Base De Plein Air De Sainte-Foy,420.3946074193549,medium
Base De Plein Air La Découverte,420.403034516129,medium
Basketball Mineur Les Lynx Saint-Hubert,420.48023451612903,medium
Beachclub/Plage De Pointe-Calumet,420.50913129032256,medium
"Beaujolais, Parc",420.4812106451613,medium
"Beauregard, Parc",420.48369451612905,medium
"Belcourt, Parc",420.48138677419354,medium
"Bellerive, Boisé",420.4830825806452,medium
"Bellerive, Parc",420.48346387096774,medium
Belvédère D'Almaville,420.45724903225806,medium
Belvédère Lambert,420.45690548387097,medium
Belvédère Van Bruyssel,420.4578522580645,medium
"Bernard-Hubert, Parc",420.47847612903223,medium
"Berthelet, Parc",420.48166967741935,medium
