Facility_Name,CO2,Category
3 Bondaries Trails,420.33144964285714,medium
"Abénaquis, Parc Des",420.2757128571429,medium
"Adoncour, Parc",420.2816478571429,medium
"Adrien-Gamache, Parc",420.27649464285713,medium
"Alain-Forget, Parc",420.26135821428574,medium
"Alakazou, Parc",420.26881999999995,medium
"Albert-Beausoleil, Parc",420.2639367857143,medium
Altitude Gym,420.4007642857143,medium
"Amandiers, Parc Des",420.2631489285714,medium
Ambroise-Filion,420.31854642857144,medium
Amédée-Meunier,420.31115392857146,medium
"Anastase-Forget, Parc",420.27358357142856,medium
André-Joly,420.3187042857143,medium
Anima Lumina - Illuminated Night Walk At The Zoo Sauvage St-Felicien,420.7534675,medium
"Arcand, Jardin",420.2763725,medium
"Arcand, Parc",420.2765932142857,medium
"Armand-Bruno, Parc",420.27040500000004,medium
"Armand-Racicot, Parc",420.27874107142856,medium
Artisans,420.31628107142853,medium
Aréna 2 Glaces Val-Bélair,420.37917642857144,medium
Aréna Bardy,420.36469535714286,medium
Aréna Baribeau,420.4033957142857,medium
Aréna Beaudry,420.4101876785714,medium
Aréna Camillien-Houde,420.28003750000005,medium
Aréna Campeau,420.4006785714286,medium
Aréna Cholette,420.40191357142857,medium
Aréna Collège Bishop,420.14912428571427,medium
Aréna De Grand-Mère,420.41494964285715,medium
Aréna Duberger,420.36429892857143,medium
Aréna Eugène-Lalonde,420.15894285714285,medium
Aréna Frank-Robinson,420.39798285714284,medium
Aréna Gaétan-Duchesne,420.3650332142857,medium
Aréna Gilles-Bourassa,420.4027044642857,medium
Aréna Ivan-Dugré,420.1560260714286,medium
Aréna Jane Et Eric Molson De L'Université Bishop'S,420.14778571428576,medium
Aréna Jean-Paul-Sabourin,420.40502000000004,medium
Aréna Michel-Labadie,420.37029821428575,medium
Aréna Mont-Sainte-Anne,420.15434142857146,medium
Aréna Patrick-Poulin,420.361825,medium
Aréna Paul-Et-Isabelle-Duchesnay,420.3979283928571,medium
Aréna Philippe-Bergeron,420.1737442857143,medium
Aréna Réjean-Lemelin,420.3745425,medium
Aréna Stade-Pierre-Lafontaine,420.40276303571426,medium
Aréna Émile-Bédard,420.41505624999996,medium
"Asselin, Parc",420.275975,medium
Avenue Du Capitaine-Veilleux,420.4046796428571,medium
Aylmer Marina,420.3992360714286,medium
Badminton Castonguay,420.26887857142856,medium
Bain Lévesque,420.28226464285717,medium
Bain Morgan,420.2845575,medium
Bain Quintal,420.28094321428574,medium
Bain Schubert,420.28061785714283,medium
Bain St-Denis,420.2867903571428,medium
Bain Émard,420.2710921428571,medium
Balle-Molle Greenfield Park Ladies Softball League,420.27002035714287,medium
"Bariteau, Parc",420.27393785714287,medium
"Baronnie, Parc De La",420.2807042857143,medium
Base De Plein Air De Sainte-Foy,420.3616271428572,medium
Base De Plein Air La Découverte,420.3763096428571,medium
Basketball Mineur Les Lynx Saint-Hubert,420.26887857142856,medium
Beachclub/Plage De Pointe-Calumet,420.302835,medium
"Beaujolais, Parc",420.27488464285716,medium
"Beauregard, Parc",420.27356392857143,medium
"Belcourt, Parc",420.27534535714284,medium
"Bellerive, Boisé",420.27980535714283,medium
"Bellerive, Parc",420.27979535714286,medium
Belvédère D'Almaville,420.40500000000003,medium
Belvédère Lambert,420.4042296428571,medium
Belvédère Van Bruyssel,420.40725642857143,medium
"Bernard-Hubert, Parc",420.26089964285717,medium
"Berthelet, Parc",420.27519821428575,medium
Bibliothèque Lisette-Morin,420.4696125,medium
Bibliothèque Pascale-Parent,420.4506632142857,medium
Blainville,420.3216592857143,medium
