Facility_Name,CO2,Category
3 Bondaries Trails,420.82878612903227,medium
"Abénaquis, Parc Des",420.7349112903226,medium
"Adoncour, Parc",420.74090806451613,medium
"Adrien-Gamache, Parc",420.73563935483867,medium
"Alain-Forget, Parc",420.72035387096776,medium
"Alakazou, Parc",420.727815483871,medium
"Albert-Beausoleil, Parc",420.72293903225807,medium
Altitude Gym,420.85560387096774,medium
"Amandiers, Parc Des",420.72213258064517,medium
Ambroise-Filion,420.7782783870968,medium
Amédée-Meunier,420.77233806451613,medium
"Anastase-Forget, Parc",420.7326164516129,medium
André-Joly,420.7784006451613,medium
Anima Lumina - Illuminated Night Walk At The Zoo Sauvage St-Felicien,421.2786887096774,medium
"Arcand, Jardin",420.73560580645164,medium
"Arcand, Parc",420.7358232258064,medium
"Armand-Bruno, Parc",420.72938516129034,medium
"Armand-Racicot, Parc",420.73784451612903,medium
Artisans,420.77806709677424,medium
Aréna 2 Glaces Val-Bélair,420.8642848387097,medium
Aréna Bardy,420.84959741935484,medium
Aréna Baribeau,420.85862661290327,medium
Aréna Beaudry,420.86520467741934,medium
Aréna Camillien-Houde,420.7389803225807,medium
Aréna Campeau,420.8560338709678,medium
Aréna Cholette,420.8567270967742,medium
Aréna Collège Bishop,420.61077,medium
Aréna De Grand-Mère,420.8941743548387,medium
Aréna Duberger,420.84860741935483,medium
Aréna Eugène-Lalonde,420.62031612903223,medium
Aréna Frank-Robinson,420.8526080645162,medium
Aréna Gaétan-Duchesne,420.8491812903226,medium
Aréna Gilles-Bourassa,420.8799456451613,medium
Aréna Ivan-Dugré,420.61744870967743,medium
Aréna Jane Et Eric Molson De L'Université Bishop'S,420.60948903225807,medium
Aréna Jean-Paul-Sabourin,420.8599029032258,medium
Aréna Michel-Labadie,420.8549006451613,medium
Aréna Mont-Sainte-Anne,420.61587483870966,medium
Aréna Patrick-Poulin,420.8461364516129,medium
Aréna Paul-Et-Isabelle-Duchesnay,420.8525525806452,medium
Aréna Philippe-Bergeron,420.63494,medium
Aréna Réjean-Lemelin,420.86027064516134,medium
Aréna Stade-Pierre-Lafontaine,420.8577485483871,medium
Aréna Émile-Bédard,420.89457387096775,medium
"Asselin, Parc",420.73518548387096,medium
Avenue Du Capitaine-Veilleux,420.8821709677419,medium
Aylmer Marina,420.85383612903223,medium
Badminton Castonguay,420.72793322580645,medium
Bain Lévesque,420.7412141935484,medium
Bain Morgan,420.74372,medium
Bain Quintal,420.73995096774195,medium
Bain Schubert,420.7395138709677,medium
Bain St-Denis,420.7457816129032,medium
Bain Émard,420.7298274193548,medium
Balle-Molle Greenfield Park Ladies Softball League,420.7289164516129,medium
"Bariteau, Parc",420.7329080645161,medium
"Baronnie, Parc De La",420.73984806451614,medium
Base De Plein Air De Sainte-Foy,420.84524258064516,medium
Base De Plein Air La Découverte,420.8607841935484,medium
Basketball Mineur Les Lynx Saint-Hubert,420.72793322580645,medium
Beachclub/Plage De Pointe-Calumet,420.76105290322585,medium
"Beaujolais, Parc",420.73406516129035,medium
"Beauregard, Parc",420.7325451612903,medium
"Belcourt, Parc",420.7345229032258,medium
"Bellerive, Boisé",420.73901677419354,medium
"Bellerive, Parc",420.7389783870968,medium
Belvédère D'Almaville,420.882485483871,medium
Belvédère Lambert,420.8816567741936,medium
Belvédère Van Bruyssel,420.8849958064516,medium
"Bernard-Hubert, Parc",420.71993774193544,medium
"Berthelet, Parc",420.7343635483871,medium
Bibliothèque Lisette-Morin,420.98853483870965,medium
Bibliothèque Pascale-Parent,420.96751677419354,medium
Blainville,420.7813367741935,medium
Bloc Shop Climbing Gym,420.74701548387094,medium
"Boisjoli, Parc",420.7230512903226,medium
"Boismenu, Parc",420.7333303225806,medium
"Boisvert, Parc",420.72315322580647,medium
Boisé Des Compagnons-De-Cartier,420.8399748387097,medium
"Bourgeoys, Parc",420.7354322580645,medium
"Bourget, Parc",420.72344838709677,medium
"Brodeur, Parc",420.7230664516129,medium
Brome Lake Douglass Beach,420.6263167741935,medium
"Brébeuf, Parc-École",420.7360419354839,medium
Buckingham Golf Club,420.86311870967745,medium
Bébégym - Centre Pas-À-Pas,420.8328003225807,medium
"Bédard, Parc",420.7378593548387,medium
"Calixa-Lavallée, Parc",420.73503322580643,medium
"Campbell, Parc",420.7214803225806,medium
Camping Plage Des Sources,420.72170161290325,medium
Camping Plage Laurentides,420.86580967741935,medium
Camping Plage Paquet Inc,420.772485483871,medium
Camping Plage Robertson,421.2427270967742,medium
Camping: Plage Belley,421.22709741935483,medium
"Canon, Parc",420.72280032258067,medium
"Cantin, Parc",420.73616419354835,medium
"Capricorne, Parc",420.7324993548387,medium
"Carignan-Salières, Parc",420.7151083870968,medium
"Carillon, Parc",420.7373403225807,medium
Carrefour Accès Loisirs,420.6169693548387,medium
Carrefour Communautaire De Charlesbourg,420.8544764516129,medium
"Carrefour, Parc Du",420.72023322580645,medium
Casino De Charlevoix,420.9315612903226,medium
Casino De Mont-Tremblant,420.928544516129,medium
Casino De Montréal,420.7344696774194,medium
Casino Du Lac-Leamy,420.85473774193554,medium
Casino Lac-Leamy Sound Of Light,420.8509019354839,medium
Catherine-Bousquet,420.7804474193548,medium
"Catherine-Primot, Parc",420.73856129032254,medium
Cegep De Shawinigan,420.8889019354839,medium
"Central, Parc",420.7372209677419,medium
Centre Aquatique Lucien-Houle,420.86122709677414,medium
Centre Aquatique Paul-Pelletier,420.85214709677416,medium
Centre Aquatique Rivières-Des-Prairies,420.7642770967742,medium
Centre Communautaire,420.78694129032255,medium
Centre Communautaire Accès,420.7621067741935,medium
Centre Communautaire Amédée-Beaudoin,420.6110048387097,medium
Centre Communautaire André-Touchet,420.84859161290325,medium
Centre Communautaire Apollo,420.85883548387096,medium
Centre Communautaire Auteuil,420.77173,medium
Centre Communautaire Belmont,420.8516141935484,medium
Centre Communautaire Bigras,420.7566541935484,medium
Centre Communautaire Bisson,420.85816677419353,medium
Centre Communautaire Boileau,420.7737580645161,medium
Centre Communautaire Bon-Pasteur,420.86562612903225,medium
Centre Communautaire Bourassa,420.8555638709677,medium
Centre Communautaire Champfleury,420.7640787096774,medium
Centre Communautaire Champigny,420.8457077419355,medium
Centre Communautaire Charles-Auguste-Savard,420.8591416129033,medium
Centre Communautaire Claude-Allard,420.8422593548387,medium
Centre Communautaire D'Anger,420.85504935483874,medium
Centre Communautaire D'Anjou,420.7548129032258,medium
Centre Communautaire Daniel-Johnson,420.85948258064514,medium
Centre Communautaire Daniel-Lafortune,420.856775483871,medium
Centre Communautaire De Buckingham,420.86220709677417,medium
Centre Communautaire De Cap-Rouge,420.8379212903225,medium
Centre Communautaire De L'Est,420.7498293548387,medium
Centre Communautaire De L'Ex-Garage (C.P.A.L.),420.76125193548387,medium
Centre Communautaire De L'Ex-Garage-Municipal,420.763244516129,medium
Centre Communautaire De L'Ex-Hôtel-De-Ville,420.76144516129034,medium
Centre Communautaire De La Canadienne,420.75695,medium
Centre Communautaire De La Caserne-Des-Pompiers,420.75606967741936,medium
Centre Communautaire De La Riviera,420.85893387096775,medium
Centre Communautaire De Limbour,420.8647819354839,medium
Centre Communautaire De Loisir Sherbrooke,420.6175870967742,medium
Centre Communautaire De Lucerne-Nord,420.8659035483871,medium
Centre Communautaire De Saint-Sacrement,420.84252193548383,medium
Centre Communautaire Des Chutes,420.85116161290324,medium
Centre Communautaire Des Chênes,420.75898870967745,medium
Centre Communautaire Des Hautes-Plaines,420.86175322580647,medium
Centre Communautaire Des Jeunes-De-Sainte-Rose,420.7688838709677,medium
Centre Communautaire Des Lacasse,420.768635483871,medium
Centre Communautaire Des Trembles,420.8538248387097,medium
Centre Communautaire Desjardins,420.8536974193549,medium
Centre Communautaire Docteur-Jean-Lorrain,420.8550541935484,medium
Centre Communautaire Du Chalet-Des-Érables,420.7736612903226,medium
Centre Communautaire Du Chalet-Municipal,420.7595512903226,medium
Centre Communautaire Du Chalet-Saint-Victor,420.7569025806452,medium
Centre Communautaire Du Plateau,420.8569108064516,medium
Centre Communautaire Du Saint-Gérard,420.8615587096774,medium
Centre Communautaire Duberger,420.8474603225806,medium
Centre Communautaire Dupuis,420.85241483870965,medium
Centre Communautaire Edgar-Chénier,420.85409612903226,medium
Centre Communautaire Elgar,420.72715709677425,medium
Centre Communautaire Elzéar-Turcotte,420.8475551612903,medium
Centre Communautaire Ernest-Lattion,420.85267193548384,medium
Centre Communautaire Eugène-Sauvageau,420.85715596774196,medium
Centre Communautaire Ferland,420.8477090322581,medium
Centre Communautaire Fernand-Dufour,420.8461738709678,medium
Centre Communautaire Fontaine,420.85173419354834,medium
Centre Communautaire Frank-Robinson,420.85264096774193,medium
Centre Communautaire Front,420.85533967741935,medium
Centre Communautaire Félix-Leclerc,420.7665780645161,medium
Centre Communautaire Groulx,420.7607841935484,medium
Centre Communautaire Gérard-Pezzani,420.8597916129032,medium
Centre Communautaire J.-B.-Lafrance,420.84696935483873,medium
Centre Communautaire Jean-Guy Drolet,420.8470896774194,medium
Centre Communautaire Jean-Paul-Campeau,420.75239548387094,medium
Centre Communautaire Jolibourg,420.7577703225806,medium
Centre Communautaire Kenneth-Lloyd,420.84879387096777,medium
Centre Communautaire Larocque,420.85373419354835,medium
Centre Communautaire Laurent-Groulx,420.85557967741937,medium
Centre Communautaire Laurent-Venne,420.7788774193548,medium
Centre Communautaire Laval-Des-Rapides,420.75272193548386,medium
Centre Communautaire Laval-Ouest,420.76191774193546,medium
Centre Communautaire Le 400,420.7560838709677,medium
Centre Communautaire Le Baron,420.86066645161293,medium
Centre Communautaire Le Sorbier,420.76934,medium
Centre Communautaire Lebourgneuf,420.8544341935484,medium
Centre Communautaire Les Saules,420.8492396774194,medium
Centre Communautaire Loretteville,420.859154516129,medium
Centre Communautaire Lucien-Borne,420.84281387096775,medium
Centre Communautaire Maison Des Jeunes L'Intégrale,420.86245967741934,medium
Centre Communautaire Marchand,420.8494038709677,medium
Centre Communautaire Mgr. Marcoux,420.84865838709675,medium
Centre Communautaire Michel-Labadie,420.8549006451613,medium
Centre Communautaire Montrougeau,420.7650470967742,medium
Centre Communautaire Mères Et Monde,420.84632645161287,medium
Centre Communautaire Nazareth,420.7369406451613,medium
Centre Communautaire Notre-Dame-De-Grâce,420.7344577419355,medium
