Facility_Name,CO2,Category
3 Bondaries Trails,418.93568400000004,medium
"Abénaquis, Parc Des",418.9176472,medium
"Adoncour, Parc",418.9231916,medium
"Adrien-Gamache, Parc",418.9185216,medium
"Alain-Forget, Parc",418.9047584,medium
"Alakazou, Parc",418.9115468,medium
"Albert-Beausoleil, Parc",418.90689480000003,medium
Altitude Gym,419.0463196,medium
"Amandiers, Parc Des",418.90635560000004,medium
Ambroise-Filion,418.958278,medium
Amédée-Meunier,418.949092,medium
"Anastase-Forget, Parc",418.9160116,medium
André-Joly,418.9584832,medium
Anima Lumina - Illuminated Night Walk At The Zoo Sauvage St-Felicien,419.34033239999997,medium
"Arcand, Jardin",418.91820160000003,medium
"Arcand, Parc",418.9184136,medium
"Armand-Bruno, Parc",418.91308080000005,medium
"Armand-Racicot, Parc",418.9207564,medium
Artisans,418.9535508,medium
Aréna 2 Glaces Val-Bélair,418.9941132,medium
Aréna Bardy,418.9798168,medium
Aréna Baribeau,419.0479002,medium
Aréna Beaudry,419.05477440000004,medium
Aréna Camillien-Houde,418.92237520000003,medium
Aréna Campeau,419.0450674,medium
Aréna Cholette,419.04744959999994,medium
Aréna Collège Bishop,418.793276,medium
Aréna De Grand-Mère,419.0350698,medium
Aréna Duberger,418.97994400000005,medium
Aréna Eugène-Lalonde,418.8022692,medium
Aréna Frank-Robinson,419.0447308,medium
Aréna Gaétan-Duchesne,418.9808204,medium
Aréna Gilles-Bourassa,419.02464119999996,medium
Aréna Ivan-Dugré,418.7998844,medium
Aréna Jane Et Eric Molson De L'Université Bishop'S,418.79210079999996,medium
Aréna Jean-Paul-Sabourin,419.0501132,medium
Aréna Michel-Labadie,418.98567799999995,medium
Aréna Mont-Sainte-Anne,418.7985932,medium
Aréna Patrick-Poulin,418.9774704,medium
Aréna Paul-Et-Isabelle-Duchesnay,419.0446854,medium
Aréna Philippe-Bergeron,418.8158876,medium
Aréna Réjean-Lemelin,418.98892679999994,medium
Aréna Stade-Pierre-Lafontaine,419.047768,medium
Aréna Émile-Bédard,419.0349086,medium
"Asselin, Parc",418.9178736,medium
Avenue Du Capitaine-Veilleux,419.0263744,medium
Aylmer Marina,419.0459476,medium
Badminton Castonguay,418.91144,medium
Bain Lévesque,418.9244812,medium
Bain Morgan,418.9261948,medium
Bain Quintal,418.9230904,medium
Bain Schubert,418.923042,medium
Bain St-Denis,418.92875160000006,medium
Bain Émard,418.9147208,medium
Balle-Molle Greenfield Park Ladies Softball League,418.9129084,medium
"Bariteau, Parc",418.9164876,medium
"Baronnie, Parc De La",418.9225568,medium
Base De Plein Air De Sainte-Foy,418.97788280000003,medium
Base De Plein Air La Découverte,418.99179680000003,medium
Basketball Mineur Les Lynx Saint-Hubert,418.91144,medium
Beachclub/Plage De Pointe-Calumet,418.94580800000006,medium
"Beaujolais, Parc",418.916904,medium
"Beauregard, Parc",418.91610399999996,medium
"Belcourt, Parc",418.9173368,medium
"Bellerive, Boisé",418.9215404,medium
"Bellerive, Parc",418.9215828,medium
Belvédère D'Almaville,419.0267044,medium
Belvédère Lambert,419.02598400000005,medium
Belvédère Van Bruyssel,419.02872279999997,medium
"Bernard-Hubert, Parc",418.9041112,medium
"Berthelet, Parc",418.9172504,medium
Bibliothèque Lisette-Morin,419.0585948,medium
Bibliothèque Pascale-Parent,419.0408992,medium
Blainville,418.96139600000004,medium
Bloc Shop Climbing Gym,418.9303024,medium
"Boisjoli, Parc",418.907304,medium
"Boismenu, Parc",418.916274,medium
"Boisvert, Parc",418.9073576,medium
Boisé Des Compagnons-De-Cartier,418.97349959999997,medium
"Bourgeoys, Parc",418.91817199999997,medium
"Bourget, Parc",418.907564,medium
"Brodeur, Parc",418.90723599999995,medium
Brome Lake Douglass Beach,418.8118584,medium
"Brébeuf, Parc-École",418.919052,medium
Buckingham Golf Club,419.04888520000003,medium
Bébégym - Centre Pas-À-Pas,418.9673072,medium
"Bédard, Parc",418.92027479999996,medium
"Calixa-Lavallée, Parc",418.9180224,medium
"Campbell, Parc",418.9056792,medium
Camping Plage Des Sources,418.8947784,medium
Camping Plage Laurentides,418.993782,medium
Camping Plage Paquet Inc,418.9278344,medium
Camping Plage Robertson,419.30816680000004,medium
Camping: Plage Belley,419.290122,medium
"Canon, Parc",418.9070748,medium
"Cantin, Parc",418.9186808,medium
"Capricorne, Parc",418.9155588,medium
"Carignan-Salières, Parc",418.8996192,medium
"Carillon, Parc",418.9201384,medium
Carrefour Accès Loisirs,418.7993136,medium
Carrefour Communautaire De Charlesbourg,418.9843768,medium
"Carrefour, Parc Du",418.9043312,medium
Casino De Charlevoix,419.0318696,medium
Casino De Mont-Tremblant,419.08870759999996,medium
Casino De Montréal,418.9181616,medium
Casino Du Lac-Leamy,419.0454284,medium
Casino Lac-Leamy Sound Of Light,419.0418972,medium
Catherine-Bousquet,418.954796,medium
"Catherine-Primot, Parc",418.9215164,medium
Cegep De Shawinigan,419.03173799999996,medium
"Central, Parc",418.919828,medium
Centre Aquatique Lucien-Houle,419.0472016,medium
Centre Aquatique Paul-Pelletier,419.04414560000004,medium
Centre Aquatique Rivières-Des-Prairies,418.9439196,medium
Centre Communautaire,418.96631,medium
Centre Communautaire Accès,418.94545120000004,medium
Centre Communautaire Amédée-Beaudoin,418.7935872,medium
Centre Communautaire André-Touchet,419.0408052,medium
Centre Communautaire Apollo,419.0483556,medium
Centre Communautaire Auteuil,418.9522672,medium
Centre Communautaire Belmont,419.0437252,medium
Centre Communautaire Bigras,418.9406988,medium
Centre Communautaire Bisson,419.04875119999997,medium
Centre Communautaire Boileau,418.95220200000006,medium
Centre Communautaire Bon-Pasteur,418.9937652,medium
Centre Communautaire Bourassa,418.98503400000004,medium
Centre Communautaire Champfleury,418.9461896,medium
Centre Communautaire Champigny,418.97868159999996,medium
Centre Communautaire Charles-Auguste-Savard,418.9889284,medium
Centre Communautaire Claude-Allard,418.97521639999997,medium
Centre Communautaire D'Anger,419.04301879999997,medium
Centre Communautaire D'Anjou,418.93591719999995,medium
Centre Communautaire Daniel-Johnson,419.0497936,medium
Centre Communautaire Daniel-Lafortune,419.04694040000004,medium
Centre Communautaire De Buckingham,419.04809520000003,medium
Centre Communautaire De Cap-Rouge,418.9722036,medium
Centre Communautaire De L'Est,418.93410279999995,medium
Centre Communautaire De L'Ex-Garage (C.P.A.L.),418.9423032,medium
Centre Communautaire De L'Ex-Garage-Municipal,418.9465156,medium
Centre Communautaire De L'Ex-Hôtel-De-Ville,418.9424192,medium
Centre Communautaire De La Canadienne,418.9408776,medium
Centre Communautaire De La Caserne-Des-Pompiers,418.9397528,medium
Centre Communautaire De La Riviera,419.0490692,medium
Centre Communautaire De Limbour,419.0542028,medium
Centre Communautaire De Loisir Sherbrooke,418.79998639999997,medium
Centre Communautaire De Lucerne-Nord,419.0567792,medium
Centre Communautaire De Saint-Sacrement,418.9745996,medium
Centre Communautaire Des Chutes,418.98027199999996,medium
Centre Communautaire Des Chênes,418.94296959999997,medium
Centre Communautaire Des Hautes-Plaines,419.0519336,medium
Centre Communautaire Des Jeunes-De-Sainte-Rose,418.9502568,medium
Centre Communautaire Des Lacasse,418.949496,medium
Centre Communautaire Des Trembles,419.04504000000003,medium
Centre Communautaire Desjardins,419.0444228,medium
Centre Communautaire Docteur-Jean-Lorrain,419.04434560000004,medium
Centre Communautaire Du Chalet-Des-Érables,418.9540788,medium
Centre Communautaire Du Chalet-Municipal,418.9409876,medium
Centre Communautaire Du Chalet-Saint-Victor,418.9388736,medium
Centre Communautaire Du Plateau,419.01717579999996,medium
Centre Communautaire Du Saint-Gérard,418.992096,medium
Centre Communautaire Duberger,418.979044,medium
Centre Communautaire Dupuis,419.043322,medium
Centre Communautaire Edgar-Chénier,419.044764,medium
Centre Communautaire Elgar,418.9119668,medium
Centre Communautaire Elzéar-Turcotte,418.9791128,medium
Centre Communautaire Ernest-Lattion,419.0448008,medium
Centre Communautaire Eugène-Sauvageau,419.04769480000004,medium
Centre Communautaire Ferland,418.9783752,medium
Centre Communautaire Fernand-Dufour,418.97762320000004,medium
Centre Communautaire Fontaine,419.0427024,medium
Centre Communautaire Frank-Robinson,419.0447584,medium
Centre Communautaire Front,419.0472508,medium
Centre Communautaire Félix-Leclerc,418.9457264,medium
Centre Communautaire Groulx,418.9419044,medium
Centre Communautaire Gérard-Pezzani,419.04981200000003,medium
Centre Communautaire J.-B.-Lafrance,418.97887799999995,medium
Centre Communautaire Jean-Guy Drolet,418.97797160000005,medium
Centre Communautaire Jean-Paul-Campeau,418.9357812,medium
