Facility_Name,CO2,Category
3 Bondaries Trails,419.8437775,medium
"Abénaquis, Parc Des",420.10086,medium
"Adoncour, Parc",420.1024125,medium
"Adrien-Gamache, Parc",420.1020775,medium
"Alain-Forget, Parc",420.1008525,medium
"Alakazou, Parc",420.1014325,medium
"Albert-Beausoleil, Parc",420.09957,medium
Altitude Gym,420.2171875,medium
"Amandiers, Parc Des",420.1007925,medium
Ambroise-Filion,420.1164175,medium
Amédée-Meunier,420.09847,medium
"Anastase-Forget, Parc",420.1028225,medium
André-Joly,420.11685,medium
Anima Lumina - Illuminated Night Walk At The Zoo Sauvage St-Felicien,419.9928525,medium
"Arcand, Jardin",420.1005725,medium
"Arcand, Parc",420.1007,medium
"Armand-Bruno, Parc",420.1022775,medium
"Armand-Racicot, Parc",420.10369000000003,medium
Artisans,420.09749750000003,medium
Aréna 2 Glaces Val-Bélair,419.97374,medium
Aréna Bardy,419.9642875,medium
Aréna Baribeau,420.21173,medium
Aréna Beaudry,420.21721375,medium
Aréna Camillien-Houde,420.106925,medium
Aréna Campeau,420.2089725,medium
Aréna Cholette,420.21788749999996,medium
Aréna Collège Bishop,420.02394,medium
Aréna De Grand-Mère,420.04211625,medium
Aréna Duberger,419.9683475,medium
Aréna Eugène-Lalonde,420.0252,medium
Aréna Frank-Robinson,420.2235025,medium
Aréna Gaétan-Duchesne,419.9700575,medium
Aréna Gilles-Bourassa,420.047265,medium
Aréna Ivan-Dugré,420.0268725,medium
Aréna Jane Et Eric Molson De L'Université Bishop'S,420.024165,medium
Aréna Jean-Paul-Sabourin,420.21703249999996,medium
Aréna Michel-Labadie,419.9706975,medium
Aréna Mont-Sainte-Anne,420.02855999999997,medium
Aréna Patrick-Poulin,419.96646,medium
Aréna Paul-Et-Isabelle-Duchesnay,420.22353375,medium
Aréna Philippe-Bergeron,420.0274875,medium
Aréna Réjean-Lemelin,419.96563000000003,medium
Aréna Stade-Pierre-Lafontaine,420.21477,medium
Aréna Émile-Bédard,420.0401225,medium
"Asselin, Parc",420.1007925,medium
Avenue Du Capitaine-Veilleux,420.04688999999996,medium
Aylmer Marina,420.22412,medium
Badminton Castonguay,420.10033250000004,medium
Bain Lévesque,420.10772000000003,medium
Bain Morgan,420.105195,medium
Bain Quintal,420.1062225,medium
Bain Schubert,420.1079425,medium
Bain St-Denis,420.10913,medium
Bain Émard,420.10962,medium
Balle-Molle Greenfield Park Ladies Softball League,420.1035025,medium
"Bariteau, Parc",420.1039475,medium
"Baronnie, Parc De La",420.103935,medium
Base De Plein Air De Sainte-Foy,419.9713675,medium
Base De Plein Air La Découverte,419.976125,medium
Basketball Mineur Les Lynx Saint-Hubert,420.10033250000004,medium
Beachclub/Plage De Pointe-Calumet,420.12814000000003,medium
"Beaujolais, Parc",420.1008525,medium
"Beauregard, Parc",420.10360000000003,medium
"Belcourt, Parc",420.10101,medium
"Bellerive, Boisé",420.1024125,medium
"Bellerive, Parc",420.102815,medium
Belvédère D'Almaville,420.0471425,medium
Belvédère Lambert,420.04699,medium
Belvédère Van Bruyssel,420.0469675,medium
