Facility_Name,CO2,Category
(17Th Street),419.67494419354836,medium
(Bolstad),419.71769451612903,medium
(Boykowich),419.7144606451613,medium
(Fast),419.71632870967744,medium
(Fortosky),419.6561987096774,medium
(Kenaschuk),419.71887225806455,medium
(Underhill),419.7133983870968,medium
108Th,419.6975106451613,medium
115Th,419.70625799007445,medium
11Th,419.66477267741936,medium
14Th,419.69367510436433,medium
18Th,419.66696193548387,medium
19Th,419.6813932795699,medium
1St Avenue Park,420.0304516129032,medium
20Th,419.6678296774193,medium
21St,419.669204516129,medium
22Nd,419.6626296156486,medium
24Th,419.682175483871,medium
25Th,419.6818683870968,medium
29Th,419.670349139785,medium
2Nd,419.6802855913979,medium
33Rd,419.67457394470046,medium
37Th,419.6730417741935,medium
3Rd Avenue Park,420.03153387096773,medium
45Th,419.6854454838709,medium
51St,419.6902278962132,medium
5Th,419.6851709677419,medium
8Th,419.6983812080962,medium
9Th,419.6894308064516,medium
A Mcdonald,419.66956288530463,medium
A.C.T. Ball Park,420.03533903225804,medium
A.E. Wilson Park East,420.0266267741936,medium
A.E. Wilson Park West,420.02395483870964,medium
Aberdeen Park,420.02928225806454,medium
Academy Park,420.0383119354839,medium
Acadia,419.6987235483871,medium
Achs,419.6770466666667,medium
Act Arena,419.70042516129035,medium
Adams,419.70642797235024,medium
Adaskin,419.7070708064516,medium
Addie,419.7057253225807,medium
Adelaide,419.68452051233396,medium
Adelaide - Ball Field #1,419.6841061290323,medium
Adilman,419.70325112903225,medium
Adolph,419.69932535483866,medium
Ae Adams,419.7036947311828,medium
Agriplace,419.68736548387096,medium
Ah Browne,419.6821521836228,medium
Ah Browne - Ball Field #1,419.6819303225806,medium
Ah Browne - Ball Field #2,419.6818803225807,medium
Ah Browne - Basketball Court #1,419.6821806451613,medium
Ah Browne - Basketball Court #2,419.68220483870965,medium
Ah Browne - Soccer #3,419.68187548387095,medium
Airport,419.6806583387097,medium
Al Anderson,419.6715463082437,medium
Al Anderson Ball Field #1,419.6718748387097,medium
Al Anderson Soccer Field #2,419.67099548387097,medium
Al Anderson Soccer Field #3,419.6723629032258,medium
Al Pickard Park,420.0304990322581,medium
Albany,419.6938308064516,medium
Albert,419.6857220483871,medium
Albert - Tennis Court #1,419.68570903225805,medium
Albert - Tennis Court #2,419.68576354838706,medium
Albert Milne,419.6954416129032,medium
Albert Oulton,419.6888893548387,medium
Albert Rec Unit,419.68550258064516,medium
Albert Recreational Unit,419.685454516129,medium
Albert Recreational Unit - Basketball Court #1,419.6854132258065,medium
