Facility_Name,CO2,Category
(17Th Street),422.2436110714286,high
(Bolstad),422.2512253571429,high
(Boykowich),422.24976642857143,high
(Fast),422.2510882142857,high
(Fortosky),422.2433410714286,high
(Kenaschuk),422.25179392857143,high
(Underhill),422.24467,high
108Th,422.24594892857147,high
115Th,422.24697016483515,high
11Th,422.24247614285713,high
14Th,422.2440769327731,high
18Th,422.24343857142856,high
19Th,422.24404023809524,high
1St Avenue Park,422.1061382142857,high
20Th,422.2441857142857,high
21St,422.24434142857143,high
22Nd,422.2442677279635,high
24Th,422.24511892857146,high
25Th,422.24524285714284,high
29Th,422.24537940476193,high
2Nd,422.2438885714286,high
33Rd,422.2464429285714,high
37Th,422.24709696428573,high
3Rd Avenue Park,422.10601428571425,high
45Th,422.24901142857146,high
51St,422.2501894099379,high
5Th,422.24540964285717,high
8Th,422.2434341806723,high
9Th,422.24739,high
A Mcdonald,422.2459285615079,high
A.C.T. Ball Park,422.1068375,high
A.E. Wilson Park East,422.1050314285714,high
A.E. Wilson Park West,422.1052792857143,high
Aberdeen Park,422.10605035714286,high
Academy Park,422.1014685714286,high
Acadia,422.24443357142854,high
Achs,422.2413651190476,high
Act Arena,422.245535,high
Adams,422.24142132653066,high
Adaskin,422.2457792857143,high
Addie,422.2466442857143,high
Adelaide,422.2407187815126,high
Adelaide - Ball Field #1,422.24064,high
Adilman,422.25221672619045,high
Adolph,422.2473383571429,high
Ae Adams,422.25128226190475,high
Agriplace,422.25240464285713,high
Ah Browne,422.24731005494505,high
Ah Browne - Ball Field #1,422.24730785714286,high
Ah Browne - Ball Field #2,422.2473435714286,high
Ah Browne - Basketball Court #1,422.24726892857143,high
Ah Browne - Basketball Court #2,422.2472892857143,high
Ah Browne - Soccer #3,422.2473164285715,high
Airport,422.2485420535714,high
Al Anderson,422.2475244444444,high
Al Anderson Ball Field #1,422.24758785714283,high
Al Anderson Soccer Field #2,422.2475182142857,high
Al Anderson Soccer Field #3,422.2475585714286,high
Al Pickard Park,422.10746821428575,high
Albany,422.2491051785714,high
Albert,422.24356610714284,high
Albert - Tennis Court #1,422.24357000000003,high
Albert - Tennis Court #2,422.24357142857144,high
Albert Milne,422.24369152380956,high
Albert Oulton,422.24374857142857,high
Albert Rec Unit,422.24371446428574,high
Albert Recreational Unit,422.2437203571429,high
Albert Recreational Unit - Basketball Court #1,422.2436942857143,high
Albert Recreational Unit - Basketball Court #2,422.2437092857143,high
Alexander Macgillivray Young,422.23894468146716,high
Alfred Bence,422.2393978571428,high
Allegretto,422.25069666666667,high
Alport Park,422.1095753571429,high
Am Young Ball Field #1,422.23897714285715,high
Am Young Soccer Field #2,422.2389639285714,high
Andrew Macdougall,422.2458567857143,high
Angus Road Park,422.1081414285714,high
Anita Langford,422.2473408035714,high
Anna Mcintosh,422.2455548469388,high
Anna Mcintosh - Ball Field #1,422.2454742857143,high
Arbor Creek,422.2458471146617,high
Arbor Creek - Ball Field #1,422.2456478571429,high
Arbor Creek - Basketball Court #1,422.2457378571429,high
Arbor Creek - Basketball Court #2,422.24575642857144,high
Arbor Creek - Soccer #2,422.2457460714286,high
Arbor Creek Linear,422.2458542857143,high
Arbor Grove Park,422.10404,high
Arboretum Park,422.10655071428573,high
Archibald Arena,422.2472917857143,high
Archibald Mcdonald,422.2459582142857,high
Archibald Mcdonald - Ball Field #1,422.2459067857143,high
Archibald Mcdonald - Ball Field #2,422.24598321428573,high
Archibald Mcdonald - Ball Field #3,422.24609428571426,high
Archibald Mcdonald - Ball Field #4,422.2460835714286,high
Archibald Mcdonald - Basketball Court #1,422.2457671428571,high
Archibald Mcdonald - Basketball Court #2,422.2457832142857,high
Arlington,422.2429491666667,high
Arlington Park,422.10024642857144,high
Arrand,422.243285,high
Arthur Park,422.10688892857144,high
As Wright,422.24128357142854,high
As Wright - Ball Field #1,422.24127107142857,high
As Wright - Ball Field #2,422.2413567857143,high
As Wright - Ball Field #3,422.2412660714286,high
As Wright - Ball Field #4,422.2412017857143,high
Ashworth Holmes,422.2459958333334,high
Ashworth Holmes - Basketball Court #1,422.2460607142857,high
Ashworth Holmes - Basketball Court #2,422.24606,high
Ashworth Holmes - Green #1,422.2459275,high
Ashworth Holmes - Green #2,422.2459328571428,high
Ashworth Holmes - Soccer Field #1,422.2459057142857,high
Ashworth Holmes - Tennis Court #,422.24604142857146,high
Assiniboine,422.2491715,high
Assiniboine Park,422.1026657142857,high
Atchison Field,422.24235214285716,high
Atlantic,422.2446338492063,high
Atlantic - Soccer #1,422.24459892857146,high
Atlantic - Soccer #2,422.2444721428571,high
Attridge,422.2474096511628,high
Avalon,422.2402811607143,high
Avalon - Basketball Court #1,422.2403057142857,high
Avalon - Basketball Court #2,422.24029642857147,high
Baker,422.24633857142857,high
Baker Park,422.1065328571429,high
Balfour,422.2436771428571,high
Ball,422.2517279285714,high
Balsam,422.2472292857143,high
Barber,422.2429553571429,high
Barr,422.24337428571425,high
Bastedo Park,422.1063364285714,high
Bate,422.24386714285714,high
Bateman,422.2435226785714,high
Batoche,422.24317035714284,high
Bayfield,422.24333125000004,high
Bayview,422.24339607142855,high
Beacon Park,422.10003928571433,high
Beckett,422.2456057142857,high
Beckett Green,422.24546071428574,high
Beechdale,422.24242964285713,high
Beechmont,422.242966,high
Beerling,422.24931571428573,high
Bell,422.2407407142858,high
Bellmont,422.2421832142857,high
Benesh,422.25198928571433,high
Benson Park,422.1053164285714,high
Berini,422.24648214285713,high
Bev M Dyck,422.2448742857143,high
Bicycles Allowed On Sidewalks,422.1051341666667,high
Birchwood Park,422.10071964285714,high
Bishop James P Mahoney,422.25002428571423,high
Bishop James P Mahoney - Ball Field #1,422.24993107142853,high
Bishop James P Mahoney - Soccer #2,422.25007642857145,high
Bishop James P Mahoney - Soccer #3,422.25007142857146,high
Bitz,422.24113821428574,high
Blackburn,422.2425125,high
Blackley,422.2430528571428,high
Blackshire,422.2427267857143,high
Blackthorn,422.2426778571429,high
Blair Nelson,422.2386110714286,high
Bloos Park,422.1096075,high
Blue,422.2438783928572,high
Bonli,422.24685892857144,high
Borden,422.2456489285714,high
Borland,422.24301071428573,high
Bothwell Park,422.1093135714286,high
Boughton - Ball Field #1,422.24191214285713,high
Boughton - Ball Field #2,422.24191357142854,high
Boughton Park,422.24198892857146,high
Boychuk,422.2418574945887,high
Braeburn,422.2434173214286,high
Braeshire,422.2430625,high
Braithwaite,422.2459717857143,high
Brevoort,422.2426644196429,high
Brevoort North - Ball Field #1,422.24267607142855,high
Brevoort North - Soccer #2,422.2425657142857,high
Brevoort Park North,422.2426632142857,high
Brevoort Park South,422.24236964285717,high
Brevoort South - Green #3,422.2423585714286,high
Briarvale,422.24271857142855,high
Briarwood,422.2429122779923,high
Briarwood - Ball Field #1,422.24291464285716,high
Briarwood - Basketball Court #1,422.2430464285714,high
Briarwood - Basketball Court #2,422.2430428571429,high
Briarwood - Soccer #2,422.2429617857143,high
Briarwood Lake,422.243182375,high
Briarwood Lake - Basketball Court #1,422.2433392857143,high
Briarwood Linear,422.24287565934065,high
Briarwood Swale,422.2427944285714,high
Brighton,422.2456060119047,high
Brightsand,422.24063845238095,high
Brinkworth Park,422.10415142857147,high
Broadbent,422.252045,high
Broadway,422.24402999999995,high
Bronson,422.2404617857143,high
Brookhurst,422.24266821428574,high
Brookshire,422.2425128571428,high
Brudell,422.24192535714286,high
Bruton Park,422.10751535714286,high
Buckwold,422.2451494642857,high
Budz,422.24622535714286,high
Budz Green,422.2462347142857,high
Buena Vista,422.24267025510204,high
Buena Vista - Basketball Court #1,422.24269035714286,high
Buena Vista - Basketball Court #2,422.24269071428574,high
Bundon Park,422.106205,high
Bushe,422.24330714285713,high
Button Park,422.10674392857146,high
C,422.24897907738097,high
C Jack Mackenzie,422.24737749999997,high
Caen Park,422.10303500000003,high
Cahill,422.2441865816327,high
Cahill - Ball Field #1,422.24421785714287,high
Caldwell,422.24316142857145,high
Cambridge,422.24450642857147,high
Cameron Park,422.10134071428575,high
Campus,422.2452219642857,high
Candle,422.2507090178571,high
Cannam,422.25011750000004,high
Cannon Street Park,422.1070982142857,high
Canon Smith,422.24204066326536,high
Canon Smith - Ball Field #1,422.24204607142855,high
Canon Smith - Basketball Court #1,422.24213357142855,high
Canuck Park,422.10145642857145,high
Capilano,422.24906964285714,high
Carey Park,422.1071625,high
Carleton,422.24480964285715,high
Carlton Park,422.1048535714286,high
Carr,422.24956607142855,high
Cartwright,422.2385288130252,high
Cassino,422.2414333928572,high
Caswell Hill,422.2460357142857,high
Cathy Lauritsen Memorial Off-Leash Dog Park,422.10401178571425,high
Cecil A Wheaton,422.2391304591836,high
Central,422.2475664972527,high
Central Park,422.10454250000004,high
Cf Patterson,422.2465192857143,high
Cf Patterson North,422.2466725,high
Champlin,422.24361392857145,high
Chan,422.25128785714287,high
Channel Head Park,422.1076567857143,high
Charlebois,422.25069630952385,high
Charlottetown,422.24514714285715,high
Charlottetown Park,422.24509857142857,high
Chief Darcy Bear,422.2435028571428,high
Chief Whitecap,422.2363992857143,high
Chitek,422.2505282142857,high
Chotem,422.2459317857143,high
Christine Morris,422.2482582936508,high
Christopher,422.2414392857143,high
Church Park,422.10738499999997,high
Church/Blackman Park,422.1073717857143,high
Churchill,422.2426465789474,high
Churchill - Soccer #1,422.2410117857143,high
Circle,422.24529284798535,high
City Hall Square,422.24490678571425,high
Clancy,422.2434325,high
Clarence,422.23971488721804,high
Clarence Downey Speedskating Oval,422.2422882142857,high
Claude Petit,422.2464314285714,high
Claypool,422.2480844047619,high
Clearwater,422.24944,high
Clermont Park,422.1067107142857,high
Coben,422.2485339285714,high
Cochin,422.25003654761906,high
Cockburn,422.2447767857143,high
Coldspring,422.24176750000004,high
Cole,422.24699999999996,high
Coleman Park,422.10623035714286,high
College,422.2454832142857,high
College Park,422.2442492857143,high
Collins,422.24608,high
Columbia,422.24857000000003,high
Columbus Park,422.1030310714286,high
