Facility_Name,CO2,Category
(17Th Street),421.7718467741936,medium
(Bolstad),421.78682774193544,medium
(Boykowich),421.78513096774196,medium
(Fast),421.7864180645161,medium
(Fortosky),421.7673290322581,medium
(Kenaschuk),421.7874622580645,medium
(Underhill),421.7815493548387,medium
108Th,421.7786767741935,medium
115Th,421.7814000496278,medium
11Th,421.7687526129032,medium
14Th,421.7765626185958,medium
18Th,421.7698777419355,medium
19Th,421.7736389247312,medium
1St Avenue Park,421.7152848387097,medium
20Th,421.7705635483871,medium
21St,421.7709848387097,medium
22Nd,421.7694158270418,medium
24Th,421.7745177419355,medium
25Th,421.77452290322583,medium
29Th,421.7719217204301,medium
2Nd,421.77328301075266,medium
33Rd,421.77360356682027,medium
37Th,421.77365677419357,medium
3Rd Avenue Park,421.7153548387097,medium
45Th,421.7777870967742,medium
51St,421.7796627068724,medium
5Th,421.7754125806452,medium
8Th,421.7772297975964,medium
9Th,421.77768725806453,medium
A Mcdonald,421.7720935394265,medium
A.C.T. Ball Park,421.7169829032258,medium
A.E. Wilson Park East,421.71333903225803,medium
A.E. Wilson Park West,421.71309096774195,medium
Aberdeen Park,421.71495870967743,medium
Academy Park,421.7117461290323,medium
Acadia,421.77797774193544,medium
Achs,421.7708952688172,medium
Act Arena,421.7790951612903,medium
Adams,421.77778465437785,medium
Adaskin,421.7808153225807,medium
Addie,421.7810637096774,medium
Adelaide,421.7722016508539,medium
Adelaide - Ball Field #1,421.77205354838713,medium
Adilman,421.78402053763443,medium
Adolph,421.7799943548387,medium
Ae Adams,421.7835423655914,medium
Agriplace,421.7803774193548,medium
Ah Browne,421.77591610421837,medium
Ah Browne - Ball Field #1,421.7758625806452,medium
Ah Browne - Ball Field #2,421.775874516129,medium
Ah Browne - Basketball Court #1,421.77589677419354,medium
Ah Browne - Basketball Court #2,421.77591096774194,medium
Ah Browne - Soccer #3,421.7758574193548,medium
Airport,421.77636419354843,medium
Al Anderson,421.7735863082437,medium
Al Anderson Ball Field #1,421.77370548387097,medium
Al Anderson Soccer Field #2,421.7734570967742,medium
Al Anderson Soccer Field #3,421.7737993548387,medium
Al Pickard Park,421.71673193548384,medium
Albany,421.77982806451615,medium
Albert,421.7743620483871,medium
