Facility_Name,CO2,Category
(17Th Street),422.38580759999996,high
(Bolstad),422.39942840000003,high
(Boykowich),422.3956336,high
(Fast),422.39933279999997,high
(Fortosky),422.3897556,high
(Kenaschuk),422.40094960000005,high
(Underhill),422.379564,high
108Th,422.3877188,high
115Th,422.3888273230769,high
11Th,422.38482384,high
14Th,422.3827205647059,high
18Th,422.38731440000004,high
19Th,422.3855704666667,high
1St Avenue Park,421.7927988,medium
20Th,422.3894552,high
21St,422.3895884,high
22Nd,422.3910414893617,high
24Th,422.3887648,high
25Th,422.3892348,high
29Th,422.3925773333333,high
2Nd,422.385358,high
33Rd,422.39489894857144,high
37Th,422.39731639999997,high
3Rd Avenue Park,421.7920568,medium
45Th,422.40018280000004,high
51St,422.4027476,high
5Th,422.3889664,high
8Th,422.37940756078433,high
9Th,422.3941546,high
A Mcdonald,422.3945158,high
A.C.T. Ball Park,421.79276680000004,medium
A.E. Wilson Park East,421.791342,medium
A.E. Wilson Park West,421.7929876,medium
Aberdeen Park,421.793008,medium
Academy Park,421.77759960000003,medium
Acadia,422.38260479999997,high
Achs,422.3781946666667,high
Act Arena,422.38570760000005,high
Adams,422.3707778857143,high
Adaskin,422.38482880000004,high
Addie,422.3879266,high
Adelaide,422.3741584235294,high
Adelaide - Ball Field #1,422.3740132,high
Adilman,422.40603066666665,high
Adolph,422.39163368,high
Ae Adams,422.4029676,high
Agriplace,422.4105272,high
Ah Browne,422.3956506461538,high
Ah Browne - Ball Field #1,422.3956972,high
Ah Browne - Ball Field #2,422.3958152,high
Ah Browne - Basketball Court #1,422.3955072,high
Ah Browne - Basketball Court #2,422.39556120000003,high
Ah Browne - Soccer #3,422.3957412,high
Airport,422.399922,high
Al Anderson,422.39905155555556,high
Al Anderson Ball Field #1,422.3991684,high
Al Anderson Soccer Field #2,422.399182,high
Al Anderson Soccer Field #3,422.398954,high
Al Pickard Park,421.796244,medium
Albany,422.39848140000004,high
Albert,422.38305134,high
Albert - Tennis Court #1,422.3830752,high
Albert - Tennis Court #2,422.3830636,high
Albert Milne,422.38102757333337,high
Albert Oulton,422.38286200000005,high
Albert Rec Unit,422.3835784,high
Albert Recreational Unit,422.3835976,high
Albert Recreational Unit - Basketball Court #1,422.3835272,high
Albert Recreational Unit - Basketball Court #2,422.3835868,high
Alexander Macgillivray Young,422.36801145945947,high
Alfred Bence,422.3693344,high
Allegretto,422.40290146666666,high
Alport Park,421.7963732,medium
Am Young Ball Field #1,422.3681588,high
Am Young Soccer Field #2,422.3680104,high
Andrew Macdougall,422.3972512,high
Angus Road Park,421.7946308,medium
Anita Langford,422.398947825,high
Anna Mcintosh,422.3859546285715,high
Anna Mcintosh - Ball Field #1,422.3857712,high
Arbor Creek,422.38464055263154,high
Arbor Creek - Ball Field #1,422.3841048,high
Arbor Creek - Basketball Court #1,422.3844276,high
Arbor Creek - Basketball Court #2,422.38444239999995,high
Arbor Creek - Soccer #2,422.3842812,high
Arbor Creek Linear,422.3847576,high
Arbor Grove Park,421.77722439999997,medium
Arboretum Park,421.789146,medium
Archibald Arena,422.3934204,high
Archibald Mcdonald,422.394602,high
Archibald Mcdonald - Ball Field #1,422.3944,high
Archibald Mcdonald - Ball Field #2,422.39462679999997,high
Archibald Mcdonald - Ball Field #3,422.3949464,high
Archibald Mcdonald - Ball Field #4,422.39502,high
Archibald Mcdonald - Basketball Court #1,422.39403639999995,high
Archibald Mcdonald - Basketball Court #2,422.3940728,high
Arlington,422.37892293333334,high
Arlington Park,421.77660280000003,medium
Arrand,422.389208,high
Arthur Park,421.7943516,medium
As Wright,422.3744412,high
As Wright - Ball Field #1,422.3743672,high
As Wright - Ball Field #2,422.3746904,high
As Wright - Ball Field #3,422.37440799999996,high
As Wright - Ball Field #4,422.374228,high
Ashworth Holmes,422.391953,high
Ashworth Holmes - Basketball Court #1,422.392074,high
Ashworth Holmes - Basketball Court #2,422.3920884,high
Ashworth Holmes - Green #1,422.3917836,high
Ashworth Holmes - Green #2,422.39174160000005,high
Ashworth Holmes - Soccer Field #1,422.3917124,high
Ashworth Holmes - Tennis Court #,422.39201959999997,high
Assiniboine,422.398028,high
Assiniboine Park,421.7818052,medium
Atchison Field,422.38141199999995,high
Atlantic,422.3916781777778,high
Atlantic - Soccer #1,422.3915112,high
Atlantic - Soccer #2,422.3910944,high
Attridge,422.3901291348837,high
Avalon,422.37399956,high
Avalon - Basketball Court #1,422.373982,high
Avalon - Basketball Court #2,422.37397599999997,high
Baker,422.3873436,high
Baker Park,421.7983308,medium
Balfour,422.3798452,high
Ball,422.40446704000004,high
Balsam,422.39058239999997,high
Barber,422.38719613333336,high
Barr,422.38808559999995,high
Bastedo Park,421.79482920000004,medium
Bate,422.38261400000005,high
Bateman,422.38088280000005,high
Batoche,422.389112,high
Bayfield,422.37677940000003,high
Bayview,422.37711199999995,high
Beacon Park,421.7786496,medium
Beckett,422.3846768,high
Beckett Green,422.3841752,high
Beechdale,422.3738868,high
Beechmont,422.37539264,high
Beerling,422.39647080000003,high
Bell,422.37336280000005,high
Bellmont,422.3737848,high
Benesh,422.405781,high
Benson Park,421.79019480000005,medium
Berini,422.3873804,high
Bev M Dyck,422.3941608,high
Bicycles Allowed On Sidewalks,421.78132446666666,medium
Birchwood Park,421.7755672,medium
Bishop James P Mahoney,422.40065519999996,high
Bishop James P Mahoney - Ball Field #1,422.40036440000006,high
Bishop James P Mahoney - Soccer #2,422.400754,high
Bishop James P Mahoney - Soccer #3,422.400814,high
Bitz,422.3700790666667,high
Blackburn,422.3750851,high
Blackley,422.388905,high
Blackshire,422.37573000000003,high
Blackthorn,422.3756622,high
Blair Nelson,422.3667936,high
Bloos Park,421.8016528,medium
Blue,422.3901586,high
Bonli,422.38794,high
Borden,422.39443400000005,high
Borland,422.3888088,high
Bothwell Park,421.7955184,medium
Boughton - Ball Field #1,422.3813404,high
Boughton - Ball Field #2,422.38130040000004,high
Boughton Park,422.38157359999997,high
Boychuk,422.37326036363635,high
Braeburn,422.37795680000005,high
Braeshire,422.37649946666664,high
Braithwaite,422.39676119999996,high
Brevoort,422.3783408125,high
Brevoort North - Ball Field #1,422.378452,high
Brevoort North - Soccer #2,422.37819279999997,high
Brevoort Park North,422.37834000000004,high
Brevoort Park South,422.3777224,high
Brevoort South - Green #3,422.3776956,high
Briarvale,422.3755526,high
Briarwood,422.37585052972975,high
Briarwood - Ball Field #1,422.3757848,high
Briarwood - Basketball Court #1,422.37627399999997,high
Briarwood - Basketball Court #2,422.3762328,high
Briarwood - Soccer #2,422.37602319999996,high
Briarwood Lake,422.37671980000005,high
Briarwood Lake - Basketball Court #1,422.3771488,high
Briarwood Linear,422.3754417538462,high
Briarwood Swale,422.37490399999996,high
Brighton,422.38286066666666,high
Brightsand,422.37049106666666,high
Brinkworth Park,421.7872768,medium
Broadbent,422.4058766,high
Broadway,422.3853596,high
Bronson,422.3696644,high
Brookhurst,422.3751278,high
Brookshire,422.37476840000005,high
Brudell,422.3736144,high
Bruton Park,421.79820240000004,medium
Buckwold,422.3829702,high
Budz,422.3852058,high
Budz Green,422.3852057866667,high
Buena Vista,422.38162165714283,high
Buena Vista - Basketball Court #1,422.3816176,high
Buena Vista - Basketball Court #2,422.38163119999996,high
Bundon Park,421.7965232,medium
Bushe,422.38795960000004,high
Button Park,421.7954196,medium
C,422.4003047666667,high
C Jack Mackenzie,422.3974576,high
Caen Park,421.783974,medium
Cahill,422.38886091428566,high
Cahill - Ball Field #1,422.3889236,high
Caldwell,422.38902232,high
Cambridge,422.38285179999997,high
Cameron Park,421.7789112,medium
Campus,422.3872902,high
Candle,422.401338,high
Cannam,422.3978752,high
Cannon Street Park,421.78610119999996,medium
