Facility_Name,CO2,Category
(17Th Street),418.18281249999995,low
(Bolstad),418.233315,low
(Boykowich),418.2288875,low
(Fast),418.2317875,low
(Fortosky),418.16298,low
(Kenaschuk),418.23492999999996,low
(Underhill),418.2240725,low
108Th,418.20829000000003,low
115Th,418.2182448076923,low
11Th,418.171317,low
14Th,418.2029052941176,low
18Th,418.17429500000003,low
19Th,418.18991624999995,low
1St Avenue Park,418.3624575,low
20Th,418.17573500000003,low
21St,418.1772925,low
22Nd,418.17036313829783,low
24Th,418.19151,low
25Th,418.19127000000003,low
29Th,418.1792391666667,low
2Nd,418.18863333333337,low
33Rd,418.18446350000005,low
37Th,418.18329375,low
3Rd Avenue Park,418.3633575,low
45Th,418.19771000000003,low
51St,418.2035606521739,low
5Th,418.1948725,low
8Th,418.20738156862745,low
9Th,418.20076875,low
A Mcdonald,418.17880152777775,low
A.C.T. Ball Park,418.369,low
A.E. Wilson Park East,418.3562425,low
A.E. Wilson Park West,418.3538875,low
Aberdeen Park,418.361035,low
Academy Park,418.36179500000003,low
Acadia,418.208485,low
Achs,418.18342666666666,low
Act Arena,418.2110725,low
Adams,418.21436464285716,low
Adaskin,418.21824625,low
Addie,418.21745375,low
Adelaide,418.19081147058824,low
Adelaide - Ball Field #1,418.1903225,low
Adilman,418.21866374999996,low
Adolph,418.21118775,low
Ae Adams,418.21852916666666,low
Agriplace,418.201975,low
Ah Browne,418.19302961538466,low
Ah Browne - Ball Field #1,418.1927925,low
Ah Browne - Ball Field #2,418.1927625,low
Ah Browne - Basketball Court #1,418.19303,low
Ah Browne - Basketball Court #2,418.1930725,low
Ah Browne - Soccer #3,418.19274,low
Airport,418.19233787499996,low
Al Anderson,418.1820259027778,low
Al Anderson Ball Field #1,418.18242,low
Al Anderson Soccer Field #2,418.1814425,low
Al Anderson Soccer Field #3,418.1829025,low
Al Pickard Park,418.365065,low
Albany,418.2066375,low
Albert,418.19415437500004,low
Albert - Tennis Court #1,418.194135,low
Albert - Tennis Court #2,418.1942,low
Albert Milne,418.2044823333334,low
Albert Oulton,418.1976175,low
Albert Rec Unit,418.1940275,low
Albert Recreational Unit,418.193975,low
Albert Recreational Unit - Basketball Court #1,418.193915,low
Albert Recreational Unit - Basketball Court #2,418.19394750000004,low
Alexander Macgillivray Young,418.19104648648647,low
Alfred Bence,418.191995,low
Allegretto,418.2102466666667,low
Alport Park,418.384285,low
Am Young Ball Field #1,418.1908725,low
Am Young Soccer Field #2,418.1913625,low
Andrew Macdougall,418.1666725,low
Angus Road Park,418.37582999999995,low
Anita Langford,418.17993421875,low
Anna Mcintosh,418.21030071428567,low
Anna Mcintosh - Ball Field #1,418.209975,low
Arbor Creek,418.21996615131576,low
Arbor Creek - Ball Field #1,418.2194025,low
Arbor Creek - Basketball Court #1,418.219375,low
Arbor Creek - Basketball Court #2,418.2194675,low
Arbor Creek - Soccer #2,418.2200425,low
Arbor Creek Linear,418.219615,low
Arbor Grove Park,418.38637500000004,low
Arboretum Park,418.376415,low
Archibald Arena,418.20264,low
Archibald Mcdonald,418.1788725,low
Archibald Mcdonald - Ball Field #1,418.1789725,low
Archibald Mcdonald - Ball Field #2,418.179085,low
Archibald Mcdonald - Ball Field #3,418.1792975,low
Archibald Mcdonald - Ball Field #4,418.178845,low
Archibald Mcdonald - Basketball Court #1,418.1785425,low
Archibald Mcdonald - Basketball Court #2,418.178655,low
Arlington,418.2026491666666,low
Arlington Park,418.35341,low
Arrand,418.1644425,low
Arthur Park,418.365065,low
As Wright,418.1975875,low
As Wright - Ball Field #1,418.19774,low
As Wright - Ball Field #2,418.19757749999997,low
As Wright - Ball Field #3,418.19746250000003,low
As Wright - Ball Field #4,418.1972575,low
Ashworth Holmes,418.1902285416666,low
Ashworth Holmes - Basketball Court #1,418.1906325,low
Ashworth Holmes - Basketball Court #2,418.190565,low
Ashworth Holmes - Green #1,418.190015,low
Ashworth Holmes - Green #2,418.1901725,low
Ashworth Holmes - Soccer Field #1,418.18994499999997,low
Ashworth Holmes - Tennis Court #,418.1905575,low
Assiniboine,418.209631,low
Assiniboine Park,418.3608875,low
Atchison Field,418.183665,low
Atlantic,418.17274222222227,low
Atlantic - Soccer #1,418.173,low
Atlantic - Soccer #2,418.1729825,low
Attridge,418.21888476744186,low
Avalon,418.18534474999996,low
Avalon - Basketball Court #1,418.18577500000004,low
Avalon - Basketball Court #2,418.1856475,low
Baker,418.21558875,low
Baker Park,418.350115,low
Balfour,418.20910749999996,low
Ball,418.218348,low
Balsam,418.2142616666667,low
Barber,418.1681683333333,low
Barr,418.1702225,low
Bastedo Park,418.3585,low
Bate,418.2003625,low
Bateman,418.20271125,low
Batoche,418.1632225,low
Bayfield,418.21668625,low
Bayview,418.216255,low
Beacon Park,418.34572000000003,low
Beckett,418.216375,low
Beckett Green,418.2164275,low
Beechdale,418.2158,low
Beechmont,418.217225,low
Beerling,418.218575,low
Bell,418.1943275,low
Bellmont,418.212785,low
Benesh,418.216385,low
Benson Park,418.36206749999997,low
Berini,418.217465,low
Bev M Dyck,418.16591750000003,low
Bicycles Allowed On Sidewalks,418.3850595833333,low
Birchwood Park,418.3606725,low
Bishop James P Mahoney,418.210455,low
Bishop James P Mahoney - Ball Field #1,418.2103425,low
Bishop James P Mahoney - Soccer #2,418.21074,low
Bishop James P Mahoney - Soccer #3,418.210425,low
Bitz,418.21321166666667,low
Blackburn,418.212134375,low
Blackley,418.16248875,low
Blackshire,418.2124725,low
Blackthorn,418.21209875,low
Blair Nelson,418.19144,low
Bloos Park,418.3694925,low
Blue,418.16866749999997,low
Bonli,418.220495,low
Borden,418.1753625,low
Borland,418.162305,low
Bothwell Park,418.384255,low
Boughton - Ball Field #1,418.177925,low
Boughton - Ball Field #2,418.178085,low
Boughton Park,418.177955,low
Boychuk,418.2103746212121,low
Braeburn,418.21310375,low
Braeshire,418.21406083333335,low
Braithwaite,418.1702575,low
Brevoort,418.20102890625,low
Brevoort North - Ball Field #1,418.2007625,low
Brevoort North - Soccer #2,418.200265,low
Brevoort Park North,418.201035,low
Brevoort Park South,418.19942000000003,low
Brevoort South - Green #3,418.19935250000003,low
Briarvale,418.21310625,low
Briarwood,418.21460635135134,low
Briarwood - Ball Field #1,418.2149225,low
Briarwood - Basketball Court #1,418.2147675,low
Briarwood - Basketball Court #2,418.2148525,low
Briarwood - Soccer #2,418.2145475,low
Briarwood Lake,418.21484625000005,low
Briarwood Lake - Basketball Court #1,418.2153175,low
Briarwood Linear,418.2157526923077,low
Briarwood Swale,418.216795,low
Brighton,418.2238279166666,low
Brightsand,418.20458333333335,low
Brinkworth Park,418.359385,low
Broadbent,418.2168425,low
Broadway,418.1906925,low
Bronson,418.2054625,low
Brookhurst,418.21414625,low
Brookshire,418.2134225,low
Brudell,418.209915,low
Bruton Park,418.359795,low
Buckwold,418.21698,low
Budz,418.22295875,low
Budz Green,418.22307816666665,low
Buena Vista,418.1874114285714,low
Buena Vista - Basketball Court #1,418.1877,low
Buena Vista - Basketball Court #2,418.1876025,low
Bundon Park,418.352315,low
Bushe,418.16983500000003,low
Button Park,418.360615,low
C,418.19671604166666,low
C Jack Mackenzie,418.18654,low
Caen Park,418.3582625,low
Cahill,418.1781542857143,low
Cahill - Ball Field #1,418.178325,low
Caldwell,418.163523,low
Cambridge,418.2084575,low
Cameron Park,418.356915,low
Campus,418.19954875,low
Candle,418.21735375,low
Cannam,418.22406125,low
Cannon Street Park,418.38997,low
Canon Smith,418.19428392857145,low
Canon Smith - Ball Field #1,418.1941925,low
Canon Smith - Basketball Court #1,418.194535,low
Canuck Park,418.35044500000004,low
Capilano,418.20884374999997,low
Carey Park,418.368515,low
Carleton,418.209158125,low
Carlton Park,418.3545925,low
Carr,418.222075,low
Cartwright,418.1819707352941,low
Cassino,418.1648775,low
Caswell Hill,418.1904425,low
Cathy Lauritsen Memorial Off-Leash Dog Park,418.357685,low
Cecil A Wheaton,418.1925085714286,low
Central,418.21445759615386,low
Central Park,418.3688475,low
Cf Patterson,418.21024750000004,low
Cf Patterson North,418.21073,low
Champlin,418.21068,low
Chan,418.21769,low
Channel Head Park,418.3742475,low
Charlebois,418.21313416666663,low
Charlottetown,418.176405,low
Charlottetown Park,418.1761925,low
Chief Darcy Bear,418.18994499999997,low
Chief Whitecap,418.159015,low
Chitek,418.21459875,low
Chotem,418.22058000000004,low
Christine Morris,418.21873555555555,low
Christopher,418.201235,low
Church Park,418.3596,low
Church/Blackman Park,418.35764,low
Churchill,418.19311657894735,low
Churchill - Soccer #1,418.189285,low
Circle,418.18422673076924,low
City Hall Square,418.1926725,low
Clancy,418.1738425,low
Clarence,418.18612868421053,low
Clarence Downey Speedskating Oval,418.1772625,low
Claude Petit,418.1735925,low
Claypool,418.1878320833334,low
Clearwater,418.21024750000004,low
Clermont Park,418.388925,low
Coben,418.2176025,low
Cochin,418.21138791666664,low
Cockburn,418.1678625,low
Coldspring,418.20453875,low
Cole,418.18596,low
Coleman Park,418.3897875,low
College,418.1990993918919,low
College Park,418.20991000000004,low
Collins,418.2212025,low
Columbia,418.2046775,low
Columbus Park,418.3570725,low
Confederation,418.17517022727276,low
Confederation Park,418.26807875000003,low
Copland,418.19745375,low
Coppermine,418.20791125,low
Core Community Park,418.3740625,low
Cornish,418.1883725,low
Cosmo Arena,418.176215,low
Cosmo Civic Centre,418.176065,low
Cosmo Civic Centre - Basketball Court #1,418.1761925,low
Cosmo Civic Centre - Basketball Court #2,418.1761625,low
Cosmopolitan,418.19226347222224,low
Costigan,418.20259749999997,low
Coventry Park,418.3626225,low
Cowley,418.2198925,low
Cp Seeley,418.1837625,low
Craigie Park,418.3709525,low
Crean,418.2006975,low
Creekside Environmental Reserve,418.3939425,low
Creekside Park,418.393595,low
Crescent Park,418.380815,low
Crocus,418.20761029166664,low
Crocus - Ball Field #1,418.20727750000003,low
Crocus - Ball Field #2,418.2073225,low
Crocus - Basketball Court #1,418.207385,low
Crocus - Soccer #3,418.207535,low
Crocus - Soccer #4,418.20804,low
Crocus - Tennis Court #1,418.207465,low
Crosbie Park,418.39351,low
Cross Park,418.3629625,low
Cumberland,418.19489999999996,low
Cumberland - Green #1,418.195935,low
Daffodil Park,418.3602725,low
Dalgleish,418.225345,low
Dalgliesh Park,418.36802,low
Dan Worden,418.198195,low
Darke Park,418.36600999999996,low
Dave King,418.2217763888889,low
David Knight,418.2133075,low
Davidson,418.1845475,low
Davies,418.21141000000006,low
Delaronde,418.2007141666666,low
Delayen,418.215648125,low
Derby Park,418.3701,low
Devonshire,418.16794749999997,low
Dewdney Pool Park,418.36663999999996,low
Dickinson Park,418.3815125,low
Diefenbaker,418.1760736538462,low
Diefenbaker Ball Field #1,418.1772625,low
Dl Hamilton,418.17877200000004,low
Dl Hamilton - Basketball Court #1,418.17879,low
Dolphin Bay Park,418.3609425,low
Dolphin Park,418.3591175,low
Dominion Park,418.3789475,low
Don Ross,418.2198625,low
Donald Koyl,418.193645,low
Donna L Birkmaier,418.2162,low
Donna L Birkmaier Ball Field #1,418.216235,low
Donna L Birkmaier Ball Field #2,418.2161225,low
Donna L Birkmaier Soccer Field #3,418.215835,low
Donna L Birkmaier Soccer Field #4,418.216415,low
Donna L Birkmaler,418.2158181,low
Dore,418.21670875,low
Douglas,418.17352,low
Douglas Crescent Parkette,418.375415,low
Douglas Park / Leibel Field,418.3739775,low
Dover Park,418.381885,low
Dr Gerhard Herzberg,418.209363,low
Dr Gerhard Herzberg - Ball Field #1,418.209665,low
Dr Gerhard Herzberg - Green #2,418.2100675,low
Dr Gerhard Herzberg - Soccer #3,418.2090625,low
Dr Gerhard Herzberg - Soccer #4,418.208135,low
Dr Gerhard Herzberg North,418.209515,low
Dr Gerhard Herzberg South,418.208325,low
Dr J Valens,418.19753479166667,low
Dr Seager Wheeler,418.18394406249996,low
Dr Seager Wheeler - Ball Field #1,418.184285,low
Dr Seager Wheeler - Ball Field #2,418.1840975,low
Dr Seager Wheeler - Green #1,418.183725,low
Dr Seager Wheeler - Soccer #3,418.1841925,low
Dr. A.E. Perry Park,418.352585,low
Dr. Ferguson Park,418.3864825,low
Draggins Car Club,418.18379640625,low
Draggins Car Club Ball Field #1,418.18363,low
Dryburgh Park,418.366315,low
Dundonald,418.1773443292683,low
Dundonald - Ball Field #1,418.17844,low
Dundonald - Ball Field #2,418.1785725,low
Dundonald - Ball Field #3,418.1787375,low
Dundonald - Ball Field #4,418.1776675,low
Dundonald - Ball Field #6,418.177035,low
Dundonald - Soccer #5,418.177815,low
Dundonald - Soccer #7,418.177385,low
Dundonald - Soccer #8,418.1783775,low
Durham Park,418.360185,low
Dutchak,418.17594979166665,low
E,418.18766,low
East Centre,418.19899250000003,low
East College Park,418.212775,low
East Place,418.195905,low
Eastgate Park Er1,418.392195,low
Eastgate Park Pr2,418.3930075,low
Easthill,418.19886,low
Eastman,418.2232675,low
Eastview,418.19590125,low
Eastview Park,418.379675,low
Ed Jordan,418.16630250000003,low
Edenwold Extension R7,418.364175,low
Edenwold R8 Park,418.36460999999997,low
Edmonton,418.1820060714286,low
Edward,418.20115250000003,low
Edward Mccourt,418.216415,low
Edward Mccourt - Ball Field #1,418.21656,low
Edward S Blain,418.22873500000003,low
Elaine Hnatyshyn,418.2260625,low
