Facility_Name,CO2,Category
Alsek / Blanchard,416.6229712903226,low
Alsek Park,416.6279806451613,low
Canyon,416.60132806451617,low
Copper Ridge Park,416.6104516129032,low
Crestview Park,416.6403632258064,low
Dieppe Park,416.63451096774196,low
Dolly Varden Park,416.5897261290323,low
Eagle - Heron Drive - Prarmigan Place,416.61497967741934,low
Eagle Park,416.6249538709677,low
Grainger Park,416.6132580645161,low
Guild Hall Park,416.6395022580645,low
Heron Drive Park,416.6138006451613,low
Hickory / Wann Park,416.64489612903225,low
Hidden Valley Park,416.6609280645161,low
Hillcrest Park,416.61754967741933,low
Jim Light Park (Sports Admin Building),416.627515483871,low
Liard Park,416.6292251612903,low
Logan Park,416.61088096774193,low
Mary Lake Park,416.59011161290323,low
Mcintyre,416.619240967742,low
Morley / Peel,416.6278103225807,low
Normandy Park,416.63047548387095,low
Ortona Park,416.63151258064516,low
Pine Street Park,416.6375964516129,low
Pineridge Park,416.59429032258066,low
Rotary Peace Park,416.62807387096774,low
Rotary Peace Water Park,416.6288012903226,low
Salmon Trail Park,416.5954941935484,low
Seventh Avenue And Black Street,416.62859322580647,low
Spruce Hill Park,416.5956087096774,low
Stan Mccowan Place,416.64218,low
Tamarack Park,416.6426667741936,low
Valleyview Park,416.62699129032256,low
Wolf Creek Park,416.58912258064515,low
unknown,416.62161457225807,low
