Facility_Name,CO2,Category
Alsek / Blanchard,424.39849,high
Alsek Park,424.40248607142854,high
Canyon,424.3812139285714,high
Copper Ridge Park,424.38978785714284,high
Crestview Park,424.41524892857143,high
Dieppe Park,424.40889607142856,high
Dolly Varden Park,424.36887035714284,high
Eagle - Heron Drive - Prarmigan Place,424.39354178571426,high
Eagle Park,424.400515,high
Grainger Park,424.39196892857143,high
Guild Hall Park,424.41385249999996,high
Heron Drive Park,424.3926835714286,high
Hickory / Wann Park,424.41802107142854,high
Hidden Valley Park,424.43240285714285,high
Hillcrest Park,424.39534178571427,high
Jim Light Park (Sports Admin Building),424.4025153571429,high
Liard Park,424.4032396428571,high
Logan Park,424.3904532142857,high
Mary Lake Park,424.3695675,high
Mcintyre,424.3969278571429,high
Morley / Peel,424.40216392857144,high
Normandy Park,424.40574000000004,high
Ortona Park,424.40669142857143,high
Pine Street Park,424.41211000000004,high
Pineridge Park,424.37388714285714,high
Rotary Peace Park,424.40286178571426,high
Rotary Peace Water Park,424.40344892857144,high
Salmon Trail Park,424.37352571428573,high
Seventh Avenue And Black Street,424.4036557142857,high
Spruce Hill Park,424.3741553571429,high
Stan Mccowan Place,424.4162092857143,high
Tamarack Park,424.41596571428573,high
Valleyview Park,424.40295678571425,high
Wolf Creek Park,424.36968642857147,high
unknown,424.3980354625,high
