Facility_Name,CO2,Category
Alsek / Blanchard,420.5442554838709,medium
Alsek Park,420.5489709677419,medium
Canyon,420.52390806451615,medium
Copper Ridge Park,420.53083580645165,medium
Crestview Park,420.5568461290323,medium
Dieppe Park,420.55358548387096,medium
Dolly Varden Park,420.51693387096776,medium
Eagle - Heron Drive - Prarmigan Place,420.53491096774195,medium
Eagle Park,420.54555161290324,medium
Grainger Park,420.53355258064516,medium
Guild Hall Park,420.55701419354835,medium
Heron Drive Park,420.5337038709677,medium
Hickory / Wann Park,420.56225387096777,medium
Hidden Valley Park,420.5750977419355,medium
Hillcrest Park,420.53765387096774,medium
Jim Light Park (Sports Admin Building),420.54801838709676,medium
Liard Park,420.5504435483871,medium
Logan Park,420.53081935483874,medium
Mary Lake Park,420.5167993548387,medium
Mcintyre,420.5389419354839,medium
Morley / Peel,420.54904612903226,medium
Normandy Park,420.5497019354839,medium
Ortona Park,420.55051967741935,medium
Pine Street Park,420.5555241935484,medium
Pineridge Park,420.5194761290323,medium
Rotary Peace Park,420.5486738709678,medium
Rotary Peace Water Park,420.5493464516129,medium
Salmon Trail Park,420.52229387096776,medium
Seventh Avenue And Black Street,420.5486722580645,medium
Spruce Hill Park,420.5217132258064,medium
Stan Mccowan Place,420.5592580645161,medium
Tamarack Park,420.56052419354836,medium
Valleyview Park,420.546435483871,medium
Wolf Creek Park,420.51471548387093,medium
unknown,420.5421428391935,medium
