Facility_Name,CO2,Category
Alsek / Blanchard,426.86181880000004,high
Alsek Park,426.86594360000004,high
Canyon,426.84394999999995,high
Copper Ridge Park,426.85938999999996,high
Crestview Park,426.8942552,high
Dieppe Park,426.87868519999995,high
Dolly Varden Park,426.81545639999996,high
Eagle - Heron Drive - Prarmigan Place,426.86401839999996,high
Eagle Park,426.86619160000004,high
Grainger Park,426.8613564,high
Guild Hall Park,426.8888424,high
Heron Drive Park,426.8635112,high
Hickory / Wann Park,426.8924892,high
Hidden Valley Park,426.9161772,high
Hillcrest Park,426.86457520000005,high
Jim Light Park (Sports Admin Building),426.86802040000003,high
Liard Park,426.8655092,high
Logan Park,426.8617828,high
Mary Lake Park,426.8181756,high
Mcintyre,426.8674012,high
Morley / Peel,426.864666,high
Normandy Park,426.8757348,high
Ortona Park,426.87737480000004,high
Pine Street Park,426.8858576,high
Pineridge Park,426.8276584,high
Rotary Peace Park,426.86785199999997,high
Rotary Peace Water Park,426.868514,high
Salmon Trail Park,426.82055679999996,high
Seventh Avenue And Black Street,426.87062760000003,high
Spruce Hill Park,426.8239556,high
Stan Mccowan Place,426.8924008,high
Tamarack Park,426.888904,high
Valleyview Park,426.872844,high
Wolf Creek Park,426.8229144,high
unknown,426.86468887079997,high
