Facility_Name,CO2,Category
Alsek / Blanchard,415.332625,low
Alsek Park,415.337655,low
Canyon,415.31085,low
Copper Ridge Park,415.3201975,low
Crestview Park,415.3505025,low
Dieppe Park,415.34439,low
Dolly Varden Park,415.29876,low
Eagle - Heron Drive - Prarmigan Place,415.32475999999997,low
Eagle Park,415.3346675,low
Grainger Park,415.32300499999997,low
Guild Hall Park,415.34955,low
Heron Drive Park,415.3235825,low
Hickory / Wann Park,415.35495000000003,low
Hidden Valley Park,415.371255,low
Hillcrest Park,415.3273225,low
Jim Light Park (Sports Admin Building),415.33725,low
Liard Park,415.33887,low
Logan Park,415.3206625,low
Mary Lake Park,415.2992025,low
Mcintyre,415.32905,low
Morley / Peel,415.33747,low
Normandy Park,415.340345,low
Ortona Park,415.3414,low
Pine Street Park,415.347595,low
Pineridge Park,415.30353249999996,low
Rotary Peace Park,415.3377975,low
Rotary Peace Water Park,415.33853999999997,low
Salmon Trail Park,415.30457,low
Seventh Avenue And Black Street,415.3383625,low
Spruce Hill Park,415.304755,low
Stan Mccowan Place,415.35227,low
Tamarack Park,415.352665,low
Valleyview Park,415.3368325,low
Wolf Creek Park,415.298325,low
unknown,415.33133740375,low
