Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
A.C.R. Trail Park,park,ab,52.256321,-113.816851
A.C.T. Aquatics And Recreation Centre Pool,pool,ab,53.5561459,-113.3861247
Abbeydale Community Centre,community centre,ab,51.05961291,-113.9320225
Abbottsfield Recreation Centre,community centre,ab,53.57196201,-113.3903651
Acadia Aquatic & Fitness Centre,gym,ab,50.97347749,-114.0601578
Acadia Athletic Park,athletic park,ab,50.97102549,-114.0629491
Acadia Community Centre,community centre,ab,50.97317046,-114.0651426
Acadia Recreation Complex,arena,ab,50.97304447,-114.0652199
Act Aquatic & Recreation Centre,community centre,ab,53.55970853,-113.394586
Albert Park / Radisson Heights Community Centre,community centre,ab,51.04153137,-113.9927251
Alexander Wilderness Park Lookout,park,ab,49.73449819,-112.8562431
Alexander Wilderness Park Picnic Area,park,ab,49.73805223,-112.8494046
Arbour Lake Community Centre,community centre,ab,51.13309369,-114.202577
Ardrossan Recreation Complex,rink,ab,53.55435568,-113.1458747
Argyll Plaza Arena,arena,ab,53.49999553,-113.4866483
Argyll Velodrome Sports Centre,community centre,ab,53.5029445,-113.4664761
Atb Centre,rink,ab,49.67220605,-112.9120831
Baccarat Casino,casino,ab,53.54430756,-113.4891749
Banff Trail Community Centre,community centre,ab,51.07030324,-114.1089218
Bankview Community Centre,community centre,ab,51.03252313,-114.1014971
Bear Creek Pool,pool,ab,55.17378172,-118.8046583
Beddington Heights Community Centre,community centre,ab,51.13164348,-114.0851725
Bellevue Community League,community centre,ab,53.56247008,-113.4501406
Beltline Aquatic & Fitness Centre,gym,ab,51.04124058,-114.0669581
Beltline Victoria And Connaught Community Centre,community centre,ab,51.03999662,-114.0479577
Bernd Ebel Fitness Area (Kiwanis Park),gym,ab,49.68792322,-112.8405788
Big Marlborough Park,rink,ab,51.05929013,-113.9451671
Bill Hunter Arena,arena,ab,53.52776113,-113.6041324
Bob Bahan Aquatic & Fitness Centre,gym,ab,51.04129815,-113.9639613
Bonnie Doon Leisure Centre,community centre,ab,53.52385752,-113.4544823
