Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
Aldergrove Community Arena,arena,bc,49.05511123,-122.4700259
Aldergrove Outdoor Pool,pool,bc,49.06120873,-122.4729373
Alice Mckay,community centre,bc,49.11279108,-122.7341915
Beach House,beach,bc,49.8879177,-119.4959025
Beban Park Pool,pool,bc,49.196464,-123.993822
Beecher Place,community centre,bc,49.0519401,-122.8848485
Beyond The Crux Climbing Gym Inc,gym,bc,49.907946,-119.399242
"Bike Park; Cloverdale Athletic Park, 6330 168 St",athletic park,bc,49.1477826,-122.7565551
"Bike Park; Fun Fun Park, 1472 - 128 St",park,bc,49.0292432,-122.8672968
"Bike Park; Invergarry Park, 14400 Currie Dr",park,bc,49.211217,-122.8201113
"Bike Park; Latimer Park, 2786 192 St",park,bc,49.1809603,-122.6902267
"Bike Park; Panorama Park, 12863 60 Ave",park,bc,49.11149,-122.7291719
"Bike Park; Port Kells Park, 19340 88 Ave",park,bc,49.1653152,-122.8774273
"Bike Park; South Surrey Athletic Park, 1925 148 St",athletic park,bc,49.1756051,-122.8122258
Blackie Spit Dog Off-Leash Swimming Beach,beach,bc,49.06023995,-122.879926
Boys And Girls Club,community centre,bc,48.4248594,-123.346992
Brennan Park Arena,arena,bc,49.72560452,-123.1418511
Brennan Park Pool,pool,bc,49.72529504,-123.1425699
Bridgeview Community Centre,community centre,bc,49.21121805,-122.8717148
Burnside Gorge Community Centre,community centre,bc,48.444173,-123.3784671
Carnegie Centre,community centre,bc,49.2811,-123.1001
Cedar Hill Community Recreation Centre,community centre,bc,48.4497,-123.3442
Chuck Bailey Recreation Centre,community centre,bc,49.19687768,-122.84928
Clayton Community Hall,community centre,bc,49.13004954,-122.7091355
Cliff Mcnabb Arena,arena,bc,49.195531,-123.993619
Cloverdale Ice Arena,arena,bc,49.11324152,-122.7339437
Cloverdale Mini Rec Centre,community centre,bc,49.10792653,-122.7339484
Cloverdale Recreation Centre,community centre,bc,49.11520065,-122.7340583
Club 16 Trevor Linden Fitness South Surrey,gym,bc,49.04470344,-122.7776793
Cook Street Village Activity Centre,community centre,bc,48.4160766,-123.3564983
Coopers' Park,park,bc,49.2735421,-123.1129177
Crab Park At Portside,park,bc,49.2847065,-123.0998151
Crystal Pool And Fitness Centre,pool,bc,48.4274162,-123.3589756
Devonian Harbour Park,park,bc,49.2890993,-123.1283456
Don Christian Recreation Centre,community centre,bc,49.1154807,-122.7113913
Downtown Marina Inc,marina,bc,49.8879177,-119.4959025
Downtown Off Leash Dog Area,park,bc,49.20170309,-122.9145101
Dreams Gymnastics Inc,gym,bc,49.1189329,-122.815928
Dusty Greenwell Park,park,bc,49.288558,-123.038169
Elfin Lakes Trailhead Parking,trail,bc,49.75025098,-123.053566
Elgin Community Hall,community centre,bc,49.0668712,-122.8274275
Emery Barnes Park,park,bc,49.2761513,-123.1238954
Evelyne Saller Centre,community centre,bc,49.2839,-123.0971
Everett Crowley Park,park,bc,49.2255026,-123.0410164
Fairfield Gonzales Community Centre,community centre,bc,48.4152724,-123.3485401
Fairgrounds - Area Lighting/Infrastructure,community centre,bc,49.11288135,-122.7343281
Falaise Park,park,bc,49.2550817,-123.0294383
Fernwood Community Association,community centre,bc,48.4302086,-123.3448852
Fernwood Community Centre,community centre,bc,48.4304094,-123.345185
Fit For Women Gym Ltd,gym,bc,49.185143,-122.8434762
"Fitness Area; Bear Creek Park, 13750 88 Ave",park,bc,49.1624436,-122.8414863
"Fitness Area; Frank Hurt Park, 13828 77 Ave",park,bc,49.1429113,-122.7958135
"Fitness Circuit; Crescent Park, 2585 132 St",park,bc,49.1294474,-122.8566453
"Fitness Circuit; Hazelgrove Park, 7080 190 St",park,bc,49.0483926,-122.696893
Fitness Expert Health Club Ltd,gym,bc,49.13913715,-122.8900684
Fleetwood Community Centre,community centre,bc,49.15500525,-122.7797798
Fort Langley Outdoor Pool,pool,bc,49.16832275,-122.5838369
Frank Crane Arena,arena,bc,49.1961814,-123.9941841
Fraser Downs Racetrack & Casino,casino,bc,49.11224857,-122.7304571
Fraser Heights Recreation Centre,community centre,bc,49.1950716,-122.7772501
Fraser River Park,park,bc,49.2119548,-123.1485412
Fun Bugs Playground,playground,bc,49.8879177,-119.4959025
Funplex,playground,bc,49.16306615,-122.8882978
G.R. Pearkes Community Recreation Centre,community centre,bc,48.4543,-123.3991
Garry Oak Room,community centre,bc,48.4143561,-123.3445881
Gateway Casinos & Entertainment Ltd,casino,bc,49.8879177,-119.4959025
Gathering Place Community Centre,community centre,bc,49.278,-123.1235
George Park,park,bc,49.2132938,-123.1027973
George Preston Recreation Centre - Arena,arena,bc,49.07890216,-122.651874
Go Bananas Funky Monkey Fun Park,park,bc,49.1917049,-122.8380632
Good Life Fitness Centres Inc,gym,bc,49.14082124,-122.8625155
Grandview Heights Aquatic Centre,pool,bc,49.0461077,-122.7554967
Guildford Recreation Centre,community centre,bc,49.1938186,-122.8025791
Guildford Recreation Centre & Library Grounds - Skate Park,skate park,bc,49.19339725,-122.8020247
Hadden Park,park,bc,49.277482,-123.1477655
Hjorth Road Pool,pool,bc,49.1893235,-122.8129673
Holly Pool,pool,bc,49.19637385,-122.8117854
Hume Park Off Leash Dog Area,park,bc,49.23441726,-122.8894094
Jacks Trail Park,park,bc,49.74882731,-123.1114956
James Bay Community School Centre,community centre,bc,48.41692675,-123.3796941
James Bay New Horizons Activity Centre,community centre,bc,48.416262,-123.3739921
Kennedy Community Hall,community centre,bc,49.16442059,-122.8899082
Killarney Park,park,bc,49.2255026,-123.0410164
Kingscrest Park,park,bc,49.2092755,-123.0771484
"Lacrosse Box #1; Unwin Park, 13313 68 Ave",park,bc,49.1262704,-122.8439853
"Lacrosse Box; Holly Park, 10706 148 St",park,bc,49.1972449,-122.8109061
"Lacrosse Box; Royal Kwantlen Park, 13035 104 Ave",park,bc,49.1918443,-122.8616324
"Lacrosse Box; Tom Binnie Park (Olympic Venue Site), 10665 City Parkway",park,bc,49.1989437,-122.8487983
Meridian Centre,community centre,bc,49.03879699,-122.8062568
Moody Park Off Leash Dog Area,park,bc,49.21086977,-122.9253007
Moorefitliving Fitness Consulting,gym,bc,49.04649485,-122.7941071
Morgan Play Center,playground,bc,49.04901067,-122.7830508
Musqueam Park,park,bc,49.21234,-123.1071441
My Gym Children's Fitness Centre,gym,bc,49.04616705,-122.8015081
Nat Bailey Stadium Park,stadium,bc,49.24278325,-123.1067209
Nelson Park,park,bc,49.2872113,-123.1251678
New Westminster Parks And Recreation - Centennial Community Centre,community centre,bc,49.22145504,-122.9068635
New Westminster Parks And Recreation - Queensborough Community Centre,community centre,bc,49.18595763,-122.9439538
Newport Beach,beach,bc,49.68425634,-123.1642434
Newton Arena,arena,bc,49.13209975,-122.8420524
Newton Community Hall,community centre,bc,49.13297013,-122.8420374
Newton Cultural Centre,community centre,bc,49.13323412,-122.8471016
Newton Indoor Wave Pool,pool,bc,49.13297036,-122.8422019
Newton Recreation Centre,community centre,bc,49.13288022,-122.8420651
North Surrey Arena,arena,bc,49.18966228,-122.8488207
North Surrey Indoor Pool,pool,bc,49.18966246,-122.8489579
North Surrey Recreation Centre,community centre,bc,49.18957233,-122.8488209
Oaklands Community Centre And Neighbourhood House,community centre,bc,48.4265474,-123.3381138
Okanagan Marina Ltd,marina,bc,49.8879177,-119.4959025
Oliver Woods Community Centre,community centre,bc,49.220661,-124.0310974
Outdoor Pool: Hjorth Road Park; 10275 148 St,pool,bc,49.1893237,-122.812258
"Outdoor Pool; Bear Creek Park, 13750 88 Ave",pool,bc,49.1624436,-122.8414863
"Outdoor Pool; Greenaway Park, 17905 60 Ave",pool,bc,49.1117168,-122.7265833
Outdoor Pool; Port Kells Park; 19340 88 Ave,pool,bc,49.1653152,-122.8774273
"Outdoor Pool; Royal Kwantlen Park, 13035 104 Ave",pool,bc,49.1918443,-122.8616324
"Outdoor Pool; Sunnyside Park, 15455 26 Ave",pool,bc,49.0499436,-122.7951054
"Outdoor Pool; Unwin Park, 13313 68 Ave",pool,bc,49.1262704,-122.8439853
Pacific Billards And Snookers,pool,bc,49.19140906,-122.8406446
Park_Playgrounds,playground,bc,49.17895897,-122.8304999
Parkinson Recreation Centre,community centre,bc,49.8879177,-119.4959025
Parklet (),park,bc,49.23085735,-122.8928068
Pilath Hall House,community centre,bc,49.20445719,-122.8132127
Port Kells Community Hall,community centre,bc,49.16221929,-122.6985353
Quadra Village Community Centre,community centre,bc,48.43701265,-123.3610377
Quayside Off Leash Dog Area,park,bc,49.19989232,-122.9273955
Queen Elizabeth Park,park,bc,49.2420698,-123.1137689
Queen's Park Off Leash Dog Area,park,bc,49.21269582,-122.9023946
Queensborough Off Leash Dog Area,park,bc,49.19476504,-122.9301495
Quilchena Park,park,bc,49.2459055,-123.149841
Ray-Cam Co-Operative Center,community centre,bc,49.2807,-123.0841
"Rubber Safety Surface; West Village Park, 13231 103A Ave",park,bc,49.1905975,-122.8870862
Rubberized Running Track; Hazelgrove Park,park,bc,49.0483926,-122.696893
Rutland Arena,arena,bc,49.8879177,-119.4959025
Sandcastle Fitness Club,gym,bc,49.03724945,-122.8009197
Save-On-Foods Memorial Centre,stadium,bc,48.43157805,-123.3605691
Semiahmoo Athletic Club Ltd,gym,bc,49.03807582,-122.8005191
"Senior's Wellness Park; Francis Park, 15951 83 Ave",park,bc,49.1540327,-122.826771
Shannon Hall,community centre,bc,49.11237874,-122.7341245
She's Fit Health Club Langley Ltd,gym,bc,49.11219062,-122.680326
She's Fit Health Club Surrey Ltd,gym,bc,49.16472745,-122.7972292
"Skate Park (Chuck Bailey); Tom Binnie Park (Olympic Venue Site), 10665 City Parkway",skate park,bc,49.1989437,-122.8487983
"Skate Park; Bear Creek Youth Park, 8400 King George Blvd",skate park,bc,49.0328382,-122.7777492
"Skate Park; Fraser Heights Park, 10588 160 St",skate park,bc,49.1949271,-122.77745
"Skate Park; Guildford Recreation Centre & Library Grounds, 15101 105 Ave",skate park,bc,49.1931838,-122.8007947
"Skate Park; Royal Kwantlen Park, 13035 104 Ave",skate park,bc,49.1918443,-122.8616324
"Skate Park; South Surrey Athletic Park, 1925 148 St",skate park,bc,49.1756051,-122.8122258
"Skate Park; Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",skate park,bc,49.1518938,-122.7640994
South Surrey Ice Arena,arena,bc,49.04154793,-122.8156056
South Surrey Indoor Pool,pool,bc,49.03337436,-122.8157933
South Surrey Rotary Fieldhouse,community centre,bc,49.04042179,-122.8155689
Southeast False Creek Park,park,bc,49.2721236,-123.2088323
Spanish Banks Park,park,bc,49.27485,-123.2058274
Spark Fitness & Red Tiger Martial Arts,gym,bc,49.1210156,-122.7345198
Sparwood Park,park,bc,49.2281216,-123.0278217
Splitz Gymnastics Centres Ltd,gym,bc,49.11896371,-122.7368091
"Sport Court; Dufferin Park,17375 2 Ave",park,bc,49.0055694,-122.735646
Steve Nash Sports Club,gym,bc,49.1898162,-122.839359
Strathcona Park,park,bc,49.2761317,-123.0935404
Sunset Beach,beach,bc,49.2787413,-123.1378388
Sunset Park,park,bc,49.2219472,-123.0876861
Surrey Athletics,gym,bc,49.11892557,-122.8167391
Surrey Sport And Leisure Complex Arena,arena,bc,49.15299288,-122.7646273
Surrey Sport And Leisure Complex Indoor Pool,pool,bc,49.1529926,-122.7644901
Tecumseh Park,park,bc,49.2294395,-123.0621002
The Okanagan Gymnastics Centre,gym,bc,49.8879177,-119.4959025
"Track; North Surrey Community Park, 15848 97A Ave",park,bc,49.1799583,-122.8907898
Trailhead: Chief,trail,bc,49.67867866,-123.1544441
Trailhead: Climb Trail,trail,bc,49.74085816,-123.0875531
Trailhead: Perth Drive,trail,bc,49.74970948,-123.110296
Trailhead: Squamish Estuary Trails,trail,bc,49.69823999,-123.161434
Valdez Park,park,bc,49.2527938,-123.1676837
Victoria West Community Centre,community centre,bc,48.4364923,-123.3879662
W.C. Blair Recreation Centre,community centre,bc,49.09143819,-122.6093556
Ward's Marina,marina,bc,49.06563253,-122.8425491
Wayland Sports Surrey Ltd,gym,bc,49.14439494,-122.855156
West Side Off Leash Dog Area,park,bc,49.1983443,-122.950259
Westburnco Off Leash Dog Area,park,bc,49.22891966,-122.9073822
White Rock Gymnastics & Diving Training Academy,gym,bc,49.05977516,-122.8001423
(Crossfit Renegade) Renegade Athletics,community centre,bc,49.1202975,-122.8451806
"1 Practice Tennis Half Court & Wall #2; Clayton Park, 18513 70 Ave",sports field,bc,49.1300235,-122.7091357
"1 Practice Tennis Half Court & Wall #2; Fleetwood Park, 15802 80 Ave",sports field,bc,49.1480794,-122.7831527
"1 Practice Tennis Half Court & Wall #2; Kennedy Park, 9058 Holt Rd",sports field,bc,49.1679169,-122.8896807
"1 Practice Tennis Half Court & Wall #3; Fraser Heights Park, 10588 160 St",sports field,bc,49.1949271,-122.77745
"1 Tennis Court; Bridgeview Park, 11475 126A St",sports field,bc,49.2112143,-122.8717247
"1 Tennis Court; Cloverdale Heights Park, 5880 Aberdeen St",sports field,bc,49.1093278,-122.7513397
"1 Tennis Court; Douglas Park, 15044 99A Ave",sports field,bc,49.183204,-122.8758939
110A - Games Court - Basketball Courts,sports field,bc,49.05603053,-122.8849826
"2 Practice Tennis Half Courts & Wall #2; Maple Green Park, 8959 150 St",sports field,bc,49.1914141,-122.8063678
"2 Practice Tennis Half Courts & Wall #3; Crescent Park School Grounds, 2440 128 St",sports field,bc,49.0464115,-122.8666796
"2 Tennis Courts #1; Crescent Park School Grounds, 2440 128 St",sports field,bc,49.0464115,-122.8666796
"2 Tennis Courts #1; Fleetwood Park, 15802 80 Ave",sports field,bc,49.1480794,-122.7831527
"2 Tennis Courts #1; Fraser Heights Park, 10588 160 St",sports field,bc,49.1949271,-122.77745
"2 Tennis Courts #1; Maple Green Park, 8959 150 St",sports field,bc,49.1914141,-122.8063678
"2 Tennis Courts #2; Crescent Park School Grounds, 2440 128 St",sports field,bc,49.0464115,-122.8666796
"2 Tennis Courts; Alderwood Park, 1761 Lilac Dr",sports field,bc,49.0368499,-122.7842881
"2 Tennis Courts; Bell Park, 1782 136 St",sports field,bc,49.0343239,-122.8451799
"2 Tennis Courts; Bob Rutledge Park, 5424 - 148 St",sports field,bc,49.1011649,-122.8120525
"2 Tennis Courts; Clayton Park, 18513 70 Ave",sports field,bc,49.1300235,-122.7091357
"2 Tennis Courts; Goldstone Park, 5850 146 St",sports field,bc,49.1905837,-122.8175823
"2 Tennis Courts; Greenaway Park, 17905 60 Ave",sports field,bc,49.1117168,-122.7265833
"2 Tennis Courts; Hummingbird Park, 11083 Swan Cres",sports field,bc,49.2030853,-122.8021708
"2 Tennis Courts; Meridian By The Sea Park, 2040 150 St",sports field,bc,49.1914141,-122.8063678
"2 Tennis Courts; Morgan Creek Park, 3302 156A St",sports field,bc,49.0620009,-122.78979
"2 Tennis Courts; Robson Park, 12576 100 Ave",sports field,bc,49.1842303,-122.7992816
"2 Tennis Courts; Royal Kwantlen Park, 13035 104 Ave",sports field,bc,49.1918443,-122.8616324
"2 Tennis Courts; Sullivan Park, 6272 152 St",sports field,bc,49.035072,-122.8011069
