Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
A.R. Mcdiarmid Park,park,mb,49.84654685,-99.94693864
Aberdeen Rc Wading Pool,pool,mb,49.91371234,-97.14360672
Adsum Park / Maples C.C,community centre,mb,49.95283953,-97.17541597
Alex Bridge Park,community centre,mb,49.78140493,-97.15309529
Amherst Park,community centre,mb,49.8839553,-97.22250515
Archwood C.C,community centre,mb,49.87585107,-97.10076694
Argyle Courts Playground,playground,mb,49.8489141,-99.9703011
Art Mcouat Memorial Park,community centre,mb,49.87283024,-97.07734159
Assiniboia West C.C / St. Charles Park Wading Pool,pool,mb,49.88852979,-97.31451072
Assiniboia West Rec. Assoc. - Morgan Site,community centre,mb,49.88996377,-97.30326229
Berkshire Park,community centre,mb,49.8723792,-97.08948581
Berkshire Park Wading Pool,pool,mb,49.87236397,-97.08949897
Bernie Wolfe Indoor Pool,pool,mb,49.89024006,-97.04325179
Bertrand Arena,arena,mb,49.88352504,-97.11460401
Beryl Watts Park / Vince Leah C.C,community centre,mb,49.95075397,-97.11512983
Beryl Watts Park Wading Pool,pool,mb,49.95073296,-97.11750346
Billy Mosienko Arena,arena,mb,49.93473102,-97.19447705
Bonivital Pool,pool,mb,49.860262,-97.08810894
Bord-Aire C.C,community centre,mb,49.88966538,-97.21112397
Bourkevale C.C,community centre,mb,49.87489669,-97.22143158
Boyd Park,community centre,mb,49.92918264,-97.1641011
Boyd Park Wading Pool,pool,mb,49.92891909,-97.16366035
Braeside Park,community centre,mb,49.91042493,-97.07048588
Braeside Park Wading Pool,pool,mb,49.91056906,-97.07154403
Brandon Recreation Centre,community centre,mb,49.8518984,-99.966073
Broadway Neighborhood Centre,community centre,mb,49.8840647,-97.15549918
Broadway Park Wading Pool,pool,mb,49.88388014,-97.15521617
Bronx Park C.C,community centre,mb,49.92722835,-97.10629529
Bronx Park C.C - Kelvin Site,community centre,mb,49.91531751,-97.11231415
