Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
Alexander Splash Pad,splash pad,nb,46.1034852,-64.8014589
Allison Grounds Playground,playground,nb,45.28850626,-66.05145708
Anglin Drive Playground,playground,nb,45.28949849,-66.06921209
Aquatic And Sports Centre,community centre,nb,46.0954172,-64.7023477
Barker's Point Gym,gym,nb,45.95280243,-66.61754312
Barnhill Memorial School,gym,nb,45.2548347,-66.10360813
Bayside Middle School,gym,nb,45.28503024,-66.03872285
Bayview Elementary School Playground,playground,nb,45.28870462,-66.03224239
Beaconsfield School,gym,nb,45.25075361,-66.07812027
Boyaner Crescent Playground,playground,nb,45.29396065,-65.99021108
Boys & Girls Club,community centre,nb,45.27890933,-66.0526689
Boys And Girls Club Playground,playground,nb,45.27855571,-66.05236225
Bridgedale Community Centre,community centre,nb,46.0660069,-64.7484187
Canada Games Aquatic Centre,pool,nb,45.27381933,-66.0640889
Carleton,community centre,nb,45.26090825,-66.07334397
Casino New Brunswick,casino,nb,46.1286285,-64.87897151
Celebration Street Playground,playground,nb,45.28276257,-66.05804566
Centennial Park Beach,beach,nb,46.0877271,-64.8149905
Centennial Park Dog Park,park,nb,46.0875512,-64.7988196
Centennial Park Splash Pad,splash pad,nb,46.0877271,-64.8149905
Centennial School,gym,nb,45.28179861,-66.0837341
Centennial School Community Playground,playground,nb,45.28107128,-66.08426134
Champlain Heights School,gym,nb,45.29116938,-66.00244708
Champlain Heights School Playground,playground,nb,45.29141081,-66.00164718
Charles Gorman Arena,arena,nb,45.29456615,-66.09363703
Chown Field Bark Park,park,nb,45.27810357,-66.05220771
Colonial Inn,pool,nb,45.28161065,-66.05778113
Courtney Avenue Park Playground,playground,nb,45.28409686,-66.03915052
Coverdale Centre,community centre,nb,46.0720685,-64.76205877
Creek Village Splash Pad,splash pad,nb,46.1068371,-64.757226
Crossman Community Centre - Kay Arena,arena,nb,46.104861,-64.75316661
Dalila Court Playground,playground,nb,45.2639352,-66.10780372
Delta Brunswick Hotel,pool,nb,45.27330933,-66.0616189
Denis Morris,community centre,nb,45.26390822,-66.108523
Devon Gym,gym,nb,45.96814044,-66.62462613
Dominion Park Playground,playground,nb,45.26947385,-66.1230376
Downing Street Park,rink,nb,45.98244746,-66.58621147
Dresden Avenue Playground,playground,nb,45.31547097,-66.01407969
Eastmount Playground,playground,nb,45.30614651,-66.03023634
Ellerdale Street Park Playground,playground,nb,45.29253764,-66.0310459
Exhibition Park Raceway,race track,nb,45.3139455,-66.02165368
Fhs Auxilary Gyms,gym,nb,45.94226043,-66.66235414
Fhs Main Gym,gym,nb,45.94240043,-66.66264114
Fhs Side Gym 3,gym,nb,45.94207543,-66.66208814
Fieldhouse Gym 1,gym,nb,45.98543144,-66.64383313
Flemming Court Splash Pad,splash pad,nb,45.29042868,-66.07514379
Forest Hills School,gym,nb,45.31472828,-66.00608914
Forest Hills School Playground,playground,nb,45.31550245,-66.00597878
Fort Howe Hotel,pool,nb,45.27503321,-66.07285224
Fredericton Indoor Pool,pool,nb,45.98566643,-66.64368914
G. Forbes Elliot Athletics Centre (Unbsj),gym,nb,45.30727855,-66.08503216
Garden Creek Gym,gym,nb,45.96507243,-66.70343715
Glen Falls Elementary School Playground,playground,nb,45.31636455,-66.02500774
Glen Falls School,gym,nb,45.31690762,-66.02430359
Grant Harvey Centre,rink,nb,45.92492147,-66.64138269
Grove Hamlet Splash Pad,splash pad,nb,46.1175451,-64.7378333
Harbour Station,arena,nb,45.27643035,-66.0640602
Harbour View High School,gym,nb,45.26569732,-66.08440737
Havelock Elementary School,gym,nb,45.25077486,-66.08229026
Havelock Elementary School Playground,playground,nb,45.2505291,-66.08184746
Hazen White / St. Francis School Playground,playground,nb,45.29431255,-66.07379453
Hazen-White / St. Francis School,gym,nb,45.29378748,-66.07310295
Henry Park,park,nb,45.96528518,-66.62004726
Hilton Belyea Arena,arena,nb,45.24941763,-66.06952222
Hilton Belyea Arena Playground,arena,nb,45.24944117,-66.06896798
Hilton Saint John,pool,nb,45.27276717,-66.06619312
Honeysuckle Drive Playground,playground,nb,45.24472322,-66.10034047
Hope Center Playground,playground,nb,45.33485708,-65.88462706
Hotel Courtenay Bay,pool,nb,45.28196449,-66.05250783
Island View School,gym,nb,45.23664881,-66.12898564
Island View School Playground,playground,nb,45.23614061,-66.12960559
Islandview Park,park,nb,45.96228059,-66.76657216
Karen Street Playground,playground,nb,45.32501171,-65.95477617
Kbm,community centre,nb,45.28726939,-66.16263368
Kent Street Park,park,nb,45.97873856,-66.68456446
Ketepec Belmont Morna Community Center Playground,playground,nb,45.28673525,-66.16222855
Killarney Lake Beach,beach,nb,46.01620682,-66.62836942
King Edward School,gym,nb,45.26904054,-66.05080158
Lady Beaverbrook Rink,rink,nb,45.95082364,-66.63888468
Lakewood Heights School,gym,nb,45.31447142,-65.97971562
Lakewood Heights School Playground,playground,nb,45.31486344,-65.98015495
Latimore Lake,community centre,nb,45.30171472,-65.94493585
Latimore Lake Community Center Playground,playground,nb,45.30200088,-65.9452983
Latimore Lake Outdoor Zone,playground,nb,45.30640573,-65.92331301
Leo Hayes Main Gym,gym,nb,45.97959044,-66.62195313
Leo Hayes Side Gym,gym,nb,45.97954544,-66.62186613
Lewisville Y Splash Pad,splash pad,nb,46.1023386,-64.7571844
Limerick Road Park,park,nb,45.92271567,-66.62438787
Lincoln Heights Park,rink,nb,45.90743979,-66.59356691
Little River Reservoir Bark Park,park,nb,45.30850189,-65.97326292
Little River Reservoir Playground,playground,nb,45.30863289,-65.97172759
Liverpool Street Gym,pool,nb,45.93210743,-66.64138713
Loch Lomond School,gym,nb,45.33356483,-65.90094055
Lord Beaverbrook Rink,rink,nb,45.27487623,-66.07474337
Lorne Middle School,gym,nb,45.27738397,-66.08231127
Lorneville,community centre,nb,45.19729866,-66.15953514
Lorneville Community Center Playground,playground,nb,45.19773926,-66.15916606
Lou Murphy Park Playground,playground,nb,45.2702456,-66.10044108
