Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
Beaver Bank - Kinsac Community Centre,community centre,ns,44.84961858,-63.68471966
Bedford Hammonds Plains Community Centre,community centre,ns,44.7200279,-63.69925963
Bloomfield Centre,community centre,ns,44.65742877,-63.5975932
Captain William Spry Community Centre,community centre,ns,44.60933305,-63.61828616
Carrolls Corner Community Centre,community centre,ns,45.01670771,-63.38455461
Cherry Brook Community Centre,community centre,ns,44.7077251,-63.48857053
Citadel Community Centre,community centre,ns,44.64788483,-63.58496093
Cole Harbour Community Centre,community centre,ns,44.67232917,-63.48025704
Cole Harbour Place,community centre,ns,44.68436557,-63.49002298
Community Recreation Centre,community centre,ns,44.56573898,-63.56774919
Crichton Centre,community centre,ns,44.67204734,-63.56497911
Dartmouth North Community Centre,community centre,ns,44.68402271,-63.58860223
East Dartmouth Community Centre,community centre,ns,44.68744576,-63.53127566
Eastern Shore Community Centre,community centre,ns,44.78925079,-63.1484488
Fairbank Centre,community centre,ns,44.70197955,-63.55352561
Findlay Community Centre,community centre,ns,44.67167585,-63.56115773
George Dixon Community Recreation Centre,community centre,ns,44.65708396,-63.58898342
Gordon R Snow Community Centre,community centre,ns,44.81375715,-63.61584194
Harrietsfield - Williamswood Community Centre,community centre,ns,44.56948006,-63.63425611
Head Of St Margarets Bay Community Centre,community centre,ns,44.68410919,-63.91536307
Isleville Community Centre,community centre,ns,44.66601049,-63.60699729
Ketch Harbour And Area Community Hall,community centre,ns,44.50084426,-63.5410697
Lake & Shore Community Recreation Centre,community centre,ns,44.73575805,-63.28489025
Lake Echo Community Centre,community centre,ns,44.73854591,-63.38674801
Lawrencetown Community Centre,community centre,ns,44.66165135,-63.36584148
Local Council Of Woman Halifax,community centre,ns,44.63431728,-63.57552827
Mineville Community Centre,community centre,ns,44.71046333,-63.39036345
Mitchell Cove Commerce And Community Centre,community centre,ns,44.77737434,-63.00585083
Moser River Community Hall,community centre,ns,44.97629018,-62.25527084
Musquodoboit Valley Bicentennial Cultural Centre,community centre,ns,45.04460887,-63.15072856
North Preston Community Centre,community centre,ns,44.74544964,-63.46734399
North Woodside Community Centre,community centre,ns,44.65817569,-63.551337
Northbrook Community Centre,community centre,ns,44.67685085,-63.58199297
Oakwood House,community centre,ns,44.67604662,-63.56282305
Porters Lake Community Centre,community centre,ns,44.74002135,-63.30270004
Prospect Road Community Centre,community centre,ns,44.56686258,-63.72916164
Riverline Community Centre,community centre,ns,44.98823943,-63.4392503
Riverview Community Centre,community centre,ns,44.75868849,-63.67246075
Sackville Heights Community Centre,community centre,ns,44.77828843,-63.70151267
Samuel R Balcom Community Centre,community centre,ns,44.91048705,-62.37466246
Sheet Harbour Lions Community Centre,community centre,ns,44.92671605,-62.51078827
Spencer House Senior Centre,community centre,ns,44.64041013,-63.57570105
St Marks Community Centre,community centre,ns,44.66076883,-63.59773118
Ste Therese Community Centre,community centre,ns,44.69148015,-63.25897134
The Commons Pavilion,community centre,ns,44.64802018,-63.58823166
The Old School Gathering Place Co-Operative,community centre,ns,44.78826993,-63.1454866
Upper Hammonds Plains Community Centre,community centre,ns,44.7522885,-63.82597988
Upper Musquodoboit Community Hall,community centre,ns,45.13493495,-62.94702589
Wallace Lucas Community Centre,community centre,ns,44.76237976,-63.7238399
Windsor Junction Community Centre,community centre,ns,44.79350696,-63.64089642
Abandoned Cn Railway Line,trail,ns,44.73402054,-63.24008074
Admiral Lake Loop,trail,ns,44.80632235,-63.15271136
Africville Park,trail,ns,44.67519986,-63.61671712
Angus L. Macdonald Bridge,trail,ns,44.66440557,-63.58379293
Arnold Whitworth Park Walkway,trail,ns,44.65877053,-63.54902457
Atlantic View At Greenway,trail,ns,44.64972173,-63.32753368
Attenborough Ct To Mainland Linear Trail,trail,ns,44.67335272,-63.67082008
Barrington Street At Greenway,trail,ns,44.65654263,-63.58429554
Bayers Lake Trail,trail,ns,44.64155219,-63.67043636
Bedford Sackville Connector At Greenway,trail,ns,44.75331561,-63.66727821
Beechville Lakeside Timberlea Trail Greenway,trail,ns,44.67467349,-63.80475655
Belcher's Marsh Park Trail,trail,ns,44.67441282,-63.67654
Bissett Lake Greenway,trail,ns,44.66653295,-63.47803542
Breakers District Park Trail,trail,ns,44.53804659,-63.54480323
Burnside At Greenway,trail,ns,44.69274964,-63.58086843
Cabin Lake Trail,trail,ns,44.69427902,-63.67118029
Cannon Terrace Park Walkway,trail,ns,44.6892134,-63.56709819
Carl Morash Memorial Park Walkway,trail,ns,44.65299478,-63.54674359
Carrolls Corner To Meaghers Grant,trail,ns,44.94467309,-63.31803073
Chain Of Lakes Greenway,trail,ns,44.65590375,-63.62988757
Charles Lake Trail,trail,ns,44.69045922,-63.69875398
Cleveland Beach Provincial Park Trail,trail,ns,44.64951586,-63.99599791
Colby Village Elementary School Park Walkway,trail,ns,44.66669787,-63.48413979
Cole Harbour Heritage Park Trails,trail,ns,44.66604023,-63.46053334
Crichton Park Elementary School Park Walkway,trail,ns,44.68440566,-63.56710461
Crichton Park School Walkways,trail,ns,44.68390576,-63.56613357
Crowbar Lake Hiking Trail,trail,ns,44.76695069,-63.39377518
Dartmouth Waterfront Trail,trail,ns,44.66414932,-63.56538794
Dead Man's Island Trail,trail,ns,44.63340288,-63.60902881
Delaps Cove Wilderness Trail - Bohaker Trail,trail,ns,44.76189876,-65.64681328
Delaps Cove Wilderness Trail - Connector,trail,ns,44.76189876,-65.64681328
Dewolfe Park At Greenway,trail,ns,44.715349,-63.67138418
Dlepas Cove Wilderness Trail - Charlie's Trail,trail,ns,44.76189876,-65.64681328
Dollar Lake Provincial Park Trail,trail,ns,44.93429372,-63.31872237
Eastern Passage Commons Walkway,trail,ns,44.60898792,-63.4770818
Edward Laurie Dr To Mainland Linear Trail,trail,ns,44.67610803,-63.67400854
Flag Pond Park Trail,trail,ns,44.62867687,-63.41858789
Flat Lake Park Trail,trail,ns,44.70428572,-63.84850093
Fleetview Trail,trail,ns,44.69743942,-63.6675506
Forest Hills Greenway,trail,ns,44.69107898,-63.49728386
Fox Lake Trail,trail,ns,44.68243877,-63.70796312
Freshwater Trail Park Walkway,trail,ns,44.6577429,-63.52506542
Frog Pond Trail,trail,ns,44.6258174,-63.60156638
Gezier Hill Trail,trail,ns,44.65126574,-63.66598824
Gibraltar Rock Loop,trail,ns,44.88766157,-63.24571214
Glen Slauenwhite At Greenway,trail,ns,44.77337448,-63.67299033
Glen Slauenwhite Connector Trail,trail,ns,44.77377688,-63.66144227
Glen Slauenwhite Trail,trail,ns,44.76840164,-63.65466842
Glenbourne Park Trail,trail,ns,44.67655955,-63.67678546
Gorsebud Cl To Mainland Linear Trail,trail,ns,44.67581164,-63.67474356
Green Village Lane Park Walkway,trail,ns,44.66797507,-63.53843894
Halifax Urban At Greenway,trail,ns,44.6326766,-63.59293366
