Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
Borealis Park,park,nt,62.43963373,-114.4095143
City Hall Park,park,nt,62.45476328,-114.3768732
Demelt Park,park,nt,62.43681821,-114.4118577
Doornbros Park,park,nt,62.45700206,-114.3679881
Forrest Drive Park,park,nt,62.44484002,-114.3741885
Fritz Theil Park,park,nt,62.46108616,-114.3585168
Grace Lake Park,park,nt,62.42213917,-114.4186426
Hank Koenen Park,park,nt,62.46588756,-114.3510608
Horton Cresent Park,park,nt,62.43830132,-114.4135638
Josephine Walcer Park,park,nt,62.46236416,-114.3587323
Lamoureux Park,park,nt,62.43681488,-114.4182002
Latham Island Park,park,nt,62.4692483,-114.345876
Magrum Park,park,nt,62.45490646,-114.4206693
Mitchell Drive Park,park,nt,62.46753555,-114.3427929
Moyle Park,park,nt,62.46542714,-114.372744
Olexin Park,park,nt,62.44818166,-114.3648904
Orser Park,park,nt,62.46776853,-114.3472065
Otto Drive Park,park,nt,62.47084173,-114.3417143
Parker Recreation Field,park,nt,62.44533793,-114.4304199
Pilots Monument Park,park,nt,62.46544136,-114.3480804
Raccine Park,park,nt,62.46578646,-114.3489769
Rotary Centennial Park,park,nt,62.45715559,-114.3549274
School Draw Park,park,nt,62.45245895,-114.3566184
Somba K'E Family Park,park,nt,62.45338479,-114.3803464
Tommy Forrest Ball Park,park,nt,62.44706175,-114.3835922
Watt Drive Park,park,nt,62.46983315,-114.3483222
