Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
11Bhe,playground,on,43.16758482,-80.24294547
221 Queen,pool,on,43.4471723,-80.49142712
A.E. Crookes Park,playground,on,43.56827134,-79.56116824
A.R. Kaufman Pool,pool,on,43.433032,-80.471893
A.R. Kaufman Public School,playground,on,43.44253387,-80.5247107
Aaniin C.C. And Library,community centre,on,43.85176233,-79.26585033
Ac Douglas Park #1,playground,on,42.969189,-79.022248
Acacia Park,playground,on,43.719726,-79.5407506
Activa Sportsplex,arena,on,43.42221448,-80.47126306
"Ada Bland ""Club 60"" Senior Citizen Centre",community centre,on,43.21735504,-79.75834236
Adam Beck Cc,gym,on,43.6820947,-79.2891132
Adam Wallace Memorial Park,playground,on,43.87330214,-79.7589328
Adams Park,playground,on,43.7915515,-79.1442966
Adamsville Park,playground,on,43.65161313,-79.80619277
Admiral Park Playground,playground,on,43.43697757,-80.50719412
Adult Recreation Centre,community centre,on,43.46025778,-80.51972912
Agincourt Rc,pool,on,43.7884885,-79.27604198
Agincourt Recreation Centre - Indoor Ice Pad ( 1),rink,on,43.78850038,-79.27575201
Ajax Community Centre,community centre,on,43.83928325,-79.02067423
Alamosa Park,playground,on,43.78791976,-79.37320467
Albert Callaghan Memorial Park,playground,on,43.63739146,-79.75864829
Albert Campbell Ci,pool,on,43.8100007,-79.2733564
Albert Campbell Square - Outdoor Artificial Ice Rink,rink,on,43.77346148,-79.25762966
Albert Crosland Parkette,playground,on,43.6424257,-79.4399901
Albert Mcbride Park,playground,on,43.72800972,-79.63263018
Albert Street Park,playground,on,42.889299,-78.928528
Albion Arena - Indoor Ice Pad,rink,on,43.7395625,-79.58283049
Albion Bolton Community Centre,community centre,on,43.87625896,-79.73520927
Albion Gardens Park,playground,on,43.7388542,-79.5575634
Albion Heatherington Recreation Centre,community centre,on,45.373205,-75.6478005
Albion Hills Conservation Area,playground,on,43.92855686,-79.81904671
Albion Pool & Health Club,pool,on,43.7396133,-79.580608
Alder Street Recreation Centre,community centre,on,43.9049,-80.1265
Aldercrest Park Playground,playground,on,43.44450085,-79.73175932
Aldershot Arena,arena,on,43.31617535,-79.83285065
Aldershot Pool,pool,on,43.30363325,-79.85219133
Alderwood Pool,pool,on,43.601598,-79.5473673
Alex Duff Outdoor Pool,pool,on,43.6641912,-79.4226356
Alexander Park,playground,on,43.6186803,-79.4881374
Alexandra Park,pool,on,43.651259,-79.405463
Alexandrian Pool,pool,on,43.45336255,-80.49311865
Algonquin Playground,rink,on,46.43769255,-80.99492815
Algrove Park Playground,playground,on,43.47241327,-79.69403924
All Saints,playground,on,43.53179009,-79.71095205
Allan A. Lamport Stadium,stadium,on,43.6397397,-79.4234154
Allan F. Gretsinger Pool (Jul-Aug),pool,on,43.16881,-79.474207
Allison Neighbourhood Park,splash pad,on,43.19754682,-79.88594915
Allison's Park,playground,on,43.61259024,-79.61832355
Alloa,playground,on,43.70164422,-79.86232771
Almond Park,playground,on,43.79731995,-79.67843957
Aloma Park,playground,on,43.708339,-79.7027317
Alpine Park Playground,playground,on,43.42207193,-80.47942588
Alpine Public School Playground 1,playground,on,43.41972055,-80.48073672
Alton Library & Community Room,community centre,on,43.8588194,-80.06418251
Amberley Beach Road,beach,on,44.05381073,-81.74592302
Ames Park,playground,on,43.7522824,-79.3655985
Amesbury Cc,gym,on,43.7073942,-79.4824294
Amesbury Sports Complex,pool,on,43.7062394,-79.4874104
Amesbury Sports Complex - Indoor Ice Pad,rink,on,43.70602927,-79.48677921
Amos Waites Outdoor Pool,pool,on,43.6135337,-79.4888458
Amos Waites Park,playground,on,43.6135337,-79.4888458
Ampitheatre,beach,on,46.47531059,-80.991893
Anaka Park,playground,on,43.72140726,-79.65476254
Ancaster Aquatic Centre,community centre,on,43.2151688,-80.00628298
Ancaster Cc,gym,on,43.7319545,-79.4658154
Ancaster Lion's Outdoor Pool,pool,on,43.2182325,-79.99969967
Ancaster Old Town Hall,community centre,on,43.2255123,-79.97626454
Ancaster Park,playground,on,43.7327215,-79.4661216
Ancaster Rotary Centre,community centre,on,43.21807225,-80.00778934
Ancaster Senior Achievement Centre (Asac),community centre,on,43.18453818,-80.07058372
Anderson Family Park,playground,on,43.7602439,-79.77171741
Andrew,playground,on,43.19038712,-80.24632642
Andy Warburton Memorial Park,splash pad,on,43.24521211,-79.80255441
Angela Coughlan Pool,pool,on,43.3634826,-79.82573913
Angela James Arena - Indoor Ice Pad,rink,on,43.71314796,-79.32763498
Angelina Macri Prokich Park,park,on,43.157842,-79.481379
Angewood Park,rink,on,43.34184459,-80.34032559
Angler Way Park,playground,on,43.51387485,-80.50089183
Angus Glen C.C. And Library,community centre,on,43.89465774,-79.33615247
Angus Glen Community Centre And Library,community centre,on,43.89464175,-79.33634501
Angus Morrison Park,playground,on,43.67990533,-79.83036823
Annapolis Park Playground,playground,on,43.47985798,-79.63699967
Anndale Park,playground,on,43.4996343,-80.51889963
Anne Good Park,playground,on,43.17618747,-80.29961511
Annette Crc,gym,on,43.6612108,-79.4740297
Antibes Cc,gym,on,43.7811986,-79.4469847
Antwerp Playground,rink,on,46.50329803,-81.00226772
Appleby Ice Centre,arena,on,43.38567373,-79.77869983
Applewood Heights,playground,on,43.60636951,-79.59344134
Applewood Heights Outdoor Pool,pool,on,43.60586371,-79.59359586
Applewood Hills,playground,on,43.61075576,-79.59307389
Applewood Park Playground,playground,on,43.3973617,-79.71804859
Apted Park,playground,on,43.75670316,-79.57686818
Aquinas Park,playground,on,43.54194697,-79.72177874
Arbour Green,playground,on,43.54859402,-79.69370774
Arbourview Trail Playground,playground,on,43.43496889,-79.74899046
Arctic Park,playground,on,43.15597528,-80.26130215
Ardleigh Park Playground,playground,on,43.46996522,-79.64449641
Arena Uplands Hangar,arena,on,45.33276547,-75.67898968
Argyle Park Playground,playground,on,43.45411577,-80.51950581
Armadale C.C.,community centre,on,43.84052155,-79.28032135
Armbro Park,playground,on,43.69477621,-79.78143858
Armour Heights Cc,gym,on,43.7392676,-79.4217072
Arnold Park Playground,playground,on,43.46793871,-80.48533918
Arrowhead Park Playground,playground,on,43.39297265,-80.42761829
Art Eggleton Park,playground,on,43.6606496,-79.4140077
Art Thompson Arena,arena,on,43.83093287,-79.0782339
Asa Hall Parkette,playground,on,43.6276917,-79.76526393
Ash Park Playground,playground,on,43.46903259,-80.48330231
Ashburn Community Centre,community centre,on,44.00135343,-78.99955625
Ashfield Park,beach,on,44.02062992,-81.73406663
Ashgate Park,playground,on,43.57890133,-79.65738729
Ashgrove,playground,on,43.53267717,-79.70789257
Ashwood Park,playground,on,43.58453369,-79.60184201
Aspen Forest Park Playground,playground,on,43.48854596,-79.64504193
Aspen Ridge,playground,on,43.59129689,-79.78147979
Atchison Drive,playground,on,43.8779319,-79.85988088
Atlantic Park,playground,on,43.51539455,-80.50563981
Auburn Park,playground,on,43.49422504,-80.49424903
Autumn Willow Park,playground,on,43.46209916,-80.60493367
Bach Park,playground,on,43.66522047,-79.74750137
Baffin Park,playground,on,43.71535422,-79.8295402
Baird Park,playground,on,43.6628803,-79.4632332
Balmoral Park,playground,on,43.7455349,-79.4493282
Balmoral Recreation Centre,pool,on,43.70722266,-79.71314623
Balmy Beach,beach,on,44.61702731,-80.94444243
