Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
3 Bondaries Trails,trail,qc,47.43583,-69.042971
École De La Forêt,rink,qc,45.415571,-75.846212
École Des Cavaliers,rink,qc,45.400537,-75.802917
École Du Lac-Des-Fées,rink,qc,45.43885101,-75.74518353
École Du Sacré-Coeur,rink,qc,45.5245837,-75.48753741
École Parc-De-La-Montagne,rink,qc,45.45005173,-75.74836744
École Polyvalente De L'Érablière,pool,qc,45.49337815,-75.73876927
École Saint-Jean-De-Brébeuf,skate park,qc,45.5438422,-75.41675987
École Secondaire De L'Île,pool,qc,45.4361078,-75.72401436
École Secondaire Des Chutes,gym,qc,46.57513817,-72.73361247
École Secondaire Val-Mauricie,gym,qc,46.52249496,-72.75897034
Édouard-Montpetit,pool,qc,45.575583,-73.537388
Altitude Gym,gym,qc,45.4468686,-75.7374447
Aréna Baribeau,arena,qc,45.49392916,-75.64692936
Aréna Beaudry,arena,qc,45.4942449,-75.75648461
Aréna Campeau,arena,qc,45.49735536,-75.59291988
Aréna Cholette,arena,qc,45.44830581,-75.75207702
Aréna Frank-Robinson,arena,qc,45.39349853,-75.84330147
Aréna Jean-Paul-Sabourin,arena,qc,45.46926026,-75.74341039
Aréna Paul-Et-Isabelle-Duchesnay,arena,qc,45.39349853,-75.84330147
Aréna Stade-Pierre-Lafontaine,arena,qc,45.47188329,-75.6991875
Aréna Collège Bishop,arena,qc,45.37181007,-71.84107614
Aréna De Grand-Mère,arena,qc,46.61180881,-72.68989668
Aréna Émile-Bédard,arena,qc,46.6249676,-72.65491124
Aréna Eugène-Lalonde,arena,qc,45.41373372,-71.88264323
Aréna Gilles-Bourassa,arena,qc,46.51676736,-72.75549632
Aréna Ivan-Dugré,arena,qc,45.38847041,-71.90663812
Aréna Jane Et Eric Molson De L'Université Bishop'S,arena,qc,45.36366262,-71.84224709
Aréna Mont-Sainte-Anne,arena,qc,45.36951954,-71.93276361
Aréna Philippe-Bergeron,arena,qc,45.47452317,-71.95218664
Aylmer Marina,marina,qc,45.396039,-75.85664
Bébégym - Centre Pas-À-Pas,gym,qc,46.733532,-71.293593
Bain Émard,pool,qc,45.457801,-73.589466
Bain Lévesque,pool,qc,45.526243,-73.577899
Bain Morgan,pool,qc,45.553456,-73.538296
Bain Quintal,pool,qc,45.52886,-73.548969
Bain Schubert,pool,qc,45.516452,-73.578794
Bain St-Denis,pool,qc,45.540369,-73.611903
Beachclub/Plage De Pointe-Calumet,beach,qc,45.503731,-73.977654
Bloc Shop Climbing Gym,gym,qc,45.532118,-73.657329
Brome Lake Douglass Beach,beach,qc,45.225715,-72.50291
Camping: Plage Belley,beach,qc,48.6425269,-71.8069218
Camping Plage Laurentides,beach,qc,46.904943,-71.299002
Camping Plage Paquet Inc,beach,qc,46.2136613,-71.9368895
Camping Plage Robertson,beach,qc,48.581604,-72.249945
Carrefour Accès Loisirs,community centre,qc,45.3925788,-71.88729762
Carrefour Communautaire De Charlesbourg,community centre,qc,46.85358897,-71.2734629
Casino De Charlevoix,casino,qc,47.621533,-70.144702
Casino De Montréal,casino,qc,45.505898,-73.526147
Casino De Mont-Tremblant,casino,qc,46.2009478,-74.5681993
Casino Du Lac-Leamy,casino,qc,45.44612748,-75.72497881
Casino Lac-Leamy Sound Of Light,casino,qc,45.429445,-75.709187
Centre Aquatique Lucien-Houle,pool,qc,45.58822794,-75.40370029
Centre Aquatique Paul-Pelletier,pool,qc,45.3970238,-75.82521878
Centre Aquatique Rivières-Des-Prairies,pool,qc,45.652434,-73.579832
Centre Communautaire,community centre,qc,45.6796897,-73.8740789
Centre Communautaire Accès,community centre,qc,45.54716046,-73.86459129
Centre Communautaire Édifice Victorin-Beaucage,community centre,qc,46.81392366,-71.26625894
Centre Communautaire Édouard-Lavergne,community centre,qc,46.80741881,-71.23295897
Centre Communautaire Amédée-Beaudoin,community centre,qc,45.36788986,-71.85581622
Centre Communautaire André-Touchet,community centre,qc,45.383825,-75.80397
Centre Communautaire Apollo,community centre,qc,45.487122,-75.671159
Centre Communautaire Auteuil,community centre,qc,45.63615,-73.75469824
Centre Communautaire Belmont,community centre,qc,45.392299,-75.830112
Centre Communautaire Bigras,community centre,qc,45.51948956,-73.85630996
Centre Communautaire Bisson,community centre,qc,45.455421,-75.755549
Centre Communautaire Boileau,community centre,qc,45.6915201,-73.61713885
Centre Communautaire Bon-Pasteur,community centre,qc,46.90082466,-71.3088581
Centre Communautaire Bourassa,community centre,qc,46.86452322,-71.25712242
Centre Communautaire Champfleury,community centre,qc,45.5872815,-73.77739972
Centre Communautaire Champigny,community centre,qc,46.77587437,-71.37328602
Centre Communautaire Charles-Auguste-Savard,community centre,qc,46.8580797,-71.33611446
Centre Communautaire Claude-Allard,community centre,qc,46.77487169,-71.31962521
Centre Communautaire D'Anjou,community centre,qc,45.606488,-73.5641662
Centre Communautaire D'Anger,community centre,qc,45.526071,-75.489217
Centre Communautaire Daniel-Johnson,community centre,qc,45.465935,-75.746411
Centre Communautaire Daniel-Lafortune,community centre,qc,45.466552,-75.699005
Centre Communautaire De Buckingham,community centre,qc,45.591076,-75.411174
Centre Communautaire De Cap-Rouge,community centre,qc,46.74099599,-71.35451635
Centre Communautaire De La Canadienne,community centre,qc,45.52341789,-73.84943876
Centre Communautaire De La Caserne-Des-Pompiers,community centre,qc,45.52999032,-73.81509918
Centre Communautaire De La Riviera,community centre,qc,45.470267,-75.724063
Centre Communautaire De L'Est,community centre,qc,45.5048823,-73.7858832
Centre Communautaire De L'Ex-Garage (C.P.A.L.),community centre,qc,45.61341218,-73.6501849
Centre Communautaire De L'Ex-Garage-Municipal,community centre,qc,45.55059089,-73.87329853
Centre Communautaire De L'Ex-Hôtel-De-Ville,community centre,qc,45.61567472,-73.64642763
Centre Communautaire De Limbour,community centre,qc,45.497769,-75.739041
Centre Communautaire De Loisir Sherbrooke,community centre,qc,45.39085892,-71.90234151
Centre Communautaire De Lucerne-Nord,community centre,qc,45.458162,-75.878028
Centre Communautaire De Saint-Sacrement,community centre,qc,46.7961753,-71.25695819
Centre Communautaire Des Chênes,community centre,qc,45.52421795,-73.8812026
Centre Communautaire Des Chutes,community centre,qc,46.87209506,-71.1612632
Centre Communautaire Des Hautes-Plaines,community centre,qc,45.472556,-75.764608
Centre Communautaire Des Jeunes-De-Sainte-Rose,community centre,qc,45.61203663,-73.78185233
Centre Communautaire Des Lacasse,community centre,qc,45.62504732,-73.737457
Centre Communautaire Des Trembles,community centre,qc,45.426571,-75.766854
Centre Communautaire Desjardins,community centre,qc,45.443342,-75.715581
Centre Communautaire Docteur-Jean-Lorrain,community centre,qc,45.488737,-75.602552
Centre Communautaire Du Chalet-Des-Érables,community centre,qc,45.64100516,-73.77199304
