Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
Act Arena,sports field,sk,52.13289386,-106.5975739
Adelaide,sports field,sk,52.0953621,-106.6385443
Adelaide - Ball Field #1,sports field,sk,52.09463554,-106.6379663
Agriplace,sports field,sk,52.1917523,-106.6794471
Ah Browne - Ball Field #1,sports field,sk,52.15057019,-106.6767299
Ah Browne - Ball Field #2,sports field,sk,52.15085807,-106.6770617
Ah Browne - Basketball Court #1,sports field,sk,52.15019121,-106.6755809
Ah Browne - Basketball Court #2,sports field,sk,52.15034998,-106.6755732
Ah Browne - Soccer #3,sports field,sk,52.15066554,-106.6769799
Al Anderson Ball Field #1,sports field,sk,52.15504351,-106.7169547
Al Anderson Soccer Field #2,sports field,sk,52.15466961,-106.7200484
Al Anderson Soccer Field #3,sports field,sk,52.15471359,-106.714928
Albert - Tennis Court #1,sports field,sk,52.11917927,-106.6453589
Albert - Tennis Court #2,sports field,sk,52.11917685,-106.6451451
Albert Recreational Unit - Basketball Court #1,sports field,sk,52.12022912,-106.6470472
Albert Recreational Unit - Basketball Court #2,sports field,sk,52.12038808,-106.647046
Am Young Ball Field #1,sports field,sk,52.08000404,-106.6235915
Am Young Soccer Field #2,sports field,sk,52.07981849,-106.6217184
Anna Mcintosh - Ball Field #1,sports field,sk,52.13258492,-106.6011564
Arbor Creek,sports field,sk,52.13277641,-106.568594
Arbor Creek - Ball Field #1,sports field,sk,52.13230394,-106.5678226
Arbor Creek - Basketball Court #1,sports field,sk,52.13311389,-106.5686026
Arbor Creek - Basketball Court #2,sports field,sk,52.13319325,-106.5683101
Arbor Creek - Soccer #2,sports field,sk,52.13303749,-106.5661634
Archibald Arena,sports field,sk,52.14890235,-106.6407411
Archibald Mcdonald - Ball Field #1,sports field,sk,52.14152793,-106.7175711
Archibald Mcdonald - Ball Field #2,sports field,sk,52.14215129,-106.7177257
Archibald Mcdonald - Ball Field #3,sports field,sk,52.14304216,-106.717743
Archibald Mcdonald - Ball Field #4,sports field,sk,52.14304464,-106.7193127
Archibald Mcdonald - Basketball Court #1,sports field,sk,52.1404157,-106.7181706
Archibald Mcdonald - Basketball Court #2,sports field,sk,52.14055497,-106.7178694
As Wright - Ball Field #1,sports field,sk,52.09862707,-106.6153033
As Wright - Ball Field #2,sports field,sk,52.09938082,-106.6165192
As Wright - Ball Field #3,sports field,sk,52.09860553,-106.6162718
As Wright - Ball Field #4,sports field,sk,52.09807883,-106.6165107
Ashworth Holmes - Basketball Court #1,sports field,sk,52.14050023,-106.6757757
Ashworth Holmes - Basketball Court #2,sports field,sk,52.14050103,-106.6759743
Ashworth Holmes - Green #1,sports field,sk,52.13950512,-106.6771413
Ashworth Holmes - Green #2,sports field,sk,52.13946448,-106.6765218
Ashworth Holmes - Soccer Field #1,sports field,sk,52.13929775,-106.6771833
Ashworth Holmes - Tennis Court #,sports field,sk,52.14033442,-106.6759004
Atlantic - Soccer #1,sports field,sk,52.13170337,-106.7302126
Atlantic - Soccer #2,sports field,sk,52.13065716,-106.7294127
Avalon - Basketball Court #1,sports field,sk,52.09266248,-106.6522614
Avalon - Basketball Court #2,sports field,sk,52.0926092,-106.6525893
Bishop James P Mahoney - Ball Field #1,sports field,sk,52.16971895,-106.6313701
Bishop James P Mahoney - Soccer #2,sports field,sk,52.17087526,-106.6309239
Bishop James P Mahoney - Soccer #3,sports field,sk,52.17089933,-106.632101
Boughton - Ball Field #1,sports field,sk,52.10802331,-106.6928454
Boughton - Ball Field #2,sports field,sk,52.10800057,-106.6922146
Brevoort,sports field,sk,52.10962432,-106.6123922
Brevoort North - Ball Field #1,sports field,sk,52.11024101,-106.6145491
Brevoort North - Soccer #2,sports field,sk,52.10936775,-106.6155538
Brevoort South - Green #3,sports field,sk,52.10773391,-106.6173373
Briarwood - Ball Field #1,sports field,sk,52.10936821,-106.5641017
Briarwood - Basketball Court #1,sports field,sk,52.1105499,-106.5656313
Briarwood - Basketball Court #2,sports field,sk,52.11048016,-106.5653016
Briarwood - Soccer #2,sports field,sk,52.10982921,-106.5657803
Briarwood Lake - Basketball Court #1,sports field,sk,52.11299534,-106.5657439
Buena Vista,sports field,sk,52.11280776,-106.6629542
Buena Vista - Basketball Court #1,sports field,sk,52.11279997,-106.6625549
Buena Vista - Basketball Court #2,sports field,sk,52.11279908,-106.6628986
Cahill - Ball Field #1,sports field,sk,52.12738405,-106.7078838
Canon Smith - Ball Field #1,sports field,sk,52.10607019,-106.6340914
Canon Smith - Basketball Court #1,sports field,sk,52.1067898,-106.6334373
Caswell Hill,sports field,sk,52.14030033,-106.6762704
Churchill - Soccer #1,sports field,sk,52.09806255,-106.6444927
Clarence Downey Speedskating Oval,sports field,sk,52.1113055,-106.6979477
College Park,sports field,sk,52.12202313,-106.5924623
Confederation Park,sports field,sk,52.13784495,-106.7363391
Cosmo Arena,sports field,sk,52.1345834,-106.7213931
Cosmo Civic Centre,sports field,sk,52.13443598,-106.7218065
Cosmo Civic Centre - Basketball Court #1,sports field,sk,52.13547269,-106.7222125
Cosmo Civic Centre - Basketball Court #2,sports field,sk,52.13532456,-106.7221716
Crocus - Ball Field #1,sports field,sk,52.09581116,-106.579441
Crocus - Ball Field #2,sports field,sk,52.09453814,-106.578181
Crocus - Basketball Court #1,sports field,sk,52.09416496,-106.5776384
Crocus - Soccer #3,sports field,sk,52.09539997,-106.5781761
Crocus - Soccer #4,sports field,sk,52.09555974,-106.5765148
Crocus - Tennis Court #1,sports field,sk,52.09418209,-106.5774016
Cumberland - Green #1,sports field,sk,52.11563426,-106.6360657
Diefenbaker Ball Field #1,sports field,sk,52.09411433,-106.6833833
Dl Hamilton - Basketball Court #1,sports field,sk,52.12241082,-106.7020382
Donna L Birkmaier Ball Field #1,sports field,sk,52.10431996,-106.5551638
Donna L Birkmaier Ball Field #2,sports field,sk,52.10091203,-106.5526985
Donna L Birkmaier Soccer Field #3,sports field,sk,52.10311197,-106.5555608
Donna L Birkmaier Soccer Field #4,sports field,sk,52.10215211,-106.5526962
Dr Gerhard Herzberg - Ball Field #1,sports field,sk,52.12280149,-106.593951
Dr Gerhard Herzberg - Green #2,sports field,sk,52.12309557,-106.5927549
Dr Gerhard Herzberg - Soccer #3,sports field,sk,52.12124143,-106.5947389
Dr Gerhard Herzberg - Soccer #4,sports field,sk,52.11901776,-106.5960996
Dr Seager Wheeler - Ball Field #1,sports field,sk,52.14989075,-106.70603
Dr Seager Wheeler - Ball Field #2,sports field,sk,52.14894309,-106.7058723
Dr Seager Wheeler - Green #1,sports field,sk,52.14786324,-106.70628
Dr Seager Wheeler - Soccer #3,sports field,sk,52.1482827,-106.7050208
Draggins Car Club Ball Field #1,sports field,sk,52.15419792,-106.711999
Dundonald,sports field,sk,52.14633221,-106.727086
Dundonald - Ball Field #1,sports field,sk,52.14879095,-106.7256228
Dundonald - Ball Field #2,sports field,sk,52.14844406,-106.7248349
Dundonald - Ball Field #3,sports field,sk,52.14811991,-106.7239969
Dundonald - Ball Field #4,sports field,sk,52.14695726,-106.7267643
Dundonald - Ball Field #6,sports field,sk,52.14777179,-106.7296943
Dundonald - Soccer #5,sports field,sk,52.1476326,-106.7268599
Dundonald - Soccer #7,sports field,sk,52.14765582,-106.7283361
Dundonald - Soccer #8,sports field,sk,52.14753613,-106.7247848
