Facility_Name,ODRSF_facility_type,Prov_Terr,Latitude,Longitude
Alsek / Blanchard,playground,unknown,60.70007785,-135.0345335
Alsek Park,playground,unknown,60.70919307,-135.0320852
Canyon,playground,unknown,60.66054978,-135.0446672
Copper Ridge Park,playground,unknown,60.69978845,-135.1036126
Crestview Park,playground,unknown,60.78344246,-135.1708531
Dolly Varden Park,playground,unknown,60.58530977,-134.8987833
Eagle - Heron Drive - Prarmigan Place,playground,unknown,60.71058488,-135.1085702
Eagle Park,playground,unknown,60.7115007,-135.0554502
Grainger Park,playground,unknown,60.70390518,-135.0994672
Guild Hall Park,playground,unknown,60.76843948,-135.1336627
Heron Drive Park,playground,unknown,60.70977858,-135.1128938
Hickory / Wann Park,playground,unknown,60.77598608,-135.1246851
Hidden Valley Park,playground,unknown,60.83511899,-135.2010025
Jim Light Park (Sports Admin Building),playground,unknown,60.71537073,-135.0519915
Liard Park,playground,unknown,60.70729781,-135.0198368
Logan Park,playground,unknown,60.7063931,-135.1197031
Mary Lake Park,playground,unknown,60.59288139,-134.9178347
Mcintyre,playground,unknown,60.71799851,-135.1055306
Morley / Peel,playground,unknown,60.70562304,-135.0230497
Normandy Park,playground,unknown,60.73581007,-135.0927034
Ortona Park,playground,unknown,60.73993579,-135.0984368
Pine Street Park,playground,unknown,60.76092665,-135.123243
Pineridge Park,playground,unknown,60.61776329,-134.9641695
Rotary Peace Water Park,playground,unknown,60.71609651,-135.0468378
Salmon Trail Park,trail,unknown,60.59683251,-134.8988535
Seventh Avenue And Black Street,playground,unknown,60.72223744,-135.0651947
Spruce Hill Park,playground,unknown,60.6064821,-134.9252272
Stan Mccowan Place,playground,unknown,60.77717427,-135.1431457
Tamarack Park,playground,unknown,60.76692952,-135.1117528
Valleyview Park,playground,unknown,60.72942407,-135.0942321
Wolf Creek Park,playground,unknown,60.60696249,-134.9627689
